tranche,species,organization_state,C_star,S_star,D,n_climate_cells,mean_bio4,mean_bio15,spatial_niche_turnover,hv3d_rarefied20,regional_centroid_sep,regional_gaussian_overlap,metric_status,geographic_radius_95_km,S,x,y
reserve,Adenostyles alliariae,local_cooccurrence_only,True,False,0.628099173553719,83,623.7194949230516,27.03291891856366,0.0837739294115331,2.674576140386217,0.7149677462126554,0.3210413791742331,complete,1142.9313037216978,False,7.042226120942398,1.3014377900637693
reserve,Aechmea distichantha,local_cooccurrence_only,True,False,0.2586805555555556,79,311.13794307467305,43.019944052152994,0.6581626785490277,8.279468540146643,,,complete,3783.7560278152364,False,8.238736706149478,2.227804275777406
reserve,Aegiceras corniculatum,local_cooccurrence_only,True,False,0.2903033908387865,73,334.23069919951973,60.60259607393448,1.442361921288989,5.936991982049436,1.1410800432214252,0.3286989717643789,complete,7360.978104151269,False,8.904083939763295,1.9368682485785718
reserve,Anarrhinum bellidifolium,local_cooccurrence_only,True,False,0.5051239669421488,98,515.7475554797114,46.16962240180191,0.7704006082811924,2.4930322311474744,1.1116947062457765,0.2986988830942904,complete,882.9992306541751,False,6.784456192336558,1.2507701931361095
reserve,Anemone palmata,local_cooccurrence_only,True,False,0.22840790842872,78,517.0093857202775,59.16412901267027,0.5264063804206788,1.203798745503312,,,complete,1083.1132118952478,False,6.988517615563973,0.7901825738288474
reserve,Antennaria racemosa,local_cooccurrence_only,True,False,0.2423668639053254,71,779.6844486720125,32.57400303155604,0.743016391542031,4.438513171537361,0.885839755441212,0.4243073516522335,complete,484.0046883013078,False,6.184158557491396,1.6935057094551256
reserve,Aphyllanthes monspeliensis,local_cooccurrence_only,True,False,0.5058864265927977,100,612.1032275390625,31.57288173675537,0.5864936862251117,1.878434317391384,0.9258619469304088,0.5442183972538263,complete,654.2113966421014,False,6.484957926529985,1.0572465065275047
reserve,Aquilegia brevistyla,local_cooccurrence_only,True,False,0.4400181077410593,91,1085.7997275551595,52.59348691164792,0.5966514645822294,2.5544884912731978,0.984985986108513,0.2857239372239902,complete,1636.437872092953,False,7.400888026083047,1.268211168591527
reserve,Asphodelus albus,local_cooccurrence_only,True,False,0.2401297998918334,100,549.7953674316407,24.962208108901976,0.6926313001247827,3.391257315021877,,,complete,679.6915885287511,False,6.52310932328743,1.4796155904141899
reserve,Astragalus agrestis,local_cooccurrence_only,True,False,0.5246876859012493,91,1056.8465891408396,50.06818163525927,0.6913920826654034,5.015544790931833,,,complete,7647.314170674169,False,8.942240532689064,1.7943469173837336
reserve,Calochortus bruneaunis,local_cooccurrence_only,True,False,0.2621878715814505,88,765.7632057883523,43.05851728265936,0.5823811638353288,0.7051282888567298,0.81475168984219,0.3962654938170478,complete,386.419660175661,False,5.959508498718922,0.5336403506361076
reserve,Calochortus splendens,local_cooccurrence_only,True,False,0.5848800362154822,74,467.5823663247599,87.66925110688081,0.0856852742398577,0.4844562653564537,,,complete,482.60088286331495,False,6.181259944345495,0.39504855392980204
reserve,Calopogon barbatus,local_cooccurrence_only,True,False,0.5649382716049383,41,501.0643853908632,41.7849545362519,1.618333590806391,0.1996111015786649,1.6913187833834695,0.0319996074598157,complete,530.3700857230459,False,6.275458738408564,0.18199742225024948
reserve,Cicerbita alpina,local_cooccurrence_only,True,False,0.5105462412114656,100,649.6121835327149,27.765505204200743,0.3311213949893336,5.354813524537267,0.7731257889592411,0.354311903281693,complete,2086.816399687251,False,7.6438740139520895,1.8492125611011072
reserve,Cirsium occidentale,local_cooccurrence_only,True,False,0.5453898184407263,100,522.0729400634766,84.09390083312988,0.3315099415182897,3.5123970562158,0.5256427655386953,0.5247677139990714,complete,554.5141755644989,False,6.319894127322047,1.5068285103718086
reserve,Clinopodium gracile,local_cooccurrence_only,True,False,0.3168854685378,82,623.3736773235042,32.96621650602759,0.9723254031544628,19.676528206826525,1.0779946617672629,0.0905900981357303,complete,7851.172790691466,False,8.968545561100667,3.0289991538650187
reserve,Clinopodium vulgare,spatial_segregation_only,False,True,0.6454081632653061,100,771.9989639282227,27.808626184463503,0.7395918678665897,16.72251776041106,0.6977473370545767,0.5784515622251748,complete,17157.279158547077,True,9.750236085877413,2.874836020885682
reserve,Collinsia tinctoria,local_cooccurrence_only,True,False,0.240702479338843,42,643.4966176350912,82.44302567981538,0.5429336518528955,1.1698745439759983,0.885465607495911,0.3341515226638494,complete,284.0888882336864,False,5.652801020180781,0.7746693520451385
reserve,Corethrogyne filaginifolia,local_cooccurrence_only,True,False,0.5070153061224489,96,452.1808025042216,89.54570233821869,0.6952468416367327,1.5338612768747244,1.1089216883129556,0.409925683799114,complete,459.6457620430712,False,6.132629335562705,0.9297443356785078
reserve,Cyclospermum leptophyllum,spatial_segregation_only,False,True,0.3140987507436049,100,471.8592552185058,47.79891324043274,0.1253785121713793,24.60696012286257,0.4761324499680417,0.6818668203824695,complete,14024.789471259484,True,9.548653019092539,3.242864194332221
reserve,Dactylorhiza sambucina,local_cooccurrence_only,True,False,0.67875,100,646.7545745849609,26.64459165096283,0.1056332541457538,3.807525616127294,0.6789867435913314,0.6647714182117952,complete,1272.9366806631024,False,7.149867133690607,1.570182526834214
reserve,Delphinium nudicaule,local_cooccurrence_only,True,False,0.3594952293013235,64,498.3392686843872,88.51176130771637,0.5616582338706927,1.3223590124143476,0.8603120895578528,0.2701880711863957,complete,293.19297660237714,False,5.684235935014861,0.8425834847671447
reserve,Dichelostemma multiflorum,local_cooccurrence_only,True,False,0.3168854685378,93,644.6641737414944,78.22866160895235,0.3930075238800862,1.0611775226646896,0.563244153621718,0.6216106817157873,complete,281.2697177787819,False,5.6428630598591045,0.7232774324370648
reserve,Diplacus puniceus,local_cooccurrence_only,True,False,0.3513313609467455,42,404.0216820126488,92.13932327997117,0.1353329606560436,0.1280533184240417,0.1020610345298791,0.5094588398831905,complete,128.39127900488094,False,4.862840984160998,0.12049342006518535
reserve,Drosera macrantha,local_cooccurrence_only,True,False,0.3702385190459237,86,460.0027810030205,63.06900348219761,1.000707370360761,0.6379350785880966,1.1863073243672202,0.2115426841002395,complete,335.031493172476,False,5.81720488525084,0.4934363500838061
reserve,Erigeron speciosus,local_cooccurrence_only,True,False,0.4653835104854926,100,796.6921133422852,32.5254909324646,0.1982974933046224,3.289027513516245,,,complete,1208.4055398620876,False,7.097884228498447,1.4560600204165333
reserve,Erythronium montanum,local_cooccurrence_only,True,False,0.2149104539775095,47,535.0835727123504,61.6304619971742,0.5981645388667286,1.3939924462848858,1.1056080272391324,0.3715931189301127,complete,224.19762158839134,False,5.416978334879353,0.8729624518613323
