cell_id,latitude,longitude,opportunity_A,evaluable_A_ge_minimum,shared_transition_intensity,antirrhinum_majus_detectable,antirrhinum_majus_edge_count,antirrhinum_majus_transition_intensity,dactylorhiza_sambucina_detectable,dactylorhiza_sambucina_edge_count,dactylorhiza_sambucina_transition_intensity,gentiana_lutea_detectable,gentiana_lutea_edge_count,gentiana_lutea_transition_intensity,ipomoea_purpurea_detectable,ipomoea_purpurea_edge_count,ipomoea_purpurea_transition_intensity,lysimachia_arvensis_detectable,lysimachia_arvensis_edge_count,lysimachia_arvensis_transition_intensity,raphanus_sativus_detectable,raphanus_sativus_edge_count,raphanus_sativus_transition_intensity
0,-70.8118635463,-175,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
1,-70.8118635463,-165,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
2,-70.8118635463,-155,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
3,-70.8118635463,-145,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
4,-70.8118635463,-135,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
5,-70.8118635463,-125,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
6,-70.8118635463,-115,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
7,-70.8118635463,-105,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
8,-70.8118635463,-95,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
9,-70.8118635463,-85,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
10,-70.8118635463,-75,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
11,-70.8118635463,-65,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
12,-70.8118635463,-55,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
13,-70.8118635463,-45,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
14,-70.8118635463,-35,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
15,-70.8118635463,-25,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
16,-70.8118635463,-15,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
17,-70.8118635463,-5,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
18,-70.8118635463,5,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
19,-70.8118635463,15,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
20,-70.8118635463,25,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
21,-70.8118635463,35,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
22,-70.8118635463,45,0,False,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,
