blind_id,species,photo_id,photo_url,flower_visibility,visibility_failure_code,segmentation_status,segmentation_failure_code,colour_assignment,colour_state,notes
0176537d5144f894,Antirrhinum majus,86399173,https://inaturalist-open-data.s3.amazonaws.com/photos/86399173/large.jpeg,,,,,,,
051f8cd3f0eb321b,Antirrhinum majus,66134856,https://static.inaturalist.org/photos/66134856/large.jpg,,,,,,,
0907a26238b42d2a,Antirrhinum majus,80883828,https://inaturalist-open-data.s3.amazonaws.com/photos/80883828/large.jpeg,,,,,,,
0ae6d76b89653158,Antirrhinum majus,85433402,https://inaturalist-open-data.s3.amazonaws.com/photos/85433402/large.jpeg,,,,,,,
112cac5e0f54fb55,Antirrhinum majus,85228870,https://inaturalist-open-data.s3.amazonaws.com/photos/85228870/large.jpg,,,,,,,
183a8f76f6bc355c,Antirrhinum majus,41889010,https://inaturalist-open-data.s3.amazonaws.com/photos/41889010/large.jpg,,,,,,,
18f8a25df00ce628,Antirrhinum majus,91659585,https://inaturalist-open-data.s3.amazonaws.com/photos/91659585/large.jpg,,,,,,,
1c1f03b0dc5ca929,Antirrhinum majus,53377997,https://inaturalist-open-data.s3.amazonaws.com/photos/53377997/large.jpeg,,,,,,,
1fe540bf891a394e,Antirrhinum majus,91012202,https://static.inaturalist.org/photos/91012202/large.jpeg,,,,,,,
218b45f5a63c6000,Antirrhinum majus,43504109,https://inaturalist-open-data.s3.amazonaws.com/photos/43504109/large.jpeg,,,,,,,
21d987b2b349f90e,Antirrhinum majus,40364242,https://inaturalist-open-data.s3.amazonaws.com/photos/40364242/large.jpg,,,,,,,
25e411a2b4438b58,Antirrhinum majus,81382099,https://static.inaturalist.org/photos/81382099/large.jpeg,,,,,,,
2cf314ed8dc624d5,Antirrhinum majus,41830571,https://inaturalist-open-data.s3.amazonaws.com/photos/41830571/large.jpeg,,,,,,,
2dda3ce900d9b04d,Antirrhinum majus,100821953,https://inaturalist-open-data.s3.amazonaws.com/photos/100821953/large.jpg,,,,,,,
2efd07a219656400,Antirrhinum majus,63261801,https://static.inaturalist.org/photos/63261801/large.jpeg,,,,,,,
32b8b00fdb27037a,Antirrhinum majus,79662493,https://inaturalist-open-data.s3.amazonaws.com/photos/79662493/large.jpeg,,,,,,,
3449f322572aa874,Antirrhinum majus,52441296,https://inaturalist-open-data.s3.amazonaws.com/photos/52441296/large.jpeg,,,,,,,
35c749525028ca8f,Antirrhinum majus,11119297,https://inaturalist-open-data.s3.amazonaws.com/photos/11119297/large.jpg,,,,,,,
3e88bd835733db4c,Antirrhinum majus,51205138,https://inaturalist-open-data.s3.amazonaws.com/photos/51205138/large.jpeg,,,,,,,
40c6b9b972182cc4,Antirrhinum majus,51821475,https://static.inaturalist.org/photos/51821475/large.jpg,,,,,,,
4323f50ff49052f7,Antirrhinum majus,100499089,https://inaturalist-open-data.s3.amazonaws.com/photos/100499089/large.jpeg,,,,,,,
45a11d27a5cf7827,Antirrhinum majus,110425795,https://inaturalist-open-data.s3.amazonaws.com/photos/110425795/large.jpeg,,,,,,,
47638c6fd75220f1,Antirrhinum majus,42405783,https://static.inaturalist.org/photos/42405783/large.jpeg,,,,,,,
495e15e233638c96,Antirrhinum majus,233086283,https://static.inaturalist.org/photos/233086283/large.jpg,,,,,,,
4a7c684dee1b8b28,Antirrhinum majus,54242976,https://inaturalist-open-data.s3.amazonaws.com/photos/54242976/large.jpg,,,,,,,
4e24079bc3afeab8,Antirrhinum majus,43113980,https://inaturalist-open-data.s3.amazonaws.com/photos/43113980/large.jpg,,,,,,,
519620f8e25d0744,Antirrhinum majus,1740080,https://inaturalist-open-data.s3.amazonaws.com/photos/1740080/large.jpg,,,,,,,
51c7cc1cf0b5c735,Antirrhinum majus,40509424,https://static.inaturalist.org/photos/40509424/large.jpeg,,,,,,,
52adc3edbb421ad7,Antirrhinum majus,84278915,https://inaturalist-open-data.s3.amazonaws.com/photos/84278915/large.jpg,,,,,,,
5a3800e2b77a071a,Antirrhinum majus,71345222,https://inaturalist-open-data.s3.amazonaws.com/photos/71345222/large.jpg,,,,,,,
5d2b3388c504dfb3,Antirrhinum majus,39546343,https://inaturalist-open-data.s3.amazonaws.com/photos/39546343/large.jpeg,,,,,,,
5e1e1d313984cceb,Antirrhinum majus,85066605,https://inaturalist-open-data.s3.amazonaws.com/photos/85066605/large.jpeg,,,,,,,
5fc167e7c9501a36,Antirrhinum majus,68704418,https://inaturalist-open-data.s3.amazonaws.com/photos/68704418/large.jpg,,,,,,,
62a01c58fa3d6456,Antirrhinum majus,20485112,https://inaturalist-open-data.s3.amazonaws.com/photos/20485112/large.jpeg,,,,,,,
6573b02858aa3c7c,Antirrhinum majus,44618090,https://static.inaturalist.org/photos/44618090/large.jpg,,,,,,,
66e10eb96923225a,Antirrhinum majus,75219579,https://static.inaturalist.org/photos/75219579/large.jpeg,,,,,,,
6706088d13b6c63e,Antirrhinum majus,73396182,https://inaturalist-open-data.s3.amazonaws.com/photos/73396182/large.jpeg,,,,,,,
