species,blind_id,photo_id,materialization_status,technical_flags,width_px,height_px,megapixels,min_dimension_px,mean_luminance,sd_luminance,central_sd_luminance,dark_clip_fraction,bright_clip_fraction,mean_saturation,p90_saturation,edge_energy,downloaded_from,raw_image_sha256,raw_image_bytes,artifact_path
Antirrhinum majus,0176537d5144f894,86399173,ok,,1024,768,0.786432,768,0.34570538997650146,0.21514783799648285,0.18412864208221436,0.001121238425925926,0.0,0.2730458974838257,0.5988371968269348,0.002037279773503542,https://inaturalist-open-data.s3.amazonaws.com/photos/86399173/large.jpeg,83b0f9598d46136527299bec3bdef1d201f3c206e2aab2b8c5fe27f9d26d7ded,522532,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/0176537d5144f894.jpg
Antirrhinum majus,051f8cd3f0eb321b,66134856,ok,,768,1024,0.786432,768,0.47215574979782104,0.3060157001018524,0.2433629333972931,2.712673611111111e-05,0.0030472366898148147,0.37772276997566223,0.6023391485214233,0.009433828294277191,https://static.inaturalist.org/photos/66134856/large.jpg,b21e8fd9135095759d55f6433fe9d243a083683154142a487ac08012299f14f3,342931,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/051f8cd3f0eb321b.jpg
Antirrhinum majus,0907a26238b42d2a,80883828,ok,,1024,768,0.786432,768,0.3208279013633728,0.24592065811157227,0.20720666646957397,0.004683883101851852,0.018708405671296297,0.3203675448894501,0.5999999642372131,0.0016686245799064636,https://inaturalist-open-data.s3.amazonaws.com/photos/80883828/large.jpeg,8077baac15655c368660cad7c289d79df56b1339dd8760907d5f27536e2c76fa,435497,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/0907a26238b42d2a.jpg
Antirrhinum majus,0ae6d76b89653158,85433402,ok,,1024,768,0.786432,768,0.6054199934005737,0.22284576296806335,0.24315840005874634,0.0005877459490740741,0.010886863425925927,0.2805599570274353,0.6209624409675598,0.0072765592485666275,https://inaturalist-open-data.s3.amazonaws.com/photos/85433402/large.jpeg,3f5d931c66a676d6b304bacda557bf7d9b54d7182d0eca3a67ce1da9cc410ea6,742328,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/0ae6d76b89653158.jpg
Antirrhinum majus,112cac5e0f54fb55,85228870,ok,,768,1024,0.786432,768,0.40834906697273254,0.2259499579668045,0.17055711150169373,0.00047923900462962964,0.0,0.25593462586402893,0.603448212146759,0.0016049835830926895,https://inaturalist-open-data.s3.amazonaws.com/photos/85228870/large.jpg,185e09ef1a154d0c3f8151622b90ad1488f91fe6c5fb2592ed90edbc01b4096d,252546,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/112cac5e0f54fb55.jpg
Antirrhinum majus,183a8f76f6bc355c,41889010,ok,,1024,768,0.786432,768,0.2617182433605194,0.21210473775863647,0.2616040110588074,0.07283528645833333,0.0004249855324074074,0.46970054507255554,0.6666666865348816,0.005516828037798405,https://inaturalist-open-data.s3.amazonaws.com/photos/41889010/large.jpg,d2b1195563fb623f9075bccccb3c143cdaa83c0af1e667e7cb0f2216eef48e4d,417515,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/183a8f76f6bc355c.jpg
Antirrhinum majus,18f8a25df00ce628,91659585,ok,,1024,576,0.589824,576,0.4347555935382843,0.13723866641521454,0.15367314219474792,0.0,0.003351658950617284,0.12330970913171768,0.26490068435668945,0.014483299106359482,https://inaturalist-open-data.s3.amazonaws.com/photos/91659585/large.jpg,4a2d1e903c8869cbca1a52cda8f6e6c6358872aa7fe22e380eb307f6e31b2109,438747,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/18f8a25df00ce628.jpg
Antirrhinum majus,1c1f03b0dc5ca929,53377997,ok,,1024,768,0.786432,768,0.3935454785823822,0.20669381320476532,0.15280413627624512,0.006383825231481482,0.001826533564814815,0.23762017488479614,0.4791666567325592,0.004458559677004814,https://inaturalist-open-data.s3.amazonaws.com/photos/53377997/large.jpeg,78eb54173952ddb425b884d4713fe77bb105cea5640a8f26d5f428a4537bfd26,245176,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/1c1f03b0dc5ca929.jpg
Antirrhinum majus,1fe540bf891a394e,91012202,ok,,768,1024,0.786432,768,0.38884538412094116,0.18369121849536896,0.2267870455980301,0.0,0.0,0.42547816038131714,0.6711711883544922,0.0009197925683110952,https://static.inaturalist.org/photos/91012202/large.jpeg,1c0c9f369962102d91097b99dbc2d12da840117441ce9fb49ebc29aa5fe2367d,398677,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/1fe540bf891a394e.jpg
Antirrhinum majus,218b45f5a63c6000,43504109,ok,,576,1024,0.589824,576,0.28429698944091797,0.2244192659854889,0.2259044647216797,0.0,0.020290798611111112,0.593261182308197,0.825581431388855,0.0031785157043486834,https://inaturalist-open-data.s3.amazonaws.com/photos/43504109/large.jpeg,8828f5824e0c064510404ff5f7195cae83e1637ed2af2b65e2dc00ce2ffa68c0,362481,artifacts/jbi_ch1_calibration_images_v1/images/Antirrhinum_majus/218b45f5a63c6000.jpg
