species,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20,spatial_observed_rho,log1p_span_primary,D_unbiased
Acacia linifolia,48,0.2230902777777778,0.1041666666666666,True,False,-0.0128124140862778,5.181907002397573,0.22783687943262412
Acacia ulicifolia,76,0.3324099722991689,0.2105263157894736,True,True,0.007739762952523,7.645824377863306,0.33684210526315783
Aciphylla glacialis,79,0.1403621214548949,0.0759493670886076,False,False,0.0451457224463409,5.275986376341166,0.14216163583252175
Aconitum delphiniifolium,59,0.1281241022694628,0.0508474576271186,False,False,0.1575461561615,8.541734917587121,0.13033313851548803
Aconitum tauricum,56,0.0695153061224489,0.0178571428571428,False,False,-0.0331843264010568,6.148412462614004,0.07077922077922069
Adoxa moschatellina,44,0.4834710743801652,0.4090909090909091,True,True,-0.0371345464578893,9.392778127364858,0.4947145877378434
Aegopodium podagraria,80,0.0,0.0,False,False,-0.0296918807115217,9.869998122175328,0.0
Agapanthus praecox,53,0.5069419722321111,0.4150943396226415,True,True,0.0003334043391028,9.891436493306475,0.5166908563134979
Ageratina havanensis,70,0.0,0.0,False,False,0.1004469560541719,8.037367171092656,0.0
Agrostemma githago,53,0.5745817016731933,0.2452830188679245,True,True,-0.070036582433975,9.448402101223278,0.5856313497822933
Ajuga genevensis,49,0.1499375260308204,0.0816326530612244,False,False,-0.0404854220290404,9.169928428073572,0.1530612244897958
Alchemilla alpina,54,0.3244170096021948,0.2037037037037037,True,True,-0.009925204154149,8.409696791628225,0.3305380852550664
Allium drummondii,63,0.3386243386243387,0.1746031746031746,True,False,0.1595947316727739,7.0378257042214045,0.3440860215053764
Allium praecox,65,0.1178698224852071,0.0307692307692307,False,False,0.1651522752435775,6.28895351156119,0.11971153846153845
Allium schoenoprasum,50,0.5895999999999999,0.22,True,True,-0.0365125038596188,9.901968666624938,0.6016326530612244
Allium tuberosum,67,0.0579193584317219,0.0298507462686567,False,False,-0.0370237068917901,9.890200223503632,0.058796924468566165
Althaea officinalis,59,0.1597242171789715,0.0338983050847457,False,False,-0.04233034820264,9.374403456297216,0.16247808299240205
Alyxia buxifolia,45,0.3930864197530864,0.1777777777777777,True,False,0.0705174093884826,8.152951619584393,0.40202020202020194
Amsinckia tessellata,70,0.0559183673469387,0.0142857142857142,False,False,-0.0027765984317636,7.448083848024978,0.05672877846790882
Anchusa arvensis,50,0.5312,0.42,True,True,-0.0084429138702789,9.735577522590097,0.5420408163265306
Andromeda polifolia,51,0.3021914648212226,0.1372549019607843,True,False,0.1068609281185346,9.16549683704536,0.30823529411764705
Androsace villosa,78,0.0253122945430637,0.0128205128205128,False,False,0.024732912013562,8.373532976137636,0.025641025641025567
Andryala integrifolia,69,0.3713505566057551,0.2463768115942029,True,True,0.0238140742457866,7.972109606088368,0.37681159420289856
Anemone pavonina,45,0.5748148148148149,0.1777777777777777,True,False,-0.0362941381277284,6.828671586233839,0.587878787878788
Anemonoides blanda,52,0.3698224852071006,0.1923076923076923,True,False,0.0189079112723025,9.3507688579969,0.3770739064856712
Anemonoides quinquefolia,48,0.0798611111111109,0.0416666666666666,False,False,0.0359641424208979,7.908775472991759,0.08156028368794305
Antennaria dioica,66,0.286042240587695,0.1363636363636363,True,False,-0.0353052305205098,9.163528187862957,0.29044289044289034
Aquilegia coerulea,44,0.5506198347107437,0.2954545454545454,True,True,0.0546865833349778,6.590156266152955,0.5634249471458773
Asclepias incarnata,49,0.4398167430237402,0.3265306122448979,True,True,0.3522623994191758,8.33780497197544,0.44897959183673475
Asclepias ovalifolia,58,0.1575505350772887,0.0862068965517241,False,False,0.0024742447313884,7.635703392961142,0.16031457955232883
Asclepias perennis,70,0.0281632653061223,0.0142857142857142,False,False,0.0344760647233046,7.466544238291129,0.02857142857142842
Asclepias quadrifolia,66,0.059228650137741,0.0151515151515151,False,False,0.0229167142895912,7.718470986881079,0.06013986013986009
Asclepias viridis,40,0.43875,0.325,True,True,-0.0402749106829817,7.711238021819615,0.4499999999999999
Astragalus glycyphyllos,42,0.4954648526077096,0.4523809523809524,True,True,0.0142809322105598,8.731914995533815,0.5075493612078976
Austroflourensia thurifera,56,0.0350765306122449,0.0178571428571428,False,False,0.1017503749259882,6.685123081560312,0.03571428571428572
Baptisia australis,75,0.1472,0.08,False,False,0.0584613290446999,7.878372133104917,0.14918918918918916
Baptisia tinctoria,75,0.0,0.0,False,False,0.0013417611779127,7.216144426494783,0.0
Barbarea orthoceras,71,0.0277722674072604,0.0140845070422535,False,False,-0.0295406681440011,9.398896190400086,0.028169014084506977
Bellis annua,80,0.0721874999999998,0.0375,False,False,0.021635993310422,8.311444509938553,0.0731012658227846
Bidens aristosa,78,0.0499671268902037,0.0256410256410256,False,False,0.076406484573555,7.688558906408167,0.050616050616050505
Bidens bipinnata,62,0.1207075962539023,0.064516129032258,False,False,0.19135428611403,9.843917565440211,0.12268640930724496
Bidens cernua,64,0.03076171875,0.015625,False,False,0.1562545629661276,9.227297419067218,0.03125
Biscutella laevigata,71,0.177742511406467,0.0985915492957746,False,False,0.1245024302229402,7.879807338805077,0.18028169014084508
Brodiaea coronaria,63,0.0619803476946334,0.0158730158730158,False,False,0.0665766100078249,7.047850308653437,0.0629800307219662
Bryonia alba,41,0.5425342058298632,0.4390243902439024,True,True,0.0880802246845914,9.268893577240116,0.5560975609756098
Buddleja davidii,43,0.5959978366684695,0.3953488372093023,True,True,0.0212324907986466,9.89899087521862,0.6101882613510521
Bursaria spinosa,47,0.0416478044363965,0.0212765957446808,False,False,0.1056484804752223,7.55409927792225,0.04255319148936164
Calochortus concolor,41,0.1760856632956573,0.0975609756097561,False,False,0.0271107213511302,5.986515087602396,0.18048780487804875
Calochortus flexuosus,49,0.2190753852561433,0.1020408163265306,True,False,-0.0193492880440015,6.779938091786517,0.22363945578231295
Calochortus leichtlinii,54,0.1392318244170095,0.0555555555555555,False,False,-0.0846918807391032,6.3657753059821145,0.1418588399720474
Calochortus monophyllus,55,0.0,0.0,False,False,-0.0113511963720362,5.838536016857498,0.0
Calycadenia multiglandulosa,64,0.0,0.0,False,False,-0.1329192982770637,5.656928667062552,0.0
Calystegia tuguriorum,49,0.0783007080383174,0.0408163265306122,False,False,0.1087695816951846,7.192320185702996,0.07993197278911568
Campanula latifolia,48,0.4418402777777778,0.2916666666666667,True,True,0.0911084936400579,9.376411813455167,0.4512411347517731
Campanula patula,56,0.4470663265306123,0.1964285714285714,True,False,0.0044263051128039,8.470457194484295,0.45519480519480526
Cardamine amara,67,0.029405212742259,0.0149253731343283,False,False,-0.0376748566777572,8.397755352146385,0.02985074626865686
Cardamine concatenata,43,0.0886965927528393,0.0465116279069767,False,False,-0.0975327810945899,7.712201946444884,0.09080841638981166
Cardamine hirsuta,56,0.0350765306122449,0.0178571428571428,False,False,-0.0073092674681713,9.902962384080006,0.03571428571428572
Carlina hispanica,58,0.0338882282996433,0.0172413793103448,False,False,-0.0182180252875585,7.343680164300765,0.034482758620689676
Carlina vulgaris,40,0.5275000000000001,0.375,True,True,-0.0301028919287335,8.088783605893322,0.5410256410256411
Carthamus mitissimus,44,0.5805785123966942,0.4318181818181818,True,True,-0.0094925264955246,6.78758175468273,0.5940803382663848
Castilleja exserta,56,0.3411989795918367,0.0714285714285714,False,False,0.1252462398334866,7.334119504215325,0.3474025974025973
Castilleja foliolosa,46,0.5207939508506616,0.4782608695652174,True,True,-0.0440018932155842,6.929492532377336,0.5323671497584541
Centranthus calcitrapae,65,0.197869822485207,0.0615384615384615,False,False,0.085603706987657,9.162382489153469,0.20096153846153836
Centrosema virginianum,43,0.6489994591671173,0.3255813953488372,True,True,0.0326027168081295,9.824367167143006,0.6644518272425249
Cerastium fontanum,57,0.0677131425053862,0.0350877192982456,False,False,-0.0640210990275255,9.88645024148178,0.06892230576441095
Chaenorhinum origanifolium,49,0.5539358600583091,0.4285714285714285,True,True,0.1758160885786372,7.655169206369414,0.5654761904761906
Chelone lyonii,49,0.4723032069970845,0.2653061224489796,True,True,-0.0167852429932366,7.596832881256963,0.48214285714285704
Chondrilla juncea,66,0.2355371900826446,0.1363636363636363,True,False,0.067130007683664,9.801470813561073,0.23916083916083913
Cipura campanulata,54,0.1975308641975308,0.1111111111111111,True,False,-0.0312857425958652,8.297374726384046,0.20125786163522005
Cistus albidus,58,0.6010701545778834,0.2068965517241379,True,True,-0.0155820012073566,7.547766977719561,0.6116152450090744
Cistus crispus,64,0.17236328125,0.078125,False,False,0.0890074476836995,7.403995742232479,0.17509920634920634
Clematis virginiana,49,0.0399833402748854,0.0204081632653061,False,False,0.0740854066820603,7.945889295713461,0.04081632653061218
Clinopodium alpinum,53,0.2043431826272694,0.0943396226415094,False,False,0.0869153786611546,7.797580278447214,0.20827285921625535
Cneoridium dumosum,50,0.3064000000000001,0.14,True,False,-0.0049302331046611,5.947406419507938,0.31265306122448994
Cochlospermum vitifolium,48,0.0807291666666665,0.0208333333333333,False,False,-0.0175116554934734,9.0610383150994,0.08244680851063813
Coleogyne ramosissima,77,0.0748861528082307,0.0389610389610389,False,False,0.0455717769245181,6.783662697153128,0.07587149692412848
Coleostephus myconis,79,0.0,0.0,False,False,0.0285414187141639,9.450566157579004,0.0
Collinsia grandiflora,54,0.2297668038408779,0.1111111111111111,True,False,0.1041338947526362,6.79578816017583,0.23410202655485673
Commelina benghalensis,51,0.5159554017685506,0.2941176470588235,True,True,0.050581291305409,9.896826887623345,0.5262745098039217
Commelina communis,52,0.2078402366863906,0.0961538461538461,False,False,0.0808119408992423,9.762074634065586,0.21191553544494726
Commelina diffusa,59,0.4757253662740591,0.3898305084745763,True,True,0.0057622241010852,9.896098690270572,0.4839275277615429
Conoclinium betonicifolium,73,0.1977857008819665,0.0958904109589041,False,False,0.0313415117606806,7.200712646670951,0.20053272450532714
Conopholis alpina,52,0.3106508875739644,0.1923076923076923,True,False,-0.0707269278925489,7.939217378024021,0.31674208144796373
Conospermum caeruleum,57,0.4038165589412126,0.2807017543859649,True,True,0.0525403987214755,5.760223085506126,0.4110275689223057
Convolvulus elegantissimus,58,0.5826397146254458,0.3793103448275862,True,True,-0.096929275729656,7.709658133118095,0.5928614640048396
Cornus florida,49,0.2149104539775095,0.1224489795918367,True,False,-0.0029630222630819,7.8708695568951486,0.21938775510204092
Cornus sanguinea,49,0.1499375260308204,0.0816326530612244,False,False,0.0186758876438733,9.193586903644334,0.1530612244897958
Cornus suecica,56,0.0350765306122449,0.0178571428571428,False,False,-0.0898673180240173,9.204026427723129,0.03571428571428572
Corydalis aurea,70,0.0281632653061223,0.0142857142857142,False,False,-0.018223767325758,8.59720922111039,0.02857142857142842
Cotula coronopifolia,82,0.0240928019036288,0.0121951219512195,False,False,0.0141936329087276,9.902923432240334,0.024390243902439032
Crepis biennis,61,0.0322493953238376,0.0163934426229508,False,False,-0.0074569844715287,9.066022765936278,0.03278688524590156
Crepis sancta,67,0.0579193584317219,0.0298507462686567,False,False,-0.0614189653085001,8.299762763233131,0.058796924468566165
Cryptantha barbigera,48,0.2230902777777778,0.1041666666666666,True,False,0.1164187716728742,6.838655911951009,0.22783687943262412
Cylindropuntia echinocarpa,47,0.19013128112268,0.1063829787234042,True,False,-0.0596031473258009,6.434293957261003,0.19426456984273827
Cypripedium guttatum,46,0.3336483931947069,0.1304347826086956,True,False,0.0385712694685867,9.138229503935367,0.34106280193236704
Dalea candida,74,0.0525931336742147,0.027027027027027,False,False,-0.0583645627464291,8.027429067331983,0.05331358756016284
Dampiera stricta,79,0.1842653420926132,0.0886075949367088,False,False,0.1968054690690822,7.477836013048154,0.18662771827328772
Delphinium glaucum,44,0.2014462809917354,0.1136363636363636,True,False,0.0837242966807565,8.356421040783426,0.20613107822410134
Delphinium sutherlandii,53,0.1067995728017088,0.0566037735849056,False,False,-0.0291583344536352,6.274841916472096,0.1088534107402032
Desmanthus illinoensis,66,0.2355371900826446,0.1363636363636363,True,False,0.0360665725514892,9.43996245680042,0.23916083916083913
Diplacus mephiticus,68,0.5627162629757786,0.4117647058823529,True,True,0.0235571265597107,6.354001112318042,0.5711150131694469
Diplotaxis tenuifolia,78,0.0973044049967126,0.0512820512820512,False,False,-0.0376892486620117,9.898200782493818,0.09856809856809848
Disphyma crassifolium,47,0.4717066545948393,0.1489361702127659,True,False,0.2580176479450787,9.871047439133145,0.4819611470860315
Distimake aegyptius,50,0.0767999999999999,0.04,False,False,0.0105565453221302,9.8793204922701,0.07836734693877541
Distimake dissectus,57,0.2228377962449986,0.0701754385964912,False,False,0.0935546841302528,9.878427424616175,0.22681704260651644
