mechanism,strength,worlds,evaluable_worlds,equal_rejection_fraction,fixed_logit_rejection_fraction,naive_rejection_fraction,equal_rho_median,fixed_logit_beta_median,retained_mean,minimum_species_rows,observed_state_position_abs_rho_mean
mcar,0.8,40,40,0.025,0.025,1.0,-0.0012103162389676414,0.041575833128426706,55.11875,39,0.10774681249643654
mcar,1.6,40,40,0.05,0.025,1.0,0.0045613797920364615,0.016338827349076986,55.02624999999999,41,0.10737716222834928
trait_only,0.8,40,40,0.05,0.1,1.0,0.0018139123980633214,0.012378083108186992,54.28125,24,0.10590522630759218
trait_only,1.6,40,40,0.025,0.0,1.0,-0.0031215188208768016,6.273504567072174e-07,53.205,12,0.11062796450559462
position_only,0.8,40,40,0.025,0.075,1.0,0.003387099624672635,0.020709302033102263,54.52500000000001,37,0.10410826444701908
position_only,1.6,40,40,0.05,0.025,1.0,0.0018610900051539343,0.036991753406231086,53.432500000000005,39,0.10353965241148182
joint_trait_position,0.8,40,40,0.8,1.0,1.0,0.04308795682376849,0.7240291641433585,54.2675,38,0.2097949475605593
joint_trait_position,1.6,40,40,1.0,1.0,1.0,0.12009583759641523,1.472652315339399,53.47125000000001,32,0.322208380014798
