contrast,metric,n_species,mean_effect_sd,median_effect_sd,bootstrap_ci_low,bootstrap_ci_high,positive_species,negative_species,sign_p,sign_p_holm
white_vs_anthocyanic,bio1,68,0.13751648120774487,0.13344922712868432,0.035072046626331066,0.23583356392688135,45,23,0.01033766119369546,0.09303895074325914
white_vs_anthocyanic,bio4,68,0.07641539428563257,0.09581884313606889,-0.04417768445466482,0.19788243043269238,42,26,0.06811867428409976,0.40871204570459857
white_vs_anthocyanic,bio5,68,0.1571217130705144,0.13514993362627398,0.03493432579521014,0.2786414310803027,44,24,0.02052693371370707,0.1436885359959495
white_vs_anthocyanic,bio6,68,0.08243083292353598,0.1349400674480644,-0.026241119686025716,0.18688411860713458,41,27,0.11425430684992327,0.5712715342496164
white_vs_anthocyanic,bio7,68,0.09316933084035439,0.10838725448725375,-0.029397185638794107,0.2117349364421844,40,28,0.1818100545355934,0.7272402181423736
white_vs_anthocyanic,bio12,68,-0.08250363657001832,-0.14523607542831157,-0.17555993040567436,0.015744999008305813,23,45,0.01033766119369546,0.09303895074325914
white_vs_anthocyanic,bio14,68,-0.01351795410371656,-0.022067044605133403,-0.13474483252069444,0.10844515798115671,31,37,0.5446122234192592,0.8249711885130016
white_vs_anthocyanic,bio15,68,-0.10770538975810467,-0.08666169898257466,-0.23106100293104104,0.01138468645960912,29,39,0.2749903961710005,0.8249711885130016
white_vs_anthocyanic,bio17,68,0.004670878506885128,-0.08755660621849073,-0.11312923529070698,0.1276289076355631,30,38,0.39612484029702977,0.8249711885130016
white_vs_all_nonwhite,bio1,124,0.09218225613699506,0.09439752355573199,0.01513710783710054,0.16881066810945297,71,53,0.1265100563218553,0.6325502816092765
white_vs_all_nonwhite,bio4,124,0.08353547476757008,0.11996501670159046,-0.00790198255470214,0.17215769554017696,75,49,0.024370170122399476,0.1949613609791958
white_vs_all_nonwhite,bio5,124,0.12498885744255538,0.13568009013076882,0.04432488329497649,0.2066482000337479,76,48,0.014984618863332317,0.13486156976999086
white_vs_all_nonwhite,bio6,124,0.02655646209387823,0.04314308964626075,-0.05735444946424648,0.10923056272402712,69,55,0.24292283198051137,0.9716913279220455
white_vs_all_nonwhite,bio7,124,0.09285416189098611,0.1138913614121842,0.0065707058483784235,0.181177740523997,75,49,0.024370170122399476,0.1949613609791958
white_vs_all_nonwhite,bio12,124,-0.0758756694386928,-0.05182764454958334,-0.15536639715250322,0.001437143353277624,49,75,0.024370170122399476,0.1949613609791958
white_vs_all_nonwhite,bio14,123,-0.023679767756952488,-0.04344903360053461,-0.11281021112946697,0.06615356170731354,57,66,0.47085074563938195,1.0
white_vs_all_nonwhite,bio15,124,-0.03430617168667147,-0.03816446258268766,-0.1233657307832062,0.05370125750133481,58,66,0.5297694043652676,1.0
white_vs_all_nonwhite,bio17,124,-0.01611170484860407,-0.01685286416122923,-0.10823005734083274,0.0747768040629981,60,64,0.7877465824023323,1.0
white_vs_yellow_orange,bio1,50,-0.00813482916123128,-0.07413349310664982,-0.13535440427470832,0.12168516872806671,22,28,0.47988766169832786,1.0
white_vs_yellow_orange,bio4,50,0.030842196928177766,0.033344755784173175,-0.12421044681234923,0.18340654622113292,26,24,0.887724827340783,1.0
white_vs_yellow_orange,bio5,50,0.001179324095312802,0.0016118321096510527,-0.11629972419816478,0.12024869704224843,25,25,1.0,1.0
white_vs_yellow_orange,bio6,50,-0.01974375973669908,-0.022594852643739966,-0.16028141170233065,0.12170413711848702,25,25,1.0,1.0
white_vs_yellow_orange,bio7,50,0.02559646973643036,0.014955714630602862,-0.12042697579295046,0.16623356104960593,26,24,0.887724827340783,1.0
white_vs_yellow_orange,bio12,50,-0.051895902824996655,-0.025810928804445347,-0.1998194204230618,0.08539223742353456,24,26,0.887724827340783,1.0
white_vs_yellow_orange,bio14,49,-0.008965194234473553,0.0916601187516829,-0.15168340790222076,0.12975262402629156,26,23,0.7754496546815659,1.0
white_vs_yellow_orange,bio15,50,0.0761257856726731,0.06540297343837169,-0.059295266207597085,0.211978209955907,28,22,0.47988766169832786,1.0
white_vs_yellow_orange,bio17,50,-0.039546251201331456,0.05008594294290744,-0.1896362590370043,0.09714169168160272,26,24,0.887724827340783,1.0
