contrast,metric,n_species,mean_effect_sd,median_effect_sd,bootstrap_ci_low,bootstrap_ci_high,positive_species,negative_species,sign_p,sign_p_holm
white_vs_anthocyanic,PC1,68,0.00749202395606644,0.02937295768619578,-0.10068112677426477,0.11243769574717781,35,33,0.9035973456835127,0.9035973456835127
white_vs_anthocyanic,PC2,68,0.118810562901385,0.1050163414621876,0.004051109702956339,0.22925555847778586,43,25,0.038460053348927506,0.07692010669785501
white_vs_anthocyanic,PC3,68,0.12145602165635916,0.1727688967043115,0.011381237232686574,0.23098122054625983,44,24,0.02052693371370707,0.06158080114112121
white_vs_all_nonwhite,PC1,124,0.016608589249644524,-0.01682237957377756,-0.06696455082891127,0.09868573367959306,60,64,0.7877465824023323,0.7877465824023323
white_vs_all_nonwhite,PC2,124,0.09826138363491027,0.0906490088322118,0.014118068535817062,0.18150579187198737,71,53,0.1265100563218553,0.2530201126437106
white_vs_all_nonwhite,PC3,124,0.08615934464599723,0.12682602984890962,0.011699242852131718,0.16034589732490048,74,50,0.03844849701100047,0.1153454910330014
white_vs_yellow_orange,PC1,50,0.0387610250877912,-0.061371506316597754,-0.10774322397703746,0.1919895488493277,22,28,0.47988766169832786,1.0
white_vs_yellow_orange,PC2,50,0.01479715102128642,-0.006264716198476766,-0.1223393549388605,0.1495390559024081,25,25,1.0,1.0
white_vs_yellow_orange,PC3,50,-0.038412633466442546,-0.0704898184762649,-0.14464622459807777,0.07070600107770905,24,26,0.887724827340783,1.0
