species_n,replicates,simultaneous_pass_fraction,composition_saturated,l1_median,l1_q95,max_abs_colour_dev_median,max_abs_colour_dev_q95,classifiable_dev_median,classifiable_dev_q95,cosine_median,cosine_q05
100,200,0.005,False,0.1749464062212514,0.3727771482953328,0.07448099106972489,0.17597130524746063,0.03170596756191968,0.10170596756191974,0.9870896950672303,0.9415511531519242
250,200,0.045,False,0.11653165662484621,0.23396672987876116,0.052387205775048434,0.10847231132416156,0.01829403243808031,0.061705967561919706,0.994114510139217,0.9767156277334723
500,200,0.175,False,0.08030303030303029,0.1525018890071441,0.0344711169466005,0.07030683415535822,0.01570596756191972,0.039705967561919686,0.9971706167621713,0.9898044758299436
1000,200,0.42,False,0.055208162530096375,0.11194644781198819,0.023082297181735982,0.05091408255513927,0.010000000000000009,0.028344032438080303,0.9987174679051016,0.9941262463738226
2000,200,0.72,False,0.040641764419187223,0.07799719042998485,0.017752341195432536,0.0360675840951928,0.008000000000000007,0.019205967561919723,0.9992723335993083,0.9972434677201504
5000,200,0.95,True,0.023177269903781564,0.05000754367356885,0.010037311070582006,0.02420206115695153,0.004105967561919721,0.011935967561919685,0.9997638959680606,0.9988305070374546
10000,200,0.995,True,0.016416143014294643,0.03328699657232075,0.007310008203148338,0.01534470508155279,0.002600000000000019,0.007994032438080279,0.9998818202796416,0.9995078075033271
20000,200,1.0,True,0.008895902908136327,0.017482087926326797,0.0037241231837332467,0.008031363359428135,0.0017940324380802952,0.004747129194272272,0.9999640696206844,0.9998607982326629
30000,200,1.0,True,0.0055204510184639,0.011618327843981101,0.0024598404634653404,0.004783934171496881,0.0010500000000000231,0.003069629194272236,0.9999861838133655,0.9999415722928424
42111,200,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
