calibrated_meta_heterogeneity_detection,calibrated_meta_mean_detection,calibrated_meta_omnibus_detection,common_slope_beta_median,common_slope_detection,effect_size,equal_matched_detection,equal_rho_median,meta_heterogeneity_detection,meta_mean_detection,meta_omnibus_detection,meta_random_mean_median,meta_tau2_median,missing_fraction,naive_detection,reversal_fraction,species_rho_ttest_detection,species_slope_sd_median,worlds
0.0,0.0,0.0,0.008636310651579285,0.0,0.0,0.0,-0.004286764030495082,0.05,0.025,0.05,0.004822990784989041,0.005034713926393108,0.0,1.0,0.0,0.025,0.24195876579604192,40
0.025,0.05,0.025,-0.004288468371003868,0.05,0.0,0.0,0.0007136783085043665,0.3,0.175,0.25,0.010049462368248628,0.01530129769173854,0.5,1.0,0.0,0.0,0.36871220011471695,40
0.025,0.025,0.025,-0.0004501468262934487,0.1,0.0,0.025,-0.0066727464385221355,0.1,0.05,0.025,0.007292112051616437,0.005629395605889077,0.0,1.0,0.25,0.025,0.24181645624808967,40
0.025,0.025,0.05,0.002479872219358306,0.05,0.0,0.0,0.007362797368380233,0.275,0.05,0.3,0.004295146811652124,0.029012087180582014,0.5,1.0,0.25,0.05,0.38706387731777125,40
0.075,0.075,0.05,-0.005355488299295438,0.1,0.0,0.05,0.0023589952192873105,0.1,0.05,0.075,-0.008437229841197946,0.005154161386044277,0.0,1.0,0.5,0.0,0.23302848797898099,40
0.025,0.025,0.05,0.0024900621609536345,0.025,0.0,0.025,-0.0145477648555534,0.075,0.025,0.05,-0.007402912021864577,0.0011776065686438329,0.5,1.0,0.5,0.025,0.336705705627803,40
0.05,1.0,1.0,0.40380265629194845,1.0,0.4,0.825,0.08762018484256015,0.1,1.0,1.0,0.40387665801130296,0.0,0.0,1.0,0.0,0.9,0.23423516500551086,40
0.0,1.0,1.0,0.39770240233872867,1.0,0.4,0.5,0.0732335914788316,0.2,1.0,1.0,0.4125914712771761,0.02092464800576393,0.5,1.0,0.0,0.5,0.3779737657326818,40
0.975,0.85,0.975,0.20320010377772896,0.975,0.4,0.8,0.08161376390365092,1.0,0.575,1.0,0.20119138817257914,0.1271054886455924,0.0,1.0,0.25,0.875,0.42323199684401874,40
0.625,0.7,0.7,0.19803314741730602,0.9,0.4,0.45,0.08756761418831313,0.925,0.35,0.925,0.2052140342016152,0.1490855673331861,0.5,1.0,0.25,0.6,0.515125790400117,40
1.0,0.0,1.0,0.01754116727811237,0.05,0.4,0.9,0.08873217074098859,1.0,0.0,1.0,0.006431205827293141,0.16367253407489368,0.0,1.0,0.5,0.95,0.47061580616124377,40
0.75,0.025,0.525,-0.03934349648291045,0.025,0.4,0.4,0.0771497473711149,0.95,0.0,0.95,-0.02762940564077108,0.18084911260254322,0.5,1.0,0.5,0.5,0.549188923138517,40
0.025,1.0,1.0,0.8064201002012026,1.0,0.8,1.0,0.26550818582232194,0.1,1.0,1.0,0.7995536522535033,0.00037133236887728217,0.0,1.0,0.0,1.0,0.2318962579215768,40
0.025,1.0,1.0,0.8211434368410837,1.0,0.8,1.0,0.2659080831714314,0.35,1.0,1.0,0.8182265904376945,0.030158093421798975,0.5,1.0,0.0,1.0,0.3717035477219486,40
1.0,1.0,1.0,0.3981774662945417,1.0,0.8,1.0,0.2700726073473386,1.0,0.875,1.0,0.40268536871090205,0.4918736726892293,0.0,1.0,0.25,1.0,0.754579001462597,40
0.975,0.975,1.0,0.40473955252259564,1.0,0.8,1.0,0.2615293514656213,1.0,0.6,1.0,0.3998628011665352,0.5193438965401977,0.5,1.0,0.25,1.0,0.8175505879234541,40
1.0,0.025,1.0,0.017495128868037814,0.05,0.8,1.0,0.2762477310203957,1.0,0.0,1.0,0.007874962877473671,0.6800666138689018,0.0,1.0,0.5,1.0,0.8562239522270869,40
1.0,0.0,1.0,-0.0036809460611693687,0.15,0.8,1.0,0.260615859207983,1.0,0.0,1.0,0.0023698546731065677,0.6800195404280694,0.5,1.0,0.5,1.0,0.9225541885211346,40
0.075,1.0,1.0,1.2141393274074312,1.0,1.2,1.0,0.4543231551828961,0.175,1.0,1.0,1.2280416671887373,0.004935130230740093,0.0,1.0,0.0,1.0,0.2416742627424295,40
0.0,1.0,1.0,1.1992254323011322,1.0,1.2,1.0,0.44966275207829887,0.225,1.0,1.0,1.1923652394803357,0.019474947904300093,0.5,1.0,0.0,1.0,0.37525936777906005,40
1.0,1.0,1.0,0.6516988131858188,1.0,1.2,1.0,0.4530792950963797,1.0,0.975,1.0,0.6162376066635482,1.121483187254333,0.0,1.0,0.25,1.0,1.0968555379441631,40
1.0,1.0,1.0,0.6095787422753562,1.0,1.2,1.0,0.43241321082398815,1.0,0.95,1.0,0.6206496728988271,1.0669750689350952,0.5,1.0,0.25,1.0,1.1119329302427259,40
1.0,0.0,1.0,0.034600127393883406,0.1,1.2,1.0,0.4336188201743451,1.0,0.0,1.0,-0.010380757516890467,1.4644143715890232,0.0,1.0,0.5,1.0,1.2323530048105353,40
1.0,0.0,1.0,0.0008480602187829252,0.125,1.2,1.0,0.43952022638791166,1.0,0.0,1.0,0.011020614815878012,1.5342044480342851,0.5,1.0,0.5,1.0,1.315259880939536,40
