scenario,supported_reps,matched_species_median,matched_species_min,matched_species_max,contrast_median,contrast_q025,contrast_q975,positive_fraction,robust_gate,upstream_maxdiff
primary_season30_year5,200,18.0,12,27,0.03235532010690441,-0.009768675699799334,0.07369275997075767,0.93,True,4.440892098500626e-16
sensitivity_season30_no_year,200,18.0,12,27,0.03444082487523104,-0.008413680701782007,0.07487406075993022,0.92,False,4.440892098500626e-16
sensitivity_season30_year2,200,16.0,11,26,0.026756449459047246,-0.02482256406575458,0.07615778270236342,0.85,False,4.440892098500626e-16
