species,D,n_classifiable,mean_M3_full,sd_M3_full,mean_M3_bio9,mean_nuisance_fraction
Acacia linifolia,0.2230902777777778,48,0.08416289226805879,0.08558820532695441,-1.3460792964160051e-05,0.22755746001442265
Acacia ulicifolia,0.3324099722991689,76,0.05092047175902281,0.07351988538811739,-0.00861532330069157,0.13651760178412353
Aciphylla glacialis,0.1403621214548949,79,0.08678707558273038,0.07315432268481144,0.0009715623557224309,0.24993164415095348
Aconitum delphiniifolium,0.1281241022694628,59,-0.04269816149089027,0.07850448037734269,-0.01844993107428551,0.17209856900276777
Aconitum tauricum,0.06951530612244894,56,-0.11119796468215615,0.09666525969703905,-0.02761900986460009,0.288634679228094
Adoxa moschatellina,0.48347107438016523,44,-0.018064987173533952,0.1426732596467284,-0.17080676896491315,0.4667001520754308
Aegopodium podagraria,0.0,80,0.08084339798331881,0.04624988452418191,-0.015602348441834668,0.419776217324098
Agapanthus praecox,0.5069419722321111,53,0.047759866316946196,0.09208178891564399,-0.00033748637002119447,0.29300774601796287
Ageratina havanensis,0.0,70,0.10537276356255175,0.06534730388859059,-0.0008480511836659655,0.25924878587402433
Agrostemma githago,0.5745817016731933,53,0.0017822825341833493,0.04436852837630449,-0.020041514162441883,0.055712416735072365
Ajuga genevensis,0.14993752603082044,49,0.010272988233334878,0.10359947814404138,-0.006811109807986541,0.3319798374060669
Alchemilla alpina,0.3244170096021948,54,-0.10779263608374212,0.17272869771559937,-0.24443314774119138,0.33510727219393105
Allium drummondii,0.3386243386243387,63,0.049623406029926605,0.04121222544981112,-0.007846435299557341,0.13482999232582002
Allium praecox,0.11786982248520717,65,0.0528799034136513,0.07889419445694824,-0.00916951438714959,0.14508823308034544
Allium schoenoprasum,0.5895999999999999,50,0.07258857103982551,0.08502719261212158,-0.013314297876886833,0.2039990285742693
Allium tuberosum,0.05791935843172191,67,0.07740858618333298,0.0713347851247664,-0.004707775477542688,0.25176801259151355
Althaea officinalis,0.15972421717897156,59,0.05214709144830868,0.07616076489653732,-0.017371223495313153,0.2030130208429397
Alyxia buxifolia,0.39308641975308645,45,0.0350682257323516,0.09040736077577394,-0.027000419681566842,0.14778070971258117
Amsinckia tessellata,0.05591836734693878,70,-0.1985013028154534,0.11145243538379782,-0.22740771390010053,0.061475162687933224
Anchusa arvensis,0.5312,50,0.049546045053428626,0.06776131526511685,-0.007140667757417129,0.18530932463169997
Andromeda polifolia,0.3021914648212226,51,0.09204354725977264,0.09871481745326935,-0.002317250598267247,0.17410310207696633
Androsace villosa,0.025312294543063718,78,0.05305558217304464,0.06002457415505101,-0.015316387750518277,0.1400759215331862
Andryala integrifolia,0.3713505566057551,69,-0.14536992809583066,0.14846741524737136,-0.2321366494161585,0.18627075287092285
Anemone pavonina,0.5748148148148149,45,0.008542564763007984,0.06050968821865895,-0.009443413850514596,0.09793046018426182
Anemonoides blanda,0.3698224852071006,52,-0.005862052750376817,0.038553530120997395,-0.024752356482354635,0.08332479931339215
Anemonoides quinquefolia,0.07986111111111094,48,0.014602523391595117,0.0691722429348326,-0.020320238214167927,0.10197776676429054
Antennaria dioica,0.286042240587695,66,0.08608172654054123,0.07543817740486286,-0.001365858471519993,0.19513395510561776
Aquilegia coerulea,0.5506198347107437,44,0.01200504905752111,0.1225925034513449,-0.05486336434216322,0.1697252429773193
Asclepias incarnata,0.4398167430237402,49,0.13114850532620412,0.07340818015387311,-0.000565764361135626,0.26345142897946633
Asclepias ovalifolia,0.15755053507728878,58,0.029468921690325726,0.06393355785894994,-0.01899439887252424,0.1593975478689301
Asclepias perennis,0.028163265306122343,70,0.07747370236950551,0.06644009803922216,-0.005442311782686429,0.20812985915278628
Asclepias quadrifolia,0.059228650137741035,66,0.06305869221596236,0.06927015676038213,-0.008533199977422828,0.1826800949020444
Asclepias viridis,0.43875,40,0.02288553808957936,0.1417266158283026,-0.1057248300890649,0.3498814194875826
Astragalus glycyphyllos,0.49546485260770967,42,-0.009854679356026482,0.12847663551648428,-0.11056353918685496,0.3373643879168422
Austroflourensia thurifera,0.035076530612244916,56,-0.23587439621183365,0.12643091781156895,-0.2821170729022388,0.08861317848162002
Baptisia australis,0.1472,75,0.002548737918413617,0.05849145309313835,-0.010855162287620814,0.20396740132402869
Baptisia tinctoria,0.0,75,-0.24890189249702122,0.10956496079045279,-0.34090604378314965,0.17236508729440225
Barbarea orthoceras,0.027772267407260465,71,-0.22635757569458967,0.13913536803767151,-0.31947933576799403,0.17559724368032129
Bellis annua,0.07218749999999985,80,-0.001162749797172468,0.07499141848526193,-0.055527711280892955,0.12829973365641725
Bidens aristosa,0.04996712689020377,78,-0.2796939758884477,0.09300642908903081,-0.3244539311606731,0.0816612377480529
Bidens bipinnata,0.12070759625390237,62,-0.16389268512651825,0.15352886285906844,-0.26411514625891597,0.2073852324519315
Bidens cernua,0.03076171875,64,-0.20241553049713956,0.15085946051007154,-0.26725512278124447,0.1210643577375389
Biscutella laevigata,0.17774251140646702,71,-0.1897363769638174,0.13971936480343417,-0.29143794368726256,0.20202002331238197
Brodiaea coronaria,0.06198034769463345,63,-0.004257859340597894,0.025653585631208776,-0.018038831546032336,0.062426083128720326
Bryonia alba,0.5425342058298632,41,-0.06269251205197865,0.13385164926622226,-0.18039387436820434,0.32132281085282943
Buddleja davidii,0.5959978366684695,43,0.07831753785370683,0.12587952873078123,-0.006878428982945616,0.33994732752138607
Bursaria spinosa,0.041647804436396596,47,0.09998073498839866,0.0729891257108615,-0.008100378176941179,0.2918740560514674
Calochortus concolor,0.17608566329565734,41,-0.25060535557525176,0.17120859652739506,-0.27413580895638195,0.04559570892844841
Calochortus flexuosus,0.21907538525614334,49,0.038478969999203166,0.07910201990718249,-0.012741972786738855,0.11228999987133341
Calochortus leichtlinii,0.13923182441700954,54,-0.006669021746720972,0.0641513214134734,-0.039704283591666244,0.06911797956762282
Calochortus monophyllus,0.0,55,-0.34081121438399714,0.06725938609583586,-0.35964044014158775,0.02728170736394187
Calycadenia multiglandulosa,0.0,64,0.07743963304800788,0.0673838807110835,-0.003754995099695917,0.1774552344746641
Calystegia tuguriorum,0.07830070803831746,49,0.028288416698709417,0.07457913589891899,-0.007961434354435129,0.11777681042223845
Campanula latifolia,0.4418402777777778,48,0.010794322271740502,0.039791781295774986,-0.017345117421795783,0.10542209267482279
Campanula patula,0.4470663265306123,56,0.0006385024016071346,0.055230666405481375,-0.02514426628652045,0.07100331437030619
Cardamine amara,0.029405212742259046,67,0.02381909773225747,0.052979201932670715,-0.034167360932906794,0.22201960761103479
Cardamine concatenata,0.08869659275283936,43,0.03405105543690977,0.07295992329151406,-0.016243457572041552,0.1622008695254491
Cardamine hirsuta,0.035076530612244916,56,0.08405309001224813,0.08431338742521181,-0.011006785735518953,0.279834066047724
Carlina hispanica,0.03388822829964333,58,-0.09705881169736809,0.13250039328063165,-0.1393227579004466,0.06343011961678899
