species,D,n_classifiable,mean_F_M3,mean_B_M3,mean_Dsig_M3,mean_flower_nuisance,n_component_rows
Abutilon fruticosum,0.21145713187235682,51,-0.15287725112371042,0.17306084652858733,-0.3259380976522978,0.08347755866879715,51
Acacia saligna,0.035076530612244916,56,-0.18394728599988128,0.13857109372626442,-0.3225183797261457,0.10823738940473408,56
Achillea millefolium,0.049671526998878446,79,0.07789728049752767,0.1513836491054179,-0.07348636860789022,0.17476993399366206,79
Actaea spicata,0.11892164273116657,63,0.05878736238982323,0.09146658382550023,-0.03267922143567701,0.33153822927467774,63
Adenium multiflorum,0.2662500000000001,40,0.10670318559369171,0.208103344088528,-0.1014001584948363,0.21538380124561093,40
Adenostyles alliariae,0.628099173553719,44,0.12935759267052988,0.0939819935956327,0.03537559907489721,0.38938327787641175,44
Aechmea distichantha,0.2586805555555556,48,0.08361421079370564,0.09035879709184202,-0.006744586298136364,0.1821526223323995,48
Aegiceras corniculatum,0.29030339083878653,41,0.0458636678305575,0.10131454607100863,-0.055450878240451126,0.2635440051569641,41
Aethusa cynapium,0.027021955338712766,73,0.08767826974335333,0.17341236862627069,-0.08573409888291737,0.4080564457234086,73
Agrimonia pilosa,0.1049382716049383,72,-0.1853398564204301,0.12871070537421408,-0.31405056179464425,0.2114227635575595,72
Aliciella latifolia,0.2790697674418604,43,0.09377891345003389,0.23752320833185334,-0.14374429488181945,0.16959455413777277,43
Alliaria petiolata,0.15264713786616502,61,0.023776606326939908,0.14671031697887413,-0.12293371065193423,0.24248585637543107,61
Allium scorodoprasum,0.6304,50,0.024555123566275525,0.15911395538795883,-0.1345588318216833,0.4291630359121662,50
Allium vineale,0.4773242630385487,42,0.14497529711767246,0.15151402726274557,-0.006538730145073078,0.42675308217532465,42
Amsonia tomentosa,0.0,63,0.0948636228463158,0.22695014706717823,-0.13208652422086245,0.2711783834909386,63
Anarrhinum bellidifolium,0.5051239669421488,55,0.09216460754148821,0.2300310123680301,-0.1378664048265419,0.28733104187639064,55
Andersonglossum virginianum,0.0992865636147443,58,0.05846773029214153,0.2078122853001228,-0.14934455500798127,0.2141536636326257,58
Anemone palmata,0.22840790842872005,62,-0.24650879296989917,0.19492426419582717,-0.4414330571657263,0.04703190842008384,62
Anemone virginiana,0.2659279778393353,57,-0.01987764429657591,0.12593727276357716,-0.14581491706015304,0.26710348456296706,57
Anemopsis californica,0.12070759625390237,62,0.04378550835134792,0.1214195786502411,-0.07763407029889317,0.157091912005125,62
Antennaria racemosa,0.24236686390532547,65,0.0825497986667812,0.1763899201481683,-0.09384012148138708,0.19978497279298327,65
Aotus ericoides,0.03702385190459245,53,-0.17880718112786653,0.16767330361509378,-0.3464804847429603,0.07689527059026903,53
