tranche,species_count,raw_photos_per_species,nominal_budget,pass_rate,median_coverage,q10_coverage,median_cosine,q10_cosine,median_D_quantile_MAE,q90_D_quantile_MAE,design_pass
discovery,25,10,250,0.0,0.2621951219512195,0.21890243902439024,0.6673787338844555,0.6060620129169956,0.10739823786649741,0.1722886762640786,False
discovery,25,20,500,0.0,0.3353658536585366,0.2865853658536585,0.6838024303022925,0.6242280973745883,0.056988047754590015,0.10098745994797498,False
discovery,25,40,1000,0.0,0.4268292682926829,0.35365853658536583,0.7035010961409608,0.6485799171629727,0.04136858304073647,0.08021188852664715,False
discovery,25,60,1500,0.0,0.4817073170731707,0.39634146341463417,0.7180267577893337,0.6564413322968559,0.04075488071419042,0.0743883337873621,False
discovery,25,80,2000,0.0,0.524390243902439,0.4329268292682927,0.7241323631045895,0.6612030500552747,0.0419024872185675,0.07361422080263681,False
discovery,25,100,2500,0.0,0.5548780487804879,0.4573170731707317,0.7284292998044224,0.672798084235661,0.04124098203730448,0.07629917419493135,False
discovery,50,10,500,0.0,0.36890243902439024,0.3170731707317073,0.6883517857864816,0.6447025367835014,0.10455454123146472,0.14618666694183122,False
discovery,50,20,1000,0.0,0.4695121951219512,0.40792682926829266,0.7131927859573564,0.669387644652465,0.04606590925686466,0.08200915566083447,False
discovery,50,40,2000,0.0,0.5670731707317073,0.49329268292682926,0.7312903697750464,0.6919044042542524,0.03082286898198991,0.05657287019363265,False
discovery,50,60,3000,0.0,0.6280487804878049,0.5542682926829269,0.7467295482386911,0.7062383460835711,0.0286837808808265,0.052410380940764376,False
discovery,50,80,4000,0.0,0.6829268292682927,0.5853658536585366,0.7549759282121438,0.7202005586693125,0.027134984074310538,0.050036573303465066,False
discovery,50,100,5000,0.0,0.7134146341463414,0.6213414634146341,0.764608383063815,0.7302370398261274,0.026065897038975064,0.051493877757257236,False
discovery,100,10,1000,0.0,0.49390243902439024,0.4451219512195122,0.7151614792777292,0.6803440281738997,0.09633852509249888,0.13354480781134773,False
discovery,100,20,2000,0.0,0.6097560975609756,0.5365853658536586,0.7365440188598631,0.7033724638987398,0.04298245307537623,0.06967504149679353,False
discovery,100,40,4000,0.0,0.7164634146341463,0.651829268292683,0.7604370380307404,0.731240451422634,0.023856047742296,0.04278677766836182,False
discovery,100,60,6000,0.0,0.7865853658536586,0.7134146341463414,0.7783328096172424,0.7477799759731445,0.021346770489776866,0.03744553327899583,False
discovery,100,80,8000,0.0,0.8292682926829268,0.7560975609756098,0.7958870989944742,0.7671705566335897,0.019095915056903036,0.03662567588092419,False
discovery,100,100,10000,0.0,0.8597560975609756,0.7865853658536586,0.8083001231518314,0.7797333948849383,0.01867346851924255,0.035768050896484285,False
discovery,150,10,1500,0.0,0.5670731707317073,0.524390243902439,0.7303641883629833,0.7010986209023192,0.09783477029840018,0.12839683463030577,False
discovery,150,20,3000,0.0,0.6890243902439024,0.6341463414634146,0.7542558019930281,0.7255316614582105,0.041711203371930926,0.06420507878895389,False
discovery,150,40,6000,0.0,0.8048780487804879,0.75,0.7878191057983043,0.7536655827365584,0.019731903366636612,0.03529292855299988,False
discovery,150,60,9000,0.0,0.8658536585365854,0.8109756097560976,0.8102039148411609,0.778672282222626,0.01706262730901465,0.02983778596719803,False
discovery,150,80,12000,0.0,0.9024390243902439,0.8475609756097561,0.8297519483803593,0.8020068381730758,0.014487606795776951,0.026972107327350305,False
discovery,150,100,15000,0.0,0.9329268292682927,0.8780487804878049,0.8448257594784232,0.8146932595294664,0.013603847706236615,0.025340281062988027,False
discovery,250,10,2500,0.0,0.6676829268292683,0.6280487804878049,0.754368683378627,0.7257282146951458,0.09494767307267861,0.12366707132580704,False
discovery,250,20,5000,0.0,0.7926829268292683,0.7439024390243902,0.7823469933993954,0.755497743424157,0.0437201232322139,0.059021040768309226,False
discovery,250,40,10000,0.0,0.8963414634146342,0.8658536585365854,0.8240622231094838,0.7989960165720013,0.01622582311936127,0.027438151670144816,False
discovery,250,60,15000,0.0,0.9451219512195121,0.9201219512195122,0.8562692554362088,0.8327169120473904,0.014023763065403094,0.02149647131980862,False
discovery,250,80,20000,0.165,0.9695121951219512,0.9451219512195121,0.8843135516667726,0.8608342351575026,0.00978389215154914,0.017952576928410173,False
discovery,250,100,25000,0.615,0.9817073170731707,0.9634146341463414,0.9053504827898688,0.8813714571836585,0.00878164494617921,0.017304055809433498,False
discovery,350,10,3500,0.0,0.7378048780487805,0.7012195121951219,0.7695451020830517,0.7425454776750411,0.0929961599571443,0.1222589962439223,False
discovery,350,20,7000,0.0,0.8536585365853658,0.8170731707317073,0.8034957385748174,0.7791281459349297,0.04443515750111095,0.05722386767909896,False
discovery,350,40,14000,0.0,0.9451219512195121,0.9207317073170732,0.853938602105079,0.8349527686479511,0.01532863014395416,0.024479380205826864,False
discovery,350,60,21000,0.355,0.9817073170731707,0.9628048780487805,0.8942003780995575,0.8744095407006368,0.012291010090004684,0.01822376898745421,False
discovery,350,80,28000,0.96,0.9939024390243902,0.9817073170731707,0.9270825272064631,0.9074458084719941,0.007621099726436679,0.013349787141669355,True
discovery,350,100,35000,1.0,1.0,0.9878048780487805,0.9528262712227595,0.9324830498711909,0.005222371618957127,0.01259672957997558,True
reserve,25,10,250,0.0,0.23563218390804597,0.19540229885057472,0.6691585174378257,0.5965262645045418,0.10951233560842519,0.18853570456506136,False
reserve,25,20,500,0.0,0.3103448275862069,0.26436781609195403,0.6926668235986853,0.6313283902995032,0.058526505787719715,0.10150163739242442,False
reserve,25,40,1000,0.0,0.40804597701149425,0.3333333333333333,0.7079644376603638,0.6405001635180647,0.04724453271149792,0.07771577007148749,False
reserve,25,60,1500,0.0,0.46551724137931033,0.3793103448275862,0.7177409324064126,0.654471512536158,0.04249008062926438,0.07566562591148646,False
reserve,25,80,2000,0.0,0.5114942528735632,0.40804597701149425,0.7272641244302791,0.6638085985331155,0.043700585932078456,0.07482349750547544,False
reserve,25,100,2500,0.0,0.5402298850574713,0.4362068965517242,0.7343988283856455,0.6659707679392888,0.04170231138227476,0.07786372296117595,False
reserve,50,10,500,0.0,0.3505747126436782,0.3045977011494253,0.6952284312977888,0.6475973257090416,0.11530961172051615,0.1617947969057013,False
reserve,50,20,1000,0.0,0.4482758620689655,0.39655172413793105,0.7188487440433202,0.6669032822618242,0.05154739912220746,0.09584186789745958,False
reserve,50,40,2000,0.0,0.5574712643678161,0.49367816091954025,0.7389190466464035,0.6995770968122184,0.03369744940584184,0.058529715010855354,False
reserve,50,60,3000,0.0,0.6264367816091954,0.5459770114942529,0.7529962381190833,0.7106031175773451,0.03015496252873401,0.05960267328412475,False
reserve,50,80,4000,0.0,0.6781609195402298,0.5919540229885057,0.7624302523265156,0.7196060856326111,0.027602218555840448,0.057673932912586365,False
reserve,50,100,5000,0.0,0.7126436781609196,0.6264367816091954,0.7707746375041387,0.7280214523274102,0.025676362775961067,0.05740691561408826,False
reserve,100,10,1000,0.0,0.47413793103448276,0.4419540229885058,0.7187749677345009,0.6814755565946239,0.11580819448695603,0.14879448196491027,False
reserve,100,20,2000,0.0,0.5919540229885057,0.5454022988505748,0.7400113610151895,0.7010831473490584,0.05016271653771763,0.07498761906899107,False
reserve,100,40,4000,0.0,0.7126436781609196,0.6603448275862069,0.7691945022549888,0.7267399617551644,0.025326149898773034,0.04637956026838945,False
reserve,100,60,6000,0.0,0.7816091954022989,0.7241379310344828,0.7868596610700107,0.7531398857554319,0.021410004555273122,0.03710825562018823,False
reserve,100,80,8000,0.0,0.8275862068965517,0.7752873563218391,0.8014876130137218,0.7657141789333941,0.018515364470692273,0.03559799117606553,False
reserve,100,100,10000,0.0,0.8620689655172413,0.8160919540229885,0.8134916057484167,0.7817404808897988,0.017648601586850256,0.03498713553583403,False
reserve,150,10,1500,0.0,0.5545977011494253,0.5172413793103449,0.7384888250621549,0.701290494026521,0.1148113753889465,0.14039220809239822,False
reserve,150,20,3000,0.0,0.6781609195402298,0.6379310344827587,0.7578628728158898,0.7230656305620461,0.048669773179705306,0.06884625957135751,False
reserve,150,40,6000,0.0,0.8045977011494253,0.7586206896551724,0.7865207101117351,0.7589164582832191,0.021428370516352928,0.03884814537212526,False
reserve,150,60,9000,0.0,0.867816091954023,0.8275862068965517,0.8126646233572815,0.787415310916538,0.01825143030915065,0.029904239459653686,False
reserve,150,80,12000,0.0,0.9137931034482759,0.867816091954023,0.8342487071034255,0.8051243485028123,0.015087432481805753,0.026752178087167473,False
reserve,150,100,15000,0.005,0.9367816091954023,0.896551724137931,0.8530330449318162,0.8272196004905732,0.013218781840010949,0.028556550176263774,False
reserve,250,10,2500,0.0,0.6551724137931034,0.6206896551724138,0.7538112208913881,0.725614060538874,0.11579679013097498,0.13333510442788715,False
reserve,250,20,5000,0.0,0.7816091954022989,0.7471264367816092,0.7808239596200788,0.755298781523527,0.047827425015156785,0.06296311188514524,False
reserve,250,40,10000,0.0,0.8908045977011494,0.8620689655172413,0.8228684104467989,0.7972360306799415,0.01825161476879284,0.028895951642852146,False
reserve,250,60,15000,0.0,0.9425287356321839,0.9137931034482759,0.8571056696841167,0.8354170447958744,0.014493375603070048,0.02219877764728662,False
reserve,250,80,20000,0.16,0.9712643678160919,0.9477011494252874,0.8867578654504651,0.8651008431526194,0.010070989556296357,0.017841051607454268,False
reserve,250,100,25000,0.725,0.9827586206896551,0.9597701149425287,0.9093670432071991,0.889940593617163,0.008471101623690342,0.017819758000591927,False
reserve,350,10,3500,0.0,0.7241379310344828,0.6896551724137931,0.7667498577472284,0.7448263829488895,0.11507732539034621,0.12780302315916564,False
reserve,350,20,7000,0.0,0.8505747126436781,0.8160919540229885,0.8019191690600733,0.7777884224794115,0.04727062465955105,0.059115032399295206,False
