,M1,M2
white,-0.6412229915938966,0.6663244775079128
yellow,0.13482211192318416,-0.26168571050850925
orange,0.009833060613644123,-0.004489097050954125
red,0.02299634726722064,0.001988308571154376
pink,0.031752156249569646,-0.08931886568106953
magenta,0.019778592536036713,-0.04351511561584778
purple,0.0534984865452348,-0.05282777340350218
blue,0.00727048746876463,-0.06488536063786973
bronze,0.003379383486741827,-0.012700206082095671
green,0.708289783377742,0.49478713731348145
brown,-0.21153876413043066,-0.42838818105298887
black,-0.1388586537438114,-0.20528961335971255
