mode,component,predictor,observed_median,observed_q025,observed_q975,fraction_observed_gt0,null_median,null_q025,null_q975,observed_minus_null_median,p_like_two_sided,informative_species_median,informative_species_min,informative_species_max
M1,B,abs_latitude,0.025453728578653502,0.006535325676077066,0.04468693563979214,1.0,0.00012059146607941307,-0.02069551704286166,0.022851411088877935,0.024554258778997223,0.024875621890547265,326.0,314,335
M1,B,island_share,0.022351367804197254,-0.013050477055675398,0.06305824268191192,0.86,0.0014071757238461654,-0.03868278506487652,0.0510462980619206,0.023386696653468264,0.3582089552238806,117.0,108,123
M1,D,abs_latitude,-0.024616187833175172,-0.042505781443374545,-0.0036758650525551043,0.02,-0.0013434251663510728,-0.027089887797068363,0.0234261899187836,-0.023742278867108474,0.07462686567164178,326.0,314,335
M1,D,island_share,-0.023306269874087526,-0.06882196445380642,0.02155195949924231,0.155,-0.0009562900752094134,-0.05683409100392256,0.052044342722906124,-0.024326935275916232,0.36318407960199006,117.0,108,123
M1,F,abs_latitude,0.0008322750726666087,-0.009797844120225182,0.013901056418952094,0.575,-0.0007445776492402531,-0.016933566284406426,0.01396605007693366,0.0013543158844183411,0.9104477611940298,326.0,314,335
M1,F,island_share,-0.002459129852779113,-0.02822145533106906,0.022832744860558415,0.43,-0.0009057324908033533,-0.03177483042952508,0.034470079076380646,-0.0013231328883948287,0.8656716417910447,117.0,108,123
M2,B,abs_latitude,0.016098571492079147,0.00275895483325087,0.028514856591143646,0.995,0.00041792482390188256,-0.014349754477984901,0.015852416675388857,0.015331664801621198,0.04477611940298507,326.0,314,335
M2,B,island_share,0.020706772997531812,-0.0016906174906975043,0.046693412493458805,0.95,9.389352500430692e-05,-0.03135614061592864,0.028065573712255626,0.01950383723484379,0.1691542288557214,117.0,108,123
M2,D,abs_latitude,-0.012203191444572107,-0.033441333797996686,0.0051438371532946505,0.105,0.00024329032250912076,-0.02215243931499072,0.022388305553619436,-0.013294490000025565,0.26865671641791045,326.0,314,335
M2,D,island_share,-0.018741239020709503,-0.04869559168085045,0.015759894314871004,0.16,0.001791678785120506,-0.04204399212054463,0.043313010553883015,-0.016557965931213278,0.39303482587064675,117.0,108,123
M2,F,abs_latitude,0.0034818677253969166,-0.010675661467765373,0.01891837966093078,0.645,0.0010205936055770913,-0.016738201425341232,0.021109165054399307,0.002205054569992089,0.7661691542288557,326.0,314,335
M2,F,island_share,0.003999923650121399,-0.025479672835153233,0.03265351041491061,0.605,-0.00032390626444121025,-0.034928439838185804,0.03666511321031035,0.004556244494519848,0.835820895522388,117.0,108,123
M3,B,abs_latitude,-0.004138614047829075,-0.01926476667870529,0.010379180644166807,0.24,-0.0008555258173961471,-0.01852318259795075,0.01482704773813158,-0.0022972960893459155,0.5970149253731343,326.0,314,335
M3,B,island_share,-0.002354346311461847,-0.028396368212698968,0.02440532234755231,0.435,-0.00021319017183050326,-0.029814025074933394,0.030952569184919183,-0.0032555161574194897,0.8905472636815921,117.0,108,123
M3,D,abs_latitude,0.0038595181404806225,-0.010573207308982648,0.0222499305782122,0.74,0.0012444043042304398,-0.015344662541963327,0.018519360180321347,0.0035795252605063635,0.681592039800995,326.0,314,335
M3,D,island_share,-0.004143473410724773,-0.03190949531676677,0.025014348940711983,0.38,0.00178011174213997,-0.032976224826434995,0.036918892135345716,-0.0050367752348984916,0.8407960199004975,117.0,108,123
M3,F,abs_latitude,0.00046773603633324106,-0.0073558210155749496,0.008044146232883315,0.57,-9.398308587818161e-05,-0.009845727299733173,0.008004143667876544,0.00035130515152944947,0.8905472636815921,326.0,314,335
M3,F,island_share,-0.0057335652736711235,-0.021905143109070612,0.007054547715827188,0.225,0.000529153252624575,-0.018866450920038455,0.02285414046833235,-0.0073808193332447,0.5870646766169154,117.0,108,123
