species,inat_taxon_id,raw_results,locally_eligible_before_exclusion,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,after_observer_cap,retained,full_fixed_n,request_error,prospective_rank,selection_hash
Salvia iodantha,278922,200,200,0,0,4,0,155,100,True,,1,001357e6becb0a3398ac576d3549c3c0b41cf86517894629a11f7d3877496a6e
Ambrosia trifida,53034,200,200,0,0,0,0,197,100,True,,2,0018e254df72936e81d50129e95ee74470c6b5174e3eae31acd092b217946e01
Castilleja affinis,50042,200,200,0,0,0,0,167,100,True,,3,00334933896754f4a4fedc7147bfcdf3f1086a66ed707e93c6029e4c14bfaa53
Euonymus verrucosus,117299,160,160,0,0,2,0,124,100,True,,4,006a69a8669e46c6d2532d4586c8caef81f256f4eb15bd33dde7aa4ee20b0e5c
Pectiantia pentandra,1424153,128,128,0,0,1,0,103,100,True,,5,0076e61779e64bb60e13cb04100438cf1329976bd1b3aada719f3da8e6664343
Hydrangea macrophylla,122034,200,200,0,0,8,0,167,100,True,,6,00823f70c0afdf1d7b2aecbf7257f4fc6bdaa322257ce4ed442d9a309ccd79be
Vernonia baldwinii,130124,200,200,0,0,1,0,163,100,True,,7,009260659aafe9e8d7d94e168f21f8dd6598148f4c4943a1a964560a433f1da5
Cakile maritima,60982,200,200,0,0,30,0,163,100,True,,8,009986ca929124dbffea709ead92f9bfdf7d53d04b1b845f6d49291fe0d04d81
Lantana strigocamara,370492,200,200,0,0,49,0,148,100,True,,9,00b0e37c06252633371060206a98b2050ed017f5faf23f2425eee19b156cc943
Malvaviscus penduliflorus,165118,125,125,0,0,3,0,118,100,True,,10,00b87db3607c63e64f3a15363280268bb7eeeee2d8d931110fe16a15d15a731b
Callirhoe pedata,159674,199,199,0,0,2,0,164,100,True,,11,00d4d918b40963073f8ed0fd38a4c8f7db14a59414692eeea99fb4c8d37fe2d2
Eriophyllum wallacei,77054,200,200,0,0,1,0,180,100,True,,12,00d6e0798ba31ff1bdf42a7fd291216c7fe4cab81b7e6f2a3113d3fb03380d15
Phacelia congesta,50858,174,174,0,0,1,0,135,100,True,,13,00d85c7162772ef19a668ab70e3d9310c06d48db32d9d293e9fec34d60b38635
Prostanthera lasianthos,155196,177,177,0,0,1,0,134,100,True,,14,00e0ec1c3cde675d7db08f2b5063e8ca0077834de24e7cf864c1a7981c6d038f
Mecardonia acuminata,132746,138,138,0,0,1,0,102,100,True,,15,00e9bb6076c232ee0fc5e666fd300254cc5f58439127c69fa6b928a79600cba4
Penstemon procerus,78414,200,200,0,0,4,0,157,100,True,,16,00f87f2fc78fb0cccb894f0982be80924301136d9d239384ef90d052ce95c855
Modiola caroliniana,78087,200,200,0,0,0,0,191,100,True,,17,00fd48a702b38f144d1a37703b8110956ff31d4b30b1a74b932f1d9d610fd8cd
Senecio callosus,153338,200,200,0,0,3,0,181,100,True,,18,01012c5c250cfc3c8a2c6c7a3fe0456035be98412ff6f0d7f67fdc733e20757f
Scutellaria ovata,82531,200,200,0,0,1,0,194,100,True,,19,0104a1d26c0d9ca98926301b0525307691beae089f80e68311f85a01ac93b10e
Calochortus argillosus,64330,200,200,0,0,0,0,159,100,True,,20,01098a1e02655f132d7e173dd9dc2b6af58e2eeebaabdf965326ed436d4ab476
Oxalis imbricata,567786,182,182,0,0,2,0,127,100,True,,21,01125aedacd5ebc077898e29e090bfdc99a9c8ed566aa8b87f48eb90db29fc9a
Galeopsis pubescens,507897,200,200,0,0,1,0,146,100,True,,22,01130938b9a578a643c3ea53dc55978d8d1927b6f9b71f2b4accb3275c30ba5f
Spergularia rubra,55730,200,200,0,0,0,0,192,100,True,,23,0118b301dbf79deb9fe30e16e58df20b63dd12d4820ff2c917f07a2f1d6a75a0
Gompholobium latifolium,83596,147,147,0,0,1,0,116,100,True,,24,013b5977d2c02f6d2c0dabd889def8b9e23e0fc62224c31fbd81eec328b75e7a
Hypochaeris glabra,53103,200,200,0,0,1,0,173,100,True,,25,0148ea7ac6de04c0e74dac933318322e9bdcb51869ac135081d28b6a0e977e76
Samolus parviflorus,60234,200,200,0,0,2,0,170,100,True,,26,016fd2d8de39837c7753e5a803b5a99bce66c2b09a25295168ec53e05a75d82d
Zephyranthes drummondii,120026,200,200,0,0,0,0,198,100,True,,27,016fea102cf36b2b3a122a229e9175751519e6ab929ab558337b65dc5ccc08f6
Plectocephalus americanus,699778,200,200,0,0,0,0,198,100,True,,28,01705f7755b29f7bd13613ee3d576eade6cb529a4907b3c725fa3e89731730f5
Campsis radicans,75995,200,200,0,0,26,0,170,100,True,,29,0188312ffdde9083829e79040a36c18ab412339d30bed559072f1ba7db27b311
Linum viscosum,57421,139,139,0,0,1,0,122,100,True,,30,0190536ff31730cbbe89f1e7df034050c286e8db95ed5f4e27e3569245d16746
Dulichium arundinaceum,76745,160,160,0,0,1,0,124,100,True,,31,01a5be66a64bd260678ae0b4797d7671e2a691f577fc829ca8099a7b469575c0
Swertia perennis,56354,200,200,0,0,1,0,185,100,True,,32,01ab007e3dc309e6af584d365cbddd5f7e888366b5e24468748d857c808b7861
Allium paradoxum,244033,145,145,0,0,1,0,124,100,True,,33,01b2826e3a47bf671a7a6365d5596f73e42f1021fbace68003cb5998a0b2aa75
Eryngium maritimum,162707,200,200,0,0,1,0,189,100,True,,34,01b8a45677a19eac50fd8b569891b0f7e5c665cea77167e056cf2f450b079e83
Anacamptis laxiflora,59317,160,160,0,0,1,0,124,100,True,,35,01e1ad249d18f4f8f3431a7d2627f83459d0229080f6c44c4262db074d0f3c71
Amsinckia calycina,409046,118,118,0,0,5,0,101,100,True,,36,01edc8664b37db05a57a3d3e62e59072b7c55d50f752b4227297d740e9c0c792
Butomus umbellatus,60462,200,200,0,0,1,0,180,100,True,,37,01f2a03dc4e2eabde42cb59adcc57d4479ec4db4c1e660e0e4d47a76fb076349
Lophiolepis eriophora,1501832,200,200,0,0,0,0,195,100,True,,38,023ae132ed8d23df3a0c743a9be7f9090e5ae8280814a555a82929c1a53c5473
Lactuca pulchella,983070,122,122,0,0,1,0,100,100,True,,39,024ddf83f5f53f3e0aa167e2b9921965d16171df34a97545e88a2708c57cc940
Erigeron vernus,162547,200,200,0,0,1,0,141,100,True,,40,027dba01fa9769656d1c958aa8aa6d2dfa6ad3ce62f1367de004f79c8d80b50c
Micranthes pensylvanica,204163,158,158,0,0,1,0,126,100,True,,41,02cf80d0f216e9eaadd2c5022dc624f2d9195609523d008398a123369656ebd6
Carduus crispus,159854,200,200,0,0,1,0,148,100,True,,42,02eebfebaffd580a5636087c9b11bb61c6062585114d8602a66c03138e223f48
Fumaria muralis,129075,200,200,0,0,0,0,174,100,True,,43,03051dffa8775acdaf6478ddd02283671afb703189d18122668fd1cd5deecbb8
Macroptilium atropurpureum,165059,200,200,0,0,4,0,172,100,True,,44,030c26054f125d9a4db9843ccf5f49e52d23de412558b323b66d3ec8b462d7cf
Ranunculus pyrenaeus,468777,148,148,0,0,1,0,116,100,True,,45,0318fb419c955b68b980d2d40b02198877f641ff65cc3dd1eb4a3a65b48850f9
Clitoria ternatea,160759,200,200,0,0,21,0,172,100,True,,46,03198e2fee6604392d833f263c7ef0abefdc01ec9b5c0900ef3f9615fb0dd1e7
Melilotus indicus,57065,200,200,0,0,1,0,188,100,True,,47,031b51c4fe4cf417452d44fda54b292189bed895ee6fb36cfe59452b293392bd
Asclepias viridiflora,158763,200,200,0,0,0,0,180,100,True,,48,033daaf2e3266ec2aedc34171442beffd43375c1c239af4efe69a01b4e00fca3
Mummenhoffia alliacea,902691,200,200,0,0,1,0,168,100,True,,49,0343f4597f1824e39d3997277e066711668d7ea0c2879ce403eb4124d86fd124
Potentilla gracilis,78728,200,200,0,0,2,0,192,100,True,,50,03547e42fc7fa5c9a987b029c45c345382470ad03bdd32a86159173416384775
