rx,ry,mode,full_sign,median_flower_score_A,median_flower_score_B,passes_half_gate_A,passes_half_gate_B,same_sign_fraction_A,same_sign_fraction_B,support_reps_A,support_reps_B,cross_split_robust
-24,8,M3,-1,-0.017386570200962372,0.000962789159162143,True,False,0.99,0.46,200,200,False
-24,9,M3,1,0.0073350970757122685,0.0036565143810801818,True,False,0.83,0.665,200,200,False
-24,10,M1,1,0.0013773788284059713,0.023098609125371525,False,True,0.535,0.895,200,200,False
-24,11,M1,1,0.013338547229648477,0.018012098394369146,True,True,0.765,0.795,200,200,True
-23,11,M1,-1,-0.02852492150940713,0.005727435364095986,True,False,0.925,0.385,200,200,False
-23,11,M2,1,0.036042818442970456,0.01293315325187366,True,True,0.98,0.715,200,200,True
-22,8,M3,-1,-0.014439051125428943,0.0007434909749506919,True,False,0.92,0.5,200,22,False
-19,8,M2,1,0.0199139412236027,0.02169285084868293,True,True,0.7918781725888325,0.7472527472527473,197,182,True
-16,6,M1,-1,0.0016440924706668972,-0.04830932999468598,False,True,0.47668393782383417,1.0,193,200,False
-16,6,M2,1,-0.01287201709457885,0.057821649687507304,False,True,0.3316062176165803,1.0,193,200,False
-16,10,M2,-1,-0.0386346471826023,0.016525717860308133,True,False,0.9015544041450777,0.36283185840707965,193,113,False
28,-9,M2,-1,-0.01135651590928127,-0.02928092328183004,False,True,0.675,0.935,200,200,False
29,-8,M3,1,0.003181487592125537,0.029146162409908517,False,True,0.5406976744186046,0.9744897959183674,172,196,False
