species,n_classifiable,D,second_fraction,n_raw,n_mixed,n_ambiguous_palette,n_bridge,n_technical_mixed,mixed_rate,ambiguous_palette_rate,bridge_rate,technical_mixed_rate
Androsace villosa,78,0.025312294543063718,0.01282051282051282,100,22,5,5,17,0.22,0.05,0.05,0.17
Andryala integrifolia,69,0.3713505566057551,0.2463768115942029,100,31,3,3,28,0.31,0.03,0.03,0.28
Anemone pavonina,45,0.5748148148148149,0.17777777777777778,100,55,13,13,42,0.55,0.13,0.13,0.42
Anemonoides blanda,52,0.3698224852071006,0.19230769230769232,100,48,5,5,43,0.48,0.05,0.05,0.43
Anemonoides quinquefolia,48,0.07986111111111094,0.041666666666666664,100,52,1,1,51,0.52,0.01,0.01,0.51
Antennaria dioica,66,0.286042240587695,0.13636363636363635,100,34,8,7,26,0.34,0.08,0.07,0.26
Aquilegia coerulea,44,0.5506198347107437,0.29545454545454547,100,56,7,7,49,0.56,0.07,0.07,0.49
Asclepias incarnata,49,0.4398167430237402,0.32653061224489793,100,51,22,21,29,0.51,0.22,0.21,0.29
Asclepias ovalifolia,58,0.15755053507728878,0.08620689655172414,100,42,6,6,36,0.42,0.06,0.06,0.36
Asclepias perennis,70,0.028163265306122343,0.014285714285714285,100,30,0,0,30,0.3,0.0,0.0,0.3
Asclepias quadrifolia,66,0.059228650137741035,0.015151515151515152,100,34,0,0,34,0.34,0.0,0.0,0.34
Asclepias viridis,40,0.43875,0.325,100,60,4,4,56,0.6,0.04,0.04,0.56
Astragalus glycyphyllos,42,0.49546485260770967,0.4523809523809524,100,58,4,4,54,0.58,0.04,0.04,0.54
Austroflourensia thurifera,56,0.035076530612244916,0.017857142857142856,100,44,0,0,44,0.44,0.0,0.0,0.44
Baptisia australis,75,0.1472,0.08,100,25,8,8,17,0.25,0.08,0.08,0.17
Baptisia tinctoria,75,0.0,0.0,100,25,1,1,24,0.25,0.01,0.01,0.24
Barbarea orthoceras,71,0.027772267407260465,0.014084507042253521,100,29,1,1,28,0.29,0.01,0.01,0.28
Bellis annua,80,0.07218749999999985,0.0375,100,20,2,2,18,0.2,0.02,0.02,0.18
Bidens aristosa,78,0.04996712689020377,0.02564102564102564,100,22,0,0,22,0.22,0.0,0.0,0.22
Bidens bipinnata,62,0.12070759625390237,0.06451612903225806,100,38,0,0,38,0.38,0.0,0.0,0.38
Bidens cernua,64,0.03076171875,0.015625,100,36,1,1,35,0.36,0.01,0.01,0.35
Biscutella laevigata,71,0.17774251140646702,0.09859154929577464,100,29,2,2,27,0.29,0.02,0.02,0.27
Brodiaea coronaria,63,0.06198034769463345,0.015873015873015872,100,37,4,4,33,0.37,0.04,0.04,0.33
Bryonia alba,41,0.5425342058298632,0.43902439024390244,100,59,1,1,58,0.59,0.01,0.01,0.58
Buddleja davidii,43,0.5959978366684695,0.3953488372093023,100,57,10,10,47,0.57,0.1,0.1,0.47
Bursaria spinosa,47,0.041647804436396596,0.02127659574468085,100,53,1,1,52,0.53,0.01,0.01,0.52
Calochortus concolor,41,0.17608566329565734,0.0975609756097561,100,59,0,0,59,0.59,0.0,0.0,0.59
Calochortus flexuosus,49,0.21907538525614334,0.10204081632653061,100,51,5,5,46,0.51,0.05,0.05,0.46
Calochortus leichtlinii,54,0.13923182441700954,0.05555555555555555,100,46,1,1,45,0.46,0.01,0.01,0.45
Calochortus monophyllus,55,0.0,0.0,100,45,0,0,45,0.45,0.0,0.0,0.45
Calycadenia multiglandulosa,64,0.0,0.0,100,36,0,0,36,0.36,0.0,0.0,0.36
