species,n_classifiable,D,second_fraction,n_raw,n_mixed,n_ambiguous_palette,n_bridge,n_technical_mixed,mixed_rate,ambiguous_palette_rate,bridge_rate,technical_mixed_rate
Polygala comosa,43,0.3796646836127636,0.16279069767441862,100,57,26,26,31,0.57,0.26,0.26,0.31
Portulaca suffrutescens,58,0.24732461355529134,0.06896551724137931,100,42,3,3,39,0.42,0.03,0.03,0.39
Potentilla concinna,82,0.04788816180844746,0.012195121951219513,100,18,2,2,16,0.18,0.02,0.02,0.16
Potentilla indica,45,0.339753086419753,0.13333333333333333,100,55,0,0,55,0.55,0.0,0.0,0.55
Potentilla simplex,75,0.05191111111111102,0.02666666666666667,100,25,0,0,25,0.25,0.0,0.0,0.25
Primula elatior,58,0.4851367419738407,0.41379310344827586,100,42,6,6,36,0.42,0.06,0.06,0.36
Prunus mahaleb,52,0.07396449704142016,0.038461538461538464,100,48,0,0,48,0.48,0.0,0.0,0.48
Pseudo-fumaria lutea,68,0.028979238754325065,0.014705882352941176,100,32,1,1,31,0.32,0.01,0.01,0.31
Pseudognaphalium affine,82,0.07049375371802502,0.036585365853658534,100,18,4,4,14,0.18,0.04,0.04,0.14
Pulmonaria obscura,47,0.4092349479402445,0.1702127659574468,100,53,17,17,36,0.53,0.17,0.17,0.36
Pultenaea villosa,65,0.030295857988165587,0.015384615384615385,100,35,0,0,35,0.35,0.0,0.0,0.35
Purshia stansburyana,48,0.32986111111111116,0.20833333333333334,100,52,8,8,44,0.52,0.08,0.08,0.44
Pycnanthemum virginianum,85,0.04595155709342569,0.023529411764705882,100,15,2,2,13,0.15,0.02,0.02,0.13
Pyrola elliptica,44,0.0,0.0,100,56,1,1,55,0.56,0.01,0.01,0.55
Ranunculus kuepferi,79,0.07306521390802745,0.0379746835443038,100,21,1,1,20,0.21,0.01,0.01,0.2
Ranunculus lyallii,70,0.08204081632653049,0.04285714285714286,100,30,0,0,30,0.3,0.0,0.0,0.3
Ranunculus trichophyllus,74,0.07779401022644272,0.04054054054054054,100,26,4,4,22,0.26,0.04,0.04,0.22
Ranunculus uncinatus,44,0.2675619834710743,0.1590909090909091,100,56,5,5,51,0.56,0.05,0.05,0.51
Rhododendron canadense,45,0.345679012345679,0.2222222222222222,100,55,20,20,35,0.55,0.2,0.2,0.35
Rhododendron catawbiense,48,0.4765625,0.1875,100,52,8,7,44,0.52,0.08,0.07,0.44
Rhododendron pseudochrysanthum,50,0.21120000000000005,0.12,100,50,7,7,43,0.5,0.07,0.07,0.43
Rhododendron tomentosum,61,0.03224939532383764,0.01639344262295082,100,39,0,0,39,0.39,0.0,0.0,0.39
Rhynchospora colorata,51,0.11072664359861584,0.058823529411764705,100,49,1,1,48,0.49,0.01,0.01,0.48
Rorippa palustris,63,0.1461325270849081,0.07936507936507936,100,37,1,1,36,0.37,0.01,0.01,0.36
Rosa blanda,50,0.6135999999999999,0.38,100,50,8,8,42,0.5,0.08,0.08,0.42
Rosa multiflora,71,0.05475104146002763,0.028169014084507043,100,29,0,0,29,0.29,0.0,0.0,0.29
Rubus chamaemorus,58,0.15755053507728878,0.08620689655172414,100,42,1,1,41,0.42,0.01,0.01,0.41
Rubus odoratus,50,0.4919999999999999,0.16,100,50,15,15,35,0.5,0.15,0.15,0.35
Rubus trivialis,61,0.0,0.0,100,39,1,1,38,0.39,0.01,0.01,0.38
Rudbeckia triloba,75,0.026311111111110952,0.013333333333333334,100,25,0,0,25,0.25,0.0,0.0,0.25
Sagittaria lancifolia,59,0.09652398735995393,0.05084745762711865,100,41,1,1,40,0.41,0.01,0.01,0.4
Sagittaria latifolia,68,0.05709342560553643,0.029411764705882353,100,32,2,2,30,0.32,0.02,0.02,0.3
Sairocarpus pusillus,43,0.2520281233098973,0.06976744186046512,100,57,8,8,49,0.57,0.08,0.08,0.49
Salvia amarissima,49,0.47896709704289875,0.3469387755102041,100,51,4,4,47,0.51,0.04,0.04,0.47
Salvia hispanica,61,0.5020155872077399,0.32786885245901637,100,39,2,2,37,0.39,0.02,0.02,0.37
Salvia lavanduloides,47,0.501584427342689,0.3404255319148936,100,53,8,8,45,0.53,0.08,0.08,0.45
Salvia polystachia,43,0.505137912385073,0.3953488372093023,100,57,4,4,53,0.57,0.04,0.04,0.53
Salvia prunelloides,48,0.18663194444444442,0.10416666666666667,100,52,4,4,48,0.52,0.04,0.04,0.48
Salvia verticillata,44,0.6064049586776861,0.3181818181818182,100,56,26,25,30,0.56,0.26,0.25,0.3
Sambucus mexicana,46,0.3402646502835538,0.21739130434782608,100,54,4,4,50,0.54,0.04,0.04,0.5
Sanguinaria canadensis,68,0.20761245674740492,0.11764705882352941,100,32,0,0,32,0.32,0.0,0.0,0.32
Satureja montana,60,0.09611111111111115,0.03333333333333333,100,40,1,1,39,0.4,0.01,0.01,0.39
Saxifraga granulata,69,0.02856542743121193,0.014492753623188406,100,31,3,3,28,0.31,0.03,0.03,0.28
Saxifraga tridactylites,52,0.3173076923076923,0.17307692307692307,100,48,6,6,42,0.48,0.06,0.06,0.42
Scilla bifolia,51,0.31526336024605917,0.19607843137254902,100,49,3,3,46,0.49,0.03,0.03,0.46
Scilla luciliae,59,0.4481470841712152,0.3389830508474576,100,41,10,10,31,0.41,0.1,0.1,0.31
Scilla verna,63,0.43033509700176376,0.2857142857142857,100,37,13,13,24,0.37,0.13,0.13,0.24
Senecio mohavensis,66,0.11524334251606971,0.045454545454545456,100,34,2,2,32,0.34,0.02,0.02,0.32
Senecio ovatus,43,0.0,0.0,100,57,0,0,57,0.57,0.0,0.0,0.57
Senecio triangularis,58,0.16171224732461342,0.05172413793103448,100,42,2,2,40,0.42,0.02,0.02,0.4
Senecio vernalis,82,0.024092801903628835,0.012195121951219513,100,18,0,0,18,0.18,0.0,0.0,0.18
Senegalia berlandieri,71,0.17774251140646702,0.09859154929577464,100,29,3,3,26,0.29,0.03,0.03,0.26
Senna artemisioides,75,0.0,0.0,100,25,1,1,24,0.25,0.01,0.01,0.24
Senna hebecarpa,47,0.25350837483024,0.14893617021276595,100,53,2,2,51,0.53,0.02,0.02,0.51
Sericocarpus linifolius,52,0.0,0.0,100,48,1,1,47,0.48,0.01,0.01,0.47
Sesbania drummondii,44,0.16528925619834722,0.09090909090909091,100,56,2,2,54,0.56,0.02,0.02,0.54
Sidalcea candida,53,0.13955144179423273,0.07547169811320754,100,47,0,0,47,0.47,0.0,0.0,0.47
Sideranthus spinulosus,86,0.06733369388858823,0.03488372093023256,100,14,2,2,12,0.14,0.02,0.02,0.12
Sisymbrium irio,65,0.08804733727810632,0.046153846153846156,100,35,1,1,34,0.35,0.01,0.01,0.34
Sixalix atropurpurea,49,0.2573927530195752,0.061224489795918366,100,51,9,9,42,0.51,0.09,0.09,0.42
Solanum crispum,51,0.5428681276432141,0.39215686274509803,100,49,13,13,36,0.49,0.13,0.13,0.36
Solanum elaeagnifolium,53,0.5475258098967605,0.3584905660377358,100,47,13,13,34,0.47,0.13,0.13,0.34
Solanum furcatum,48,0.2543402777777778,0.125,100,52,0,0,52,0.52,0.0,0.0,0.52
Solanum laxum,48,0.19184027777777768,0.0625,100,52,1,1,51,0.52,0.01,0.01,0.51
Solanum lycopersicum,46,0.5094517958412098,0.2391304347826087,100,54,0,0,54,0.54,0.0,0.0,0.54
Solanum pseudocapsicum,54,0.5102880658436215,0.37037037037037035,100,46,5,4,41,0.46,0.05,0.04,0.41
Solidago ptarmicoides,78,0.11998685075608151,0.0641025641025641,100,22,0,0,22,0.22,0.0,0.0,0.22
Solidago uliginosa,50,0.1472,0.08,100,50,1,1,49,0.5,0.01,0.01,0.49
Solidago virgaurea,63,0.0,0.0,100,37,0,0,37,0.37,0.0,0.0,0.37
Sparaxis tricolor,52,0.5776627218934911,0.40384615384615385,100,48,11,11,37,0.48,0.11,0.11,0.37
Sphaeralcea ambigua,52,0.3224852071005917,0.15384615384615385,100,48,10,9,38,0.48,0.1,0.09,0.38
Sphaeralcea coccinea,57,0.19329024315173904,0.07017543859649122,100,43,5,5,38,0.43,0.05,0.05,0.38
Stachys palustris,43,0.6479177934018389,0.3023255813953488,100,57,18,18,39,0.57,0.18,0.18,0.39
Stevia serrata,68,0.05752595155709339,0.014705882352941176,100,32,0,0,32,0.32,0.0,0.0,0.32
Streptosolen jamesonii,60,0.06499999999999995,0.016666666666666666,100,40,1,1,39,0.4,0.01,0.01,0.39
Stypandra glauca,57,0.25053862726992915,0.08771929824561403,100,43,4,4,39,0.43,0.04,0.04,0.39
Symphyotrichum puniceum,62,0.2325702393340271,0.08064516129032258,100,38,8,8,30,0.38,0.08,0.08,0.3
Symphyotrichum subulatum,68,0.1379757785467126,0.058823529411764705,100,32,0,0,32,0.32,0.0,0.0,0.32
Symphytum officinale,46,0.5189035916824196,0.21739130434782608,100,54,14,14,40,0.54,0.14,0.14,0.4
Symplocos tinctoria,45,0.5175308641975309,0.4444444444444444,100,55,5,5,50,0.55,0.05,0.05,0.5
Talinum fruticosum,48,0.35416666666666663,0.125,100,52,7,7,45,0.52,0.07,0.07,0.45
Talinum paniculatum,45,0.422716049382716,0.26666666666666666,100,55,13,13,42,0.55,0.13,0.13,0.42
Tanacetum vulgare,85,0.02325259515570921,0.011764705882352941,100,15,3,3,12,0.15,0.03,0.03,0.12
Taraxacum erythrospermum,75,0.23111111111111104,0.13333333333333333,100,25,1,1,24,0.25,0.01,0.01,0.24
Telekia speciosa,62,0.031737773152965554,0.016129032258064516,100,38,0,0,38,0.38,0.0,0.0,0.38
Tetratheca thymifolia,48,0.5590277777777778,0.375,100,52,10,10,42,0.52,0.1,0.1,0.42
Thysanocarpus curvipes,59,0.25854639471416263,0.15254237288135594,100,41,1,1,40,0.41,0.01,0.01,0.4
Tiarella stolonifera,54,0.1049382716049383,0.05555555555555555,100,46,2,2,44,0.46,0.02,0.02,0.44
Tinantia erecta,45,0.5659259259259259,0.24444444444444444,100,55,7,7,48,0.55,0.07,0.07,0.48
Tithonia tubaeformis,48,0.08072916666666652,0.020833333333333332,100,52,2,2,50,0.52,0.02,0.02,0.5
Trachymene composita,60,0.12444444444444436,0.06666666666666667,100,40,2,2,38,0.4,0.02,0.02,0.38
Tragopogon porrifolius,44,0.7076446280991735,0.2727272727272727,100,56,18,18,38,0.56,0.18,0.18,0.38
Trifolium incarnatum,52,0.27144970414201186,0.09615384615384616,100,48,11,11,37,0.48,0.11,0.11,0.37
Trifolium repens,72,0.07986111111111094,0.041666666666666664,100,28,3,3,25,0.28,0.03,0.03,0.25
Tripolium pannonicum,70,0.16040816326530616,0.04285714285714286,100,30,15,15,15,0.3,0.15,0.15,0.15
Triteleia laxa,61,0.2956194571351787,0.18032786885245902,100,39,11,11,28,0.39,0.11,0.11,0.28
Trixis inula,83,0.0,0.0,100,17,0,0,17,0.17,0.0,0.0,0.17
Trollius albiflorus,62,0.20031217481789798,0.11290322580645161,100,38,5,5,33,0.38,0.05,0.05,0.33
Turnera subulata,60,0.33944444444444444,0.21666666666666667,100,40,3,3,37,0.4,0.03,0.03,0.37
Verbascum thapsus,52,0.2921597633136095,0.15384615384615385,100,48,1,1,47,0.48,0.01,0.01,0.47
Verbena rigida,64,0.52978515625,0.484375,100,36,9,9,27,0.36,0.09,0.09,0.27
Veronica cymbalaria,52,0.2921597633136095,0.15384615384615385,100,48,2,2,46,0.48,0.02,0.02,0.46
Veronica longifolia,43,0.46944294213088145,0.32558139534883723,100,57,11,11,46,0.57,0.11,0.11,0.46
Veronica officinalis,66,0.08677685950413205,0.045454545454545456,100,34,2,2,32,0.34,0.02,0.02,0.32
Veronica polita,44,0.5423553719008264,0.36363636363636365,100,56,8,8,48,0.56,0.08,0.08,0.48
Veronica prostrata,73,0.3918183524113342,0.2465753424657534,100,27,5,5,22,0.27,0.05,0.05,0.22
Veronica spicata,51,0.38677431757016534,0.1568627450980392,100,49,8,8,41,0.49,0.08,0.08,0.41
Vicia lathyroides,42,0.5975056689342404,0.23809523809523808,100,58,9,9,49,0.58,0.09,0.09,0.49
Viminaria juncea,54,0.036351165980795574,0.018518518518518517,100,46,0,0,46,0.46,0.0,0.0,0.46
Vincetoxicum hirundinaria,62,0.297086368366285,0.16129032258064516,100,38,5,4,33,0.38,0.05,0.04,0.33
Viola blanda,50,0.07679999999999998,0.04,100,50,0,0,50,0.5,0.0,0.0,0.5
Viola cucullata,60,0.33944444444444444,0.21666666666666667,100,40,4,4,36,0.4,0.04,0.04,0.36
Viola hirta,65,0.16757396449704154,0.09230769230769231,100,35,5,5,30,0.35,0.05,0.05,0.3
Viola lutea,71,0.5776631620710176,0.39436619718309857,100,29,3,3,26,0.29,0.03,0.03,0.26
Viola mirabilis,42,0.4886621315192743,0.30952380952380953,100,58,8,8,50,0.58,0.08,0.08,0.5
Viola pedunculata,73,0.0,0.0,100,27,1,1,26,0.27,0.01,0.01,0.26
Viola rostrata,47,0.33499320959710266,0.2127659574468085,100,53,6,6,47,0.53,0.06,0.06,0.47
Viola tricolor,55,0.5328925619834712,0.45454545454545453,100,45,16,16,29,0.45,0.16,0.16,0.29
Viscaria vulgaris,60,0.31666666666666676,0.11666666666666667,100,40,10,9,30,0.4,0.1,0.09,0.3
Vitex agnus-castus,52,0.42603550295857995,0.3076923076923077,100,48,14,14,34,0.48,0.14,0.14,0.34
Whipplea modesta,62,0.031737773152965554,0.016129032258064516,100,38,0,0,38,0.38,0.0,0.0,0.38
Wyethia angustifolia,64,0.11865234375,0.046875,100,36,1,1,35,0.36,0.01,0.01,0.35
Zanthoxylum americanum,56,0.19132653061224492,0.10714285714285714,100,44,1,1,43,0.44,0.01,0.01,0.43
Zephyranthes atamasco,50,0.32719999999999994,0.18,100,50,0,0,50,0.5,0.0,0.0,0.5
