,white,yellow,orange,red,pink,magenta,purple,blue,bronze,n_reference_rows
white,0.8427092734441726,0.036951472070809205,0.001127933879290811,0.0012937786766278583,0.028073472724760067,0.0010790425866610799,0.00837510618461618,0.024848441184715846,0.05554147924834741,11843
yellow_orange,0.08136630829982705,0.6653339386484461,0.04377608062668478,0.009183462317850347,0.005276116221323624,0.0002739261428802099,0.0010173034788021184,0.002007756982924923,0.19176510728126087,7355
red_pink,0.11538109265523819,0.00984936446734827,0.009248697258212616,0.19405638773618192,0.40364179989895593,0.15372723449913353,0.04544593495597972,0.003016436442225995,0.06563305208672333,3128
blue_purple,0.15235189124882395,0.007253251503718952,0.0005493304591034139,0.0003927386442819944,0.045268352249055906,0.014025246576824805,0.38570504512359455,0.38331813559852923,0.011136008596067006,2559
