source_row_index,species,morph,measurement_status,nearest_vertex,d_vertex,best_pair_left,best_pair_right,t,d_segment,bridge_advantage,interior_bridge
14,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.5183638054625492,white,red_pink,0.40367101207976236,0.38628291266532705,0.13208089279722218,True
29,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.6090926852806774,white,yellow_orange,0.34778540081014947,0.5005177060327246,0.10857497924795279,True
63,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.5770132366935125,white,yellow_orange,0.3450752869138728,0.4629672224877324,0.11404601420578003,True
65,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.5433919094166271,white,yellow_orange,0.2997430886499369,0.45363473620787004,0.08975717320875704,True
66,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.4529742463928535,white,yellow_orange,0.5593163998903024,0.10840810912857046,0.34456613726428303,True
74,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.48544437212387276,white,yellow_orange,0.4829448731730171,0.05782452604247398,0.4276198460813988,True
82,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.5040758509237379,white,yellow_orange,0.5024283378617971,0.08657285843770086,0.417502992486037,True
94,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.6227485839507882,white,yellow_orange,0.3391112239314047,0.5227566858264161,0.09999189812437215,True
99,Leucaena leucocephala,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.4145363494802437,white,yellow_orange,0.4119501034082885,0.05300199113630484,0.3615343583439389,True
102,Asclepias ovalifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.4341781237768276,white,yellow_orange,0.4301760542508364,0.0647431192009886,0.369435004575839,True
105,Asclepias ovalifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.4859792168090724,white,yellow_orange,0.2978696519484294,0.38444851925209333,0.10153069755697908,True
106,Asclepias ovalifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.56914075425512,white,yellow_orange,0.36118367025238735,0.44043604852909807,0.12870470572602194,True
123,Asclepias ovalifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.4745445083509834,white,yellow_orange,0.337798858594593,0.33397018016601543,0.14057432818496796,True
157,Asclepias ovalifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.4800734649654461,white,yellow_orange,0.4534896695008413,0.16009891162355974,0.3199745533418864,True
182,Asclepias ovalifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.4566933954034714,white,yellow_orange,0.5646413102985175,0.1406481072122767,0.3160452881911947,True
234,Lobelia cardinalis,mixed_uncertain,not_evaluable_ambiguous_palette_composition,red_pink,0.48973372194446124,white,red_pink,0.5604144058607999,0.31328156533378565,0.1764521566106756,True
319,Sagittaria latifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.43845618285464977,white,yellow_orange,0.6045223696439134,0.19094590033294437,0.2475102825217054,True
328,Sagittaria latifolia,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.5101006854663791,white,yellow_orange,0.5109862381186141,0.14837380508277243,0.3617268803836067,True
405,Galinsoga parviflora,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.46636547925477606,white,yellow_orange,0.5587129399571757,0.15340561655206839,0.3129598627027077,True
429,Galinsoga parviflora,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.5015001213178905,white,yellow_orange,0.530668095024145,0.1791697840039103,0.3223303373139802,True
447,Galinsoga parviflora,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.4783719700393392,white,yellow_orange,0.4639405180689578,0.1202118886672604,0.3581600813720788,True
455,Galinsoga parviflora,mixed_uncertain,not_evaluable_ambiguous_palette_composition,white,0.4224845996196949,white,yellow_orange,0.38672592031101033,0.17183792364173472,0.2506466759779602,True
465,Galinsoga parviflora,mixed_uncertain,not_evaluable_ambiguous_palette_composition,red_pink,0.44030674398164427,yellow_orange,red_pink,0.5453792472636539,0.23697283377669953,0.20333391020494473,True
466,Galinsoga parviflora,mixed_uncertain,not_evaluable_ambiguous_palette_composition,yellow_orange,0.43690894113003786,white,yellow_orange,0.6133275546527737,0.20485519684555725,0.2320537442844806,True
