term,coefficient
intercept,-0.4620781319269561
discovery_source=v1_only,0.057217606662738875
discovery_source=v2_only,0.006148798127608939
capacity_bin=1,0.0640887287161687
capacity_bin=10_19,0.21167285020072238
capacity_bin=20_plus,0.35136371634687086
capacity_bin=2_4,0.11871556280458286
capacity_bin=5_9,0.12328285420635367
opened_group=previously_opened_1000,0.18684460765814997
breadth_rank_block=15001_20000,-0.004408020622880756
breadth_rank_block=1_5000,0.007823349216507087
breadth_rank_block=20001_25000,0.004188170094220345
breadth_rank_block=25001_30000,0.0306569556660988
breadth_rank_block=30001_35000,0.03517702445349983
breadth_rank_block=35001_40000,0.019970209118816133
breadth_rank_block=40001_42111,-0.0207356012193848
breadth_rank_block=5001_10000,0.009768802910439231
genus_size_class=singleton_genus_label,-0.14430916487412468
