discovery_source,capacity_bin,opened_group,breadth_rank_block,genus_size_class,denominator,classifiable,n_blue_purple,n_red_pink,n_white,n_yellow_orange
both,20_plus,not_previously_opened,25001_30000,non_singleton_genus_label,930,438,36,60,198,144
both,20_plus,not_previously_opened,25001_30000,singleton_genus_label,63,26,3,2,11,10
both,20_plus,not_previously_opened,30001_35000,non_singleton_genus_label,1018,479,31,62,230,156
both,20_plus,not_previously_opened,30001_35000,singleton_genus_label,91,39,2,4,24,9
both,20_plus,not_previously_opened,35001_40000,non_singleton_genus_label,1014,482,44,68,212,158
both,20_plus,not_previously_opened,35001_40000,singleton_genus_label,77,37,1,6,19,11
both,20_plus,not_previously_opened,40001_42111,non_singleton_genus_label,441,224,27,29,100,68
both,20_plus,not_previously_opened,40001_42111,singleton_genus_label,29,10,0,1,5,4
both,20_plus,not_previously_opened,5001_10000,non_singleton_genus_label,966,467,49,54,218,146
both,20_plus,not_previously_opened,5001_10000,singleton_genus_label,59,21,2,0,10,9
both,20_plus,previously_opened_1000,10001_15000,non_singleton_genus_label,105,55,10,7,25,13
both,20_plus,previously_opened_1000,10001_15000,singleton_genus_label,9,1,0,0,1,0
both,20_plus,previously_opened_1000,15001_20000,non_singleton_genus_label,101,57,9,5,27,16
both,20_plus,previously_opened_1000,15001_20000,singleton_genus_label,8,2,0,0,1,1
both,20_plus,previously_opened_1000,1_5000,non_singleton_genus_label,99,39,4,2,22,11
both,20_plus,previously_opened_1000,1_5000,singleton_genus_label,4,3,1,0,2,0
both,20_plus,previously_opened_1000,20001_25000,non_singleton_genus_label,92,46,5,2,27,12
both,20_plus,previously_opened_1000,20001_25000,singleton_genus_label,7,4,0,2,2,0
both,20_plus,previously_opened_1000,25001_30000,non_singleton_genus_label,92,52,3,4,31,14
both,20_plus,previously_opened_1000,25001_30000,singleton_genus_label,5,3,0,0,2,1
both,20_plus,previously_opened_1000,30001_35000,non_singleton_genus_label,89,45,4,6,25,10
both,20_plus,previously_opened_1000,30001_35000,singleton_genus_label,6,4,0,0,2,2
both,20_plus,previously_opened_1000,35001_40000,non_singleton_genus_label,97,51,3,6,20,22
both,20_plus,previously_opened_1000,35001_40000,singleton_genus_label,7,4,1,1,2,0
both,20_plus,previously_opened_1000,40001_42111,non_singleton_genus_label,33,22,1,6,10,5
both,20_plus,previously_opened_1000,40001_42111,singleton_genus_label,2,1,1,0,0,0
both,20_plus,previously_opened_1000,5001_10000,non_singleton_genus_label,85,48,6,2,23,17
both,20_plus,previously_opened_1000,5001_10000,singleton_genus_label,8,5,0,0,2,3
both,2_4,not_previously_opened,10001_15000,non_singleton_genus_label,327,152,12,15,59,66
both,2_4,not_previously_opened,10001_15000,singleton_genus_label,22,9,0,3,3,3
both,2_4,not_previously_opened,15001_20000,non_singleton_genus_label,350,129,10,19,56,44
both,2_4,not_previously_opened,15001_20000,singleton_genus_label,30,13,1,2,5,5
both,2_4,not_previously_opened,1_5000,non_singleton_genus_label,313,130,13,14,51,52
both,2_4,not_previously_opened,1_5000,singleton_genus_label,23,6,1,0,4,1
both,2_4,not_previously_opened,20001_25000,non_singleton_genus_label,306,117,13,24,41,39
both,2_4,not_previously_opened,20001_25000,singleton_genus_label,31,13,2,1,7,3
both,2_4,not_previously_opened,25001_30000,non_singleton_genus_label,340,132,11,16,57,48
both,2_4,not_previously_opened,25001_30000,singleton_genus_label,35,11,0,1,5,5
both,2_4,not_previously_opened,30001_35000,non_singleton_genus_label,348,144,13,8,68,55
both,2_4,not_previously_opened,30001_35000,singleton_genus_label,21,9,0,1,3,5
both,2_4,not_previously_opened,35001_40000,non_singleton_genus_label,309,127,9,13,70,35
both,2_4,not_previously_opened,35001_40000,singleton_genus_label,26,11,0,1,8,2
both,2_4,not_previously_opened,40001_42111,non_singleton_genus_label,152,58,6,5,21,26
both,2_4,not_previously_opened,40001_42111,singleton_genus_label,10,4,0,0,3,1
