discovery_source,capacity_bin,opened_group,breadth_rank_block,genus_size_class,denominator,classifiable,n_blue_purple,n_red_pink,n_white,n_yellow_orange
v2_only,2_4,not_previously_opened,20001_25000,singleton_genus_label,31,12,0,2,7,3
v2_only,2_4,not_previously_opened,25001_30000,non_singleton_genus_label,408,165,15,13,84,53
v2_only,2_4,not_previously_opened,25001_30000,singleton_genus_label,31,15,0,1,6,8
v2_only,2_4,not_previously_opened,30001_35000,non_singleton_genus_label,375,171,13,13,85,60
v2_only,2_4,not_previously_opened,30001_35000,singleton_genus_label,28,12,0,1,6,5
v2_only,2_4,not_previously_opened,35001_40000,non_singleton_genus_label,355,148,6,16,80,46
v2_only,2_4,not_previously_opened,35001_40000,singleton_genus_label,30,12,2,1,4,5
v2_only,2_4,not_previously_opened,40001_42111,non_singleton_genus_label,162,58,4,8,18,28
v2_only,2_4,not_previously_opened,40001_42111,singleton_genus_label,13,6,0,2,3,1
v2_only,2_4,not_previously_opened,5001_10000,non_singleton_genus_label,397,156,18,11,72,55
v2_only,2_4,not_previously_opened,5001_10000,singleton_genus_label,27,13,0,0,10,3
v2_only,5_9,not_previously_opened,10001_15000,non_singleton_genus_label,221,92,9,7,50,26
v2_only,5_9,not_previously_opened,10001_15000,singleton_genus_label,18,8,1,0,3,4
v2_only,5_9,not_previously_opened,15001_20000,non_singleton_genus_label,206,78,4,8,40,26
v2_only,5_9,not_previously_opened,15001_20000,singleton_genus_label,10,2,0,0,1,1
v2_only,5_9,not_previously_opened,1_5000,non_singleton_genus_label,209,94,9,11,44,30
v2_only,5_9,not_previously_opened,1_5000,singleton_genus_label,13,4,0,2,2,0
v2_only,5_9,not_previously_opened,20001_25000,non_singleton_genus_label,185,76,4,11,34,27
v2_only,5_9,not_previously_opened,20001_25000,singleton_genus_label,20,9,1,2,1,5
v2_only,5_9,not_previously_opened,25001_30000,non_singleton_genus_label,208,87,7,9,39,32
v2_only,5_9,not_previously_opened,25001_30000,singleton_genus_label,10,5,0,1,2,2
v2_only,5_9,not_previously_opened,30001_35000,non_singleton_genus_label,201,75,7,9,31,28
v2_only,5_9,not_previously_opened,30001_35000,singleton_genus_label,11,2,0,0,1,1
v2_only,5_9,not_previously_opened,35001_40000,non_singleton_genus_label,178,76,4,9,41,22
v2_only,5_9,not_previously_opened,35001_40000,singleton_genus_label,11,4,0,1,2,1
v2_only,5_9,not_previously_opened,40001_42111,non_singleton_genus_label,86,32,1,3,20,8
v2_only,5_9,not_previously_opened,40001_42111,singleton_genus_label,5,2,0,0,2,0
v2_only,5_9,not_previously_opened,5001_10000,non_singleton_genus_label,217,93,12,9,39,33
v2_only,5_9,not_previously_opened,5001_10000,singleton_genus_label,13,5,0,2,0,3
