family,level,denominator,image_acquisition_failure_n,image_acquisition_failure_fraction,roi_nonadmission_n,roi_nonadmission_fraction,mixed_uncertain_n,mixed_uncertain_fraction,classifiable_n,classifiable_fraction,classifiable_wilson_low,classifiable_wilson_high
discovery_source,both,19192,0,0.0,10547,0.5495518966235932,10547,0.5495518966235932,8645,0.45044810337640684,0.44341965634238295,0.4574963829945637
discovery_source,v1_only,11201,0,0.0,6336,0.5656637800196411,6336,0.5656637800196411,4865,0.4343362199803589,0.42518092872759555,0.4435365354680269
discovery_source,v2_only,11718,1,8.533879501621438e-05,6770,0.5777436422597713,6771,0.5778289810547875,4947,0.4221710189452125,0.41325532499913337,0.43113772481238427
capacity_bin,0,789,0,0.0,474,0.6007604562737643,474,0.6007604562737643,315,0.39923954372623577,0.3656346148947046,0.4338208774599671
capacity_bin,1,7378,0,0.0,4363,0.5913526701002982,4363,0.5913526701002982,3015,0.4086473298997018,0.39748069622230986,0.41990904216210756
capacity_bin,10_19,5316,1,0.00018811136192626034,2969,0.5585026335590669,2970,0.5586907449209932,2346,0.44130925507900676,0.42800849106210465,0.45469478029848037
capacity_bin,20_plus,12985,0,0.0,6772,0.5215248363496342,6772,0.5215248363496342,6213,0.4784751636503658,0.4698907970604314,0.48707226221069505
capacity_bin,2_4,9332,0,0.0,5414,0.5801543077582512,5414,0.5801543077582512,3918,0.41984569224174884,0.4098673771475348,0.42988997021117076
capacity_bin,5_9,6311,0,0.0,3661,0.5800982411662177,3661,0.5800982411662177,2650,0.4199017588337823,0.4077775588345189,0.4321234099241162
previously_opened,not_previously_opened,41111,1,2.4324390065919095e-05,23174,0.5636934153876092,23175,0.563717739777675,17936,0.4362822602223249,0.43149459197371476,0.4410818350752084
previously_opened,previously_opened_1000,1000,0,0.0,479,0.479,479,0.479,521,0.521,0.49001642660541767,0.5518228495381892
breadth_rank_block,10001_15000,5000,0,0.0,2822,0.5644,2822,0.5644,2178,0.4356,0.4219110269149682,0.4493878530955553
breadth_rank_block,15001_20000,5000,0,0.0,2830,0.566,2830,0.566,2170,0.434,0.42031808139542076,0.44778325526132684
breadth_rank_block,1_5000,5000,1,0.0002,2810,0.562,2811,0.5622,2189,0.4378,0.4241015643011939,0.45159393782077134
breadth_rank_block,20001_25000,5000,0,0.0,2815,0.563,2815,0.563,2185,0.437,0.4233049734854491,0.4507917569596282
breadth_rank_block,25001_30000,5000,0,0.0,2788,0.5576,2788,0.5576,2212,0.4424,0.42868266482035416,0.4562057744437165
breadth_rank_block,30001_35000,5000,0,0.0,2778,0.5556,2778,0.5556,2222,0.4444,0.4306748207365667,0.4582105477197238
breadth_rank_block,35001_40000,5000,0,0.0,2795,0.559,2795,0.559,2205,0.441,0.4272882901123114,0.45480229871720546
breadth_rank_block,40001_42111,2111,0,0.0,1202,0.5693983893889152,1202,0.5693983893889152,909,0.4306016106110848,0.40962376041975657,0.4518315752613463
breadth_rank_block,5001_10000,5000,0,0.0,2813,0.5626,2813,0.5626,2187,0.4374,0.42370326435738326,0.451192851926138
genus_size_class,non_singleton_genus_label,39024,1,2.5625256252562524e-05,21810,0.5588868388683886,21811,0.5589124641246412,17213,0.44108753587535876,0.43616732311065964,0.4460193459919225
genus_size_class,singleton_genus_label,3087,0,0.0,1843,0.5970197602850664,1843,0.5970197602850664,1244,0.4029802397149336,0.38580837152867004,0.4203932703282542
