effect_size,equal_matched_detection,equal_rho_median,linear_beta_median,linear_detection,missing_fraction,naive_detection,quadratic_detection,quadratic_gamma_median,reversal_fraction,worlds
0.0,0.025,-0.004854796592514374,0.0027117593406767596,0.05,0.0,1.0,0.025,-0.008593506638216921,0.0,40
0.0,0.0,-0.009457881480576018,-0.0011165931703434502,0.075,0.5,1.0,0.025,2.282977897976224e-05,0.0,40
0.0,0.025,-0.0035389477889870295,-0.008656017754604001,0.025,0.0,1.0,0.05,0.007541191587138212,0.25,40
0.0,0.0,-0.0029414033612754696,0.004254974470794446,0.1,0.5,1.0,0.075,0.014932019585065216,0.25,40
0.0,0.075,-0.0007980765114653051,0.004818327852092327,0.0,0.0,1.0,0.075,0.006134492669691004,0.5,40
0.0,0.05,-0.006717941558860894,0.0013892048980482896,0.05,0.5,1.0,0.075,0.015328651316198828,0.5,40
0.4,0.375,0.02294947275295729,-0.006493996034323022,0.025,0.0,1.0,1.0,0.3867160800822761,0.0,40
0.4,0.1,0.029446998214443763,-0.0041692801737221175,0.0,0.5,1.0,1.0,0.39913927474845046,0.0,40
0.4,0.375,0.02776161869836332,0.0008549707073701291,0.075,0.0,1.0,0.925,0.19431327063188786,0.25,40
0.4,0.15,0.01797204984127268,-0.005827187912470038,0.075,0.5,1.0,0.7,0.19351672894823552,0.25,40
0.4,0.35,0.02852232416774874,-0.0023114513552321735,0.025,0.0,1.0,0.025,-0.005560089337994363,0.5,40
0.4,0.15,0.023715717058762388,0.0061657762957386545,0.05,0.5,1.0,0.05,0.023382126258002248,0.5,40
0.8,1.0,0.09322973416475219,-0.007178258778182924,0.125,0.0,1.0,1.0,0.79395237508948,0.0,40
0.8,0.75,0.09611976490246915,0.00593859230599365,0.025,0.5,1.0,1.0,0.7951700833298053,0.0,40
0.8,1.0,0.09436766027882021,-0.00020420311344111956,0.025,0.0,1.0,1.0,0.40469452903471864,0.25,40
0.8,0.775,0.10273431123716684,0.031435658593056366,0.05,0.5,1.0,0.95,0.37219971813313024,0.25,40
0.8,1.0,0.10207542700589317,-0.010001976100107264,0.05,0.0,1.0,0.0,-0.006503697599170701,0.5,40
0.8,0.85,0.09629980700704255,-0.004338570271100443,0.075,0.5,1.0,0.075,0.021832563542728396,0.5,40
1.2,1.0,0.17621278235185,0.0050461311518179616,0.125,0.0,1.0,1.0,1.2059164831011144,0.0,40
1.2,1.0,0.16101296861973857,-0.018606876725034825,0.05,0.5,1.0,1.0,1.1849814017242815,0.0,40
1.2,1.0,0.18261665786732495,-0.006724254867156982,0.05,0.0,1.0,1.0,0.6065212985726824,0.25,40
1.2,1.0,0.182795568440344,0.010940218343489877,0.025,0.5,1.0,1.0,0.5725360671575523,0.25,40
1.2,1.0,0.1759921234000656,-0.004865034775940056,0.05,0.0,1.0,0.1,-0.008568664079436003,0.5,40
1.2,0.975,0.17143258754555718,0.008587724033358453,0.05,0.5,1.0,0.15,-0.012683698137756383,0.5,40
