species,genus,family,n_classifiable,D,second_fraction,maximum_span_km_after_observer_cap,log1p_span_primary,maximum_span_km,log1p_span_sensitivity,mean_latitude,abs_mean_latitude,pollination_guild_raw,pollination_guild_mapped
Acacia linifolia,Acacia,Fabaceae,48,0.2230902777777778,0.1041666666666666,177.0219758312302,5.181907002397573,177.0219758312302,5.181907002397573,-33.718178376774,33.718178376774,,
Acacia ulicifolia,Acacia,Fabaceae,76,0.3324099722991689,0.2105263157894736,2090.89237497194,7.645824377863306,2003.489029551043,7.603144459157155,-33.297823965439,33.297823965439,mixed,mixed
Aciphylla glacialis,Aciphylla,Apiaceae,79,0.1403621214548949,0.0759493670886076,194.58330013856948,5.275986376341166,194.58330013856948,5.275986376341166,-36.680283038835,36.680283038835,mixed,mixed
Aconitum delphiniifolium,Aconitum,Ranunculaceae,59,0.1281241022694628,0.0508474576271186,5123.226765436888,8.541734917587121,5123.226765436888,8.541734917587121,59.752110241675,59.752110241675,,
Aconitum tauricum,Aconitum,Ranunculaceae,56,0.0695153061224489,0.0178571428571428,466.9738707433433,6.148412462614004,466.9738707433433,6.148412462614004,46.727659552889,46.727659552889,,
Adoxa moschatellina,Adoxa,Viburnaceae,44,0.4834710743801652,0.4090909090909091,12000.394464152472,9.392778127364858,9989.310037953972,9.209370905991255,51.277264801344,51.277264801344,mixed,mixed
Aegopodium podagraria,Aegopodium,Apiaceae,80,0.0,0.0,19340.302654138417,9.869998122175328,19124.12218112773,9.858758047230028,48.581784943106,48.581784943106,mixed,mixed
Agapanthus praecox,Agapanthus,Amaryllidaceae,53,0.5069419722321111,0.4150943396226415,19759.42527938764,9.891436493306475,19581.580372855544,9.882395693553438,-31.875533207336,31.875533207336,mixed,mixed
Ageratina havanensis,Ageratina,Asteraceae,70,0.0,0.0,3093.4552845295943,8.037367171092656,3093.4552845295943,8.037367171092656,29.445248043761,29.445248043761,,
Agrostemma githago,Agrostemma,Caryophyllaceae,53,0.5745817016731933,0.2452830188679245,12686.875117054253,9.448402101223278,9558.418463896682,9.16528217405889,49.301015673153,49.301015673153,mixed,mixed
Ajuga genevensis,Ajuga,Lamiaceae,49,0.1499375260308204,0.0816326530612244,9602.93729311896,9.169928428073572,9191.72760261152,9.126167972467664,48.670518685184,48.670518685184,mixed,mixed
Alchemilla alpina,Alchemilla,Rosaceae,54,0.3244170096021948,0.2037037037037037,4489.398778612424,8.409696791628225,4489.398778612424,8.409696791628225,60.245644633486,60.245644633486,,
Allium drummondii,Allium,Amaryllidaceae,63,0.3386243386243387,0.1746031746031746,1137.9085884102,7.0378257042214045,1137.9085884102,7.0378257042214045,31.40377019862,31.40377019862,,
Allium praecox,Allium,Amaryllidaceae,65,0.1178698224852071,0.0307692307692307,537.5894064797178,6.28895351156119,398.0339857206475,5.989046590507218,33.071401912775,33.071401912775,,
Allium schoenoprasum,Allium,Amaryllidaceae,50,0.5895999999999999,0.22,19968.64534024444,9.901968666624938,19798.799448373826,9.89342708776132,47.987477412446,47.987477412446,mixed,mixed
Allium tuberosum,Allium,Amaryllidaceae,67,0.0579193584317219,0.0298507462686567,19735.011156654225,9.890200223503632,18350.601591981344,9.817472129890987,33.134062569619,33.134062569619,mixed,mixed
