effect_size,imbalance_ratio,missing_fraction,worlds,naive_detection,conditioned_detection,naive_rho_median,conditioned_rho_median,conditioned_p_median,mean_observations,min_observations,max_observations
0.0,1.0,0.0,40,1.0,0.025,0.5151675240643805,-1.625543314849392e-05,0.5125,16.0,16,16
0.0,1.0,0.25,40,1.0,0.025,0.5360752914094375,-0.001127906002962708,0.42500000000000004,12.015,8,16
0.0,1.0,0.5,40,1.0,0.0,0.5322242479342072,-0.005395252348388927,0.475,8.765,8,14
0.0,4.0,0.0,40,1.0,0.025,0.5033139725932857,-0.004170688058509111,0.5375000000000001,40.0,16,64
0.0,4.0,0.25,40,1.0,0.0,0.5087464973332587,0.0028404299440313663,0.4,30.045000000000005,9,54
0.0,4.0,0.5,40,1.0,0.025,0.5092803895614428,-0.003674353124432539,0.575,20.01875,8,40
0.8,1.0,0.0,40,1.0,0.275,0.5099601509821707,0.040689950054459315,0.1,16.0,16,16
0.8,1.0,0.25,40,1.0,0.25,0.5222714770841226,0.0413258706342783,0.1125,12.0075,8,16
0.8,1.0,0.5,40,1.0,0.225,0.5207395409612907,0.03057776254932011,0.15,8.745,8,14
0.8,4.0,0.0,40,1.0,0.675,0.4900250733501219,0.05276076402007185,0.025,40.0,16,64
0.8,4.0,0.25,40,1.0,0.425,0.48930691621939426,0.046107535694982105,0.05,29.810000000000002,8,56
0.8,4.0,0.5,40,1.0,0.35,0.4902821403590756,0.0407384877172437,0.075,19.817500000000003,8,41
1.6,1.0,0.0,40,1.0,1.0,0.4561968385242326,0.15117839759110469,0.025,16.0,16,16
1.6,1.0,0.25,40,1.0,1.0,0.4458706071947662,0.1528978062411518,0.025,11.995,8,16
1.6,1.0,0.5,40,1.0,0.75,0.4448705925647335,0.1147547980278622,0.025,8.8125,8,14
1.6,4.0,0.0,40,1.0,1.0,0.42825736757380084,0.15261237913801146,0.025,40.0,16,64
1.6,4.0,0.25,40,1.0,1.0,0.4338589411837082,0.14683137638194768,0.025,29.952499999999997,8,56
1.6,4.0,0.5,40,1.0,1.0,0.426374742687483,0.1435837879570266,0.025,20.014999999999997,8,40
2.4,1.0,0.0,40,1.0,1.0,0.3636729400592942,0.2295128111564206,0.025,16.0,16,16
2.4,1.0,0.25,40,1.0,1.0,0.38880776761201297,0.2305038106342111,0.025,12.01875,8,16
2.4,1.0,0.5,40,1.0,1.0,0.3337484587915153,0.24034345364985943,0.025,8.88125,8,14
2.4,4.0,0.0,40,1.0,1.0,0.34465612117388755,0.2598214211741914,0.025,40.0,16,64
2.4,4.0,0.25,40,1.0,1.0,0.3409287982387454,0.24815423448921664,0.025,29.966249999999995,8,54
2.4,4.0,0.5,40,1.0,1.0,0.34090575396134104,0.23845945174030175,0.025,20.03625,8,40
