analysis,k,n_observations,n_species,n_edges,n_permutations,observed,null_mean,null_sd,null_q025,null_q500,null_q975,effect_z,direction,p_upper
primary,5,720,6,2280,9999,1.3058471715339304,1.330571694895971,0.011446544302068557,1.3077159164846008,1.3307946488219722,1.3524717408732552,-2.159998922781654,more_spatially_clustered,0.9822
sensitivity,3,720,6,1399,9999,1.2808596046374467,1.3304072780187202,0.014551831492574831,1.3012115960063548,1.3305662248905714,1.3583281606577446,-3.404909781050959,more_spatially_clustered,0.9996
sensitivity,8,720,6,3632,9999,1.3096384843389972,1.3305443420925573,0.009423586263206357,1.3119423064025484,1.3305295348339652,1.3486736967221202,-2.2184609096417347,more_spatially_clustered,0.9852
