analysis,k,species,n_observations,n_edges,n_permutations,observed,null_mean,null_sd,null_q025,null_q500,null_q975,effect_z,direction,p_upper
primary,5,Antirrhinum majus,120,389,9999,1.2321367495639366,1.268079646765591,0.026206689719435395,1.2158748949825402,1.2688850056330958,1.3178468657195734,-1.3715161123534991,more_spatially_clustered,0.9139
primary,5,Dactylorhiza sambucina,120,363,9999,1.2371423232159948,1.2639594650381374,0.033518792304878066,1.1938937524295026,1.2659259797263533,1.323658245096848,-0.8000628894448505,more_spatially_clustered,0.7934
primary,5,Gentiana lutea,120,378,9999,1.3114938422520481,1.3373733329667037,0.025727335137564637,1.2854571429322228,1.337770874042822,1.3864535525004948,-1.0059141600277426,more_spatially_clustered,0.8425
primary,5,Ipomoea purpurea,120,387,9999,1.3338048456294325,1.3275297115381777,0.026094758760112777,1.274890745218044,1.3281762682331393,1.3771798990779787,0.24047488420727126,more_discontinuous,0.4192
primary,5,Lysimachia arvensis,120,383,9999,1.3438299930802073,1.3999511651056327,0.02878061384833906,1.3436987634742568,1.4001742697453308,1.4555212342763117,-1.9499643864845537,more_spatially_clustered,0.9747
primary,5,Raphanus sativus,120,380,9999,1.3766752754619633,1.3865368479615827,0.02780203621168647,1.3302346812653774,1.387091594207338,1.4384267811881288,-0.3547068432158259,more_spatially_clustered,0.6468
sensitivity,3,Antirrhinum majus,120,230,9999,1.1988313611825894,1.267345812113379,0.03380554799181136,1.1995423126193183,1.268048307046111,1.3311000988283017,-2.026722091515442,more_spatially_clustered,0.976
sensitivity,3,Dactylorhiza sambucina,120,229,9999,1.1605682957871524,1.263812376361829,0.04260200353092328,1.17705554827743,1.2653354084931565,1.3432572600517203,-2.423455988395837,more_spatially_clustered,0.9898
sensitivity,3,Gentiana lutea,120,234,9999,1.3091976486996304,1.3371993898074306,0.03165931596565982,1.2740583908700083,1.3379213713775724,1.3979293412035048,-0.884470818579058,more_spatially_clustered,0.8118
sensitivity,3,Ipomoea purpurea,120,233,9999,1.3315082423232174,1.3274613780554176,0.03402116358742852,1.259088742952955,1.3280372178567283,1.3917856132055118,0.11895137735074882,more_discontinuous,0.4594
sensitivity,3,Lysimachia arvensis,120,235,9999,1.3352391242609385,1.3992930439381617,0.03735385981569267,1.3246537516907664,1.3992119724823198,1.4726612298366082,-1.7147871730865571,more_spatially_clustered,0.9563
sensitivity,3,Raphanus sativus,120,238,9999,1.3498129555711522,1.3873316678361027,0.03497778020482074,1.3181461944772748,1.3882152913309098,1.4538544395619355,-1.0726441771104611,more_spatially_clustered,0.8568
sensitivity,8,Antirrhinum majus,120,615,9999,1.2246904955579974,1.2677396857883103,0.020596337960176053,1.224876299511927,1.2685792769212796,1.305302999907343,-2.0901380776306206,more_spatially_clustered,0.9754
sensitivity,8,Dactylorhiza sambucina,120,586,9999,1.234577023125135,1.2640590763511623,0.02627766230399979,1.2080444994147261,1.2658494231449011,1.309638541069013,-1.1219435307812686,more_spatially_clustered,0.8656
sensitivity,8,Gentiana lutea,120,603,9999,1.3190992674020008,1.3377483288413845,0.01927333521001835,1.2978166774610982,1.3384080704440906,1.372978251155348,-0.9676094581538679,more_spatially_clustered,0.8331
sensitivity,8,Ipomoea purpurea,120,615,9999,1.3105761604296453,1.327160119721468,0.021402204576267247,1.2829812718462992,1.3281818186627383,1.3666194109330931,-0.7748715433835491,more_spatially_clustered,0.7847
sensitivity,8,Lysimachia arvensis,120,598,9999,1.3901849208525998,1.3996842461317385,0.02559500750477634,1.3494495487152998,1.3998706506371414,1.4491393968797732,-0.37113977315169644,more_spatially_clustered,0.6494
sensitivity,8,Raphanus sativus,120,615,9999,1.3787030386666037,1.3868745957212794,0.023086132970146035,1.3400621715649337,1.3879685335135128,1.4304366644629918,-0.3539595420871371,more_spatially_clustered,0.6498
