species,D,second_fraction,primary_second_ge_0_10,spatial_observed_rho,log1p_span_primary,n_classifiable,genus,family
Acacia linifolia,0.2230902777777778,0.1041666666666666,True,-0.0128124140862778,5.181907002397573,48,Acacia,Fabaceae
Acacia ulicifolia,0.3324099722991689,0.2105263157894736,True,0.007739762952523,7.645824377863306,76,Acacia,Fabaceae
Aciphylla glacialis,0.1403621214548949,0.0759493670886076,False,0.0451457224463409,5.275986376341166,79,Aciphylla,Apiaceae
Aconitum delphiniifolium,0.1281241022694628,0.0508474576271186,False,0.1575461561615,8.541734917587121,59,Aconitum,Ranunculaceae
Aconitum tauricum,0.0695153061224489,0.0178571428571428,False,-0.0331843264010568,6.148412462614004,56,Aconitum,Ranunculaceae
Adoxa moschatellina,0.4834710743801652,0.4090909090909091,True,-0.0371345464578893,9.392778127364858,44,Adoxa,Viburnaceae
Aegopodium podagraria,0.0,0.0,False,-0.0296918807115217,9.869998122175328,80,Aegopodium,Apiaceae
Agapanthus praecox,0.5069419722321111,0.4150943396226415,True,0.0003334043391028,9.891436493306475,53,Agapanthus,Amaryllidaceae
Ageratina havanensis,0.0,0.0,False,0.1004469560541719,8.037367171092656,70,Ageratina,Asteraceae
Agrostemma githago,0.5745817016731933,0.2452830188679245,True,-0.070036582433975,9.448402101223278,53,Agrostemma,Caryophyllaceae
Ajuga genevensis,0.1499375260308204,0.0816326530612244,False,-0.0404854220290404,9.169928428073572,49,Ajuga,Lamiaceae
Alchemilla alpina,0.3244170096021948,0.2037037037037037,True,-0.009925204154149,8.409696791628225,54,Alchemilla,Rosaceae
Allium drummondii,0.3386243386243387,0.1746031746031746,True,0.1595947316727739,7.0378257042214045,63,Allium,Amaryllidaceae
Allium praecox,0.1178698224852071,0.0307692307692307,False,0.1651522752435775,6.28895351156119,65,Allium,Amaryllidaceae
Allium schoenoprasum,0.5895999999999999,0.22,True,-0.0365125038596188,9.901968666624938,50,Allium,Amaryllidaceae
Allium tuberosum,0.0579193584317219,0.0298507462686567,False,-0.0370237068917901,9.890200223503632,67,Allium,Amaryllidaceae
Althaea officinalis,0.1597242171789715,0.0338983050847457,False,-0.04233034820264,9.374403456297216,59,Althaea,Malvaceae
Alyxia buxifolia,0.3930864197530864,0.1777777777777777,True,0.0705174093884826,8.152951619584393,45,Alyxia,Apocynaceae
Amsinckia tessellata,0.0559183673469387,0.0142857142857142,False,-0.0027765984317636,7.448083848024978,70,Amsinckia,Boraginaceae
Anchusa arvensis,0.5312,0.42,True,-0.0084429138702789,9.735577522590097,50,Anchusa,Boraginaceae
Andromeda polifolia,0.3021914648212226,0.1372549019607843,True,0.1068609281185346,9.16549683704536,51,Andromeda,Ericaceae
Androsace villosa,0.0253122945430637,0.0128205128205128,False,0.024732912013562,8.373532976137636,78,Androsace,Primulaceae
Andryala integrifolia,0.3713505566057551,0.2463768115942029,True,0.0238140742457866,7.972109606088368,69,Andryala,Asteraceae
Anemone pavonina,0.5748148148148149,0.1777777777777777,True,-0.0362941381277284,6.828671586233839,45,Anemone,Ranunculaceae
Anemonoides blanda,0.3698224852071006,0.1923076923076923,True,0.0189079112723025,9.3507688579969,52,Anemonoides,Ranunculaceae
Anemonoides quinquefolia,0.0798611111111109,0.0416666666666666,False,0.0359641424208979,7.908775472991759,48,Anemonoides,Ranunculaceae
Antennaria dioica,0.286042240587695,0.1363636363636363,True,-0.0353052305205098,9.163528187862957,66,Antennaria,Asteraceae
Aquilegia coerulea,0.5506198347107437,0.2954545454545454,True,0.0546865833349778,6.590156266152955,44,Aquilegia,Ranunculaceae
Asclepias incarnata,0.4398167430237402,0.3265306122448979,True,0.3522623994191758,8.33780497197544,49,Asclepias,Apocynaceae
Asclepias ovalifolia,0.1575505350772887,0.0862068965517241,False,0.0024742447313884,7.635703392961142,58,Asclepias,Apocynaceae
Asclepias perennis,0.0281632653061223,0.0142857142857142,False,0.0344760647233046,7.466544238291129,70,Asclepias,Apocynaceae
Asclepias quadrifolia,0.059228650137741,0.0151515151515151,False,0.0229167142895912,7.718470986881079,66,Asclepias,Apocynaceae
Asclepias viridis,0.43875,0.325,True,-0.0402749106829817,7.711238021819615,40,Asclepias,Apocynaceae
Astragalus glycyphyllos,0.4954648526077096,0.4523809523809524,True,0.0142809322105598,8.731914995533815,42,Astragalus,Fabaceae
Austroflourensia thurifera,0.0350765306122449,0.0178571428571428,False,0.1017503749259882,6.685123081560312,56,Austroflourensia,Asteraceae
Baptisia australis,0.1472,0.08,False,0.0584613290446999,7.878372133104917,75,Baptisia,Fabaceae
Baptisia tinctoria,0.0,0.0,False,0.0013417611779127,7.216144426494783,75,Baptisia,Fabaceae
Barbarea orthoceras,0.0277722674072604,0.0140845070422535,False,-0.0295406681440011,9.398896190400086,71,Barbarea,Brassicaceae
Bellis annua,0.0721874999999998,0.0375,False,0.021635993310422,8.311444509938553,80,Bellis,Asteraceae
Bidens aristosa,0.0499671268902037,0.0256410256410256,False,0.076406484573555,7.688558906408167,78,Bidens,Asteraceae
Bidens bipinnata,0.1207075962539023,0.064516129032258,False,0.19135428611403,9.843917565440211,62,Bidens,Asteraceae
Bidens cernua,0.03076171875,0.015625,False,0.1562545629661276,9.227297419067218,64,Bidens,Asteraceae
Biscutella laevigata,0.177742511406467,0.0985915492957746,False,0.1245024302229402,7.879807338805077,71,Biscutella,Brassicaceae
Brodiaea coronaria,0.0619803476946334,0.0158730158730158,False,0.0665766100078249,7.047850308653437,63,Brodiaea,Asparagaceae
Bryonia alba,0.5425342058298632,0.4390243902439024,True,0.0880802246845914,9.268893577240116,41,Bryonia,Cucurbitaceae
Buddleja davidii,0.5959978366684695,0.3953488372093023,True,0.0212324907986466,9.89899087521862,43,Buddleja,Scrophulariaceae
Bursaria spinosa,0.0416478044363965,0.0212765957446808,False,0.1056484804752223,7.55409927792225,47,Bursaria,Pittosporaceae
Calochortus concolor,0.1760856632956573,0.0975609756097561,False,0.0271107213511302,5.986515087602396,41,Calochortus,Liliaceae
Calochortus flexuosus,0.2190753852561433,0.1020408163265306,True,-0.0193492880440015,6.779938091786517,49,Calochortus,Liliaceae
Calochortus leichtlinii,0.1392318244170095,0.0555555555555555,False,-0.0846918807391032,6.3657753059821145,54,Calochortus,Liliaceae
Calochortus monophyllus,0.0,0.0,False,-0.0113511963720362,5.838536016857498,55,Calochortus,Liliaceae
Calycadenia multiglandulosa,0.0,0.0,False,-0.1329192982770637,5.656928667062552,64,Calycadenia,Asteraceae
Calystegia tuguriorum,0.0783007080383174,0.0408163265306122,False,0.1087695816951846,7.192320185702996,49,Calystegia,Convolvulaceae
Campanula latifolia,0.4418402777777778,0.2916666666666667,True,0.0911084936400579,9.376411813455167,48,Campanula,Campanulaceae
Campanula patula,0.4470663265306123,0.1964285714285714,True,0.0044263051128039,8.470457194484295,56,Campanula,Campanulaceae
Cardamine amara,0.029405212742259,0.0149253731343283,False,-0.0376748566777572,8.397755352146385,67,Cardamine,Brassicaceae
Cardamine concatenata,0.0886965927528393,0.0465116279069767,False,-0.0975327810945899,7.712201946444884,43,Cardamine,Brassicaceae
Cardamine hirsuta,0.0350765306122449,0.0178571428571428,False,-0.0073092674681713,9.902962384080006,56,Cardamine,Brassicaceae
Carlina hispanica,0.0338882282996433,0.0172413793103448,False,-0.0182180252875585,7.343680164300765,58,Carlina,Asteraceae
Carlina vulgaris,0.5275000000000001,0.375,True,-0.0301028919287335,8.088783605893322,40,Carlina,Asteraceae
Carthamus mitissimus,0.5805785123966942,0.4318181818181818,True,-0.0094925264955246,6.78758175468273,44,Carthamus,Asteraceae
Castilleja exserta,0.3411989795918367,0.0714285714285714,False,0.1252462398334866,7.334119504215325,56,Castilleja,Orobanchaceae
Castilleja foliolosa,0.5207939508506616,0.4782608695652174,True,-0.0440018932155842,6.929492532377336,46,Castilleja,Orobanchaceae
Centranthus calcitrapae,0.197869822485207,0.0615384615384615,False,0.085603706987657,9.162382489153469,65,Centranthus,
Centrosema virginianum,0.6489994591671173,0.3255813953488372,True,0.0326027168081295,9.824367167143006,43,Centrosema,Fabaceae
Cerastium fontanum,0.0677131425053862,0.0350877192982456,False,-0.0640210990275255,9.88645024148178,57,Cerastium,Caryophyllaceae
