Individual,cyanidin_mild,cyanidin_hot,flavonol_mild,flavonol_hot
63.0,3.2715831595,0.727803245,58.909503435000005,42.344539014999995
64.0,2.4700917579999997,0.1523981785,50.482277485,44.966015025000004
67.0,1.6824159645,1.900701321,60.041688995,63.02872726
68.0,2.164539355,0.47314117999999994,44.20756472,48.6932874
70.0,0.0,0.0099236395,69.12148631,65.079675975
76.0,0.27697331599999997,0.0542349635,73.275592905,52.29912888
81.0,2.5456954425,0.3631044125,74.80663111,59.277859415
82.0,1.2333989380000001,0.2591210645,55.275792255,76.10784114500001
85.0,1.1361610435,0.0,56.34393109,62.937962215
91.0,3.507768051,3.503853965,61.16649287,56.84343942
99.0,0.1542133805,0.1205057885,40.16024394,51.613355095
105.0,1.42443009,0.053380712,36.171078965,63.830935100000005
111.0,0.6197621875,0.0487801085,63.26106833,45.923993475
116.0,3.419807141,0.096451516,65.49068934,67.720308125
118.0,4.4838397615000005,0.20108615600000002,67.86290350499999,57.06615096
