common_vector_detection,common_vector_norm_median,effect_size,equal_matched_detection,equal_rho_median,missing_fraction,naive_detection,orientation_spread,worlds
0.0,0.02863216922191289,0.0,0.0,-0.0054761686065075395,0.0,1.0,0.0,40
0.05,0.03873425314575721,0.0,0.05,0.008211887092762436,0.5,1.0,0.0,40
0.025,0.03424141870129875,0.0,0.025,-0.00045348974530567184,0.0,1.0,0.5,40
0.025,0.05412527972356164,0.0,0.05,-0.006237484829037052,0.5,1.0,0.5,40
0.0,0.035500881878037724,0.0,0.0,0.0027746941524841784,0.0,1.0,1.0,40
0.05,0.055182984764884535,0.0,0.0,-0.004181692812133406,0.5,1.0,1.0,40
1.0,0.41115735472855985,0.4,1.0,0.2094825195624314,0.0,1.0,0.0,40
1.0,0.40065786004677173,0.4,0.975,0.18728235173535326,0.5,1.0,0.0,40
1.0,0.25544368282141594,0.4,1.0,0.19968319577302768,0.0,1.0,0.5,40
1.0,0.26377240947727343,0.4,1.0,0.19846216007142714,0.5,1.0,0.5,40
0.075,0.04391303538762277,0.4,1.0,0.19469117820729837,0.0,1.0,1.0,40
0.075,0.061199107550966865,0.4,0.95,0.1813438345629675,0.5,1.0,1.0,40
1.0,0.7993906050471004,0.8,1.0,0.4885981533239731,0.0,1.0,0.0,40
1.0,0.7931880948761948,0.8,1.0,0.4777890525719865,0.5,1.0,0.0,40
1.0,0.5140999801157525,0.8,1.0,0.49073753318724395,0.0,1.0,0.5,40
1.0,0.5044799245329376,0.8,1.0,0.49538024669404723,0.5,1.0,0.5,40
0.1,0.0538765248330634,0.8,1.0,0.48107419508631966,0.0,1.0,1.0,40
0.25,0.10577238146074652,0.8,1.0,0.491880750150287,0.5,1.0,1.0,40
1.0,1.198034359898124,1.2,1.0,0.6812609184392044,0.0,1.0,0.0,40
1.0,1.199997379670497,1.2,1.0,0.6782467019897838,0.5,1.0,0.0,40
1.0,0.7570197334569029,1.2,1.0,0.6778981922520086,0.0,1.0,0.5,40
1.0,0.7748967022663626,1.2,1.0,0.6638988360932851,0.5,1.0,0.5,40
0.175,0.08579540128116628,1.2,1.0,0.6814332078013532,0.0,1.0,1.0,40
0.375,0.1411434286659193,1.2,1.0,0.6599594237353132,0.5,1.0,1.0,40
