common_slope_beta_median,common_slope_detection,effect_size,equal_matched_detection,equal_rho_median,missing_fraction,naive_detection,reversal_fraction,species_rho_mean_median,species_rho_ttest_detection,worlds
0.013959607016149213,0.1,0.0,0.0,0.005064100040677609,0.0,1.0,0.0,0.005064100040677609,0.0,40
0.004967662599911812,0.075,0.0,0.05,-0.0077212585920594995,0.5,1.0,0.0,-0.0077212585920594995,0.1,40
0.0068173506369290475,0.05,0.0,0.0,0.0021540325508360783,0.0,1.0,0.25,0.0021540325508360783,0.0,40
0.0002976964180191914,0.025,0.0,0.0,-0.005953704513145978,0.5,1.0,0.25,-0.005953704513145978,0.0,40
0.002157918825579995,0.025,0.0,0.0,-0.0007210871856779834,0.0,1.0,0.5,-0.0007210871856779834,0.05,40
-0.013369262102990501,0.025,0.0,0.0,0.007674038996146998,0.5,1.0,0.5,0.007674038996146998,0.0,40
0.3933739204364919,1.0,0.4,0.8,0.0854380278794718,0.0,1.0,0.0,0.0854380278794718,0.85,40
0.3792190091390142,1.0,0.4,0.45,0.07709223468512809,0.5,1.0,0.0,0.07709223468512809,0.475,40
0.16469591894800173,0.95,0.4,0.875,0.08540946607356087,0.0,1.0,0.25,0.08540946607356087,0.925,40
0.22210816663237404,0.875,0.4,0.5,0.08601485131941966,0.5,1.0,0.25,0.08601485131941966,0.525,40
0.001951100856978916,0.05,0.4,0.9,0.09093632860510789,0.0,1.0,0.5,0.09093632860510789,0.975,40
-0.01166427746514478,0.1,0.4,0.475,0.08295968338195193,0.5,1.0,0.5,0.08295968338195193,0.525,40
0.7926078763264686,1.0,0.8,1.0,0.27584646607793484,0.0,1.0,0.0,0.27584646607793484,1.0,40
0.8070083760404103,1.0,0.8,1.0,0.27583370472086266,0.5,1.0,0.0,0.27583370472086266,1.0,40
0.4068174998901053,1.0,0.8,1.0,0.27715969679871577,0.0,1.0,0.25,0.27715969679871577,1.0,40
0.39191678637801963,1.0,0.8,1.0,0.24813920410931053,0.5,1.0,0.25,0.24813920410931053,1.0,40
0.007000575050747581,0.125,0.8,1.0,0.2829224457303818,0.0,1.0,0.5,0.2829224457303818,1.0,40
0.011463335989962162,0.05,0.8,1.0,0.26381751376721035,0.5,1.0,0.5,0.26381751376721035,1.0,40
1.1935757569755836,1.0,1.2,1.0,0.44114566521014575,0.0,1.0,0.0,0.44114566521014575,1.0,40
1.2002427241398657,1.0,1.2,1.0,0.42031307362165565,0.5,1.0,0.0,0.42031307362165565,1.0,40
0.606453252018274,1.0,1.2,1.0,0.4527100473697332,0.0,1.0,0.25,0.4527100473697332,1.0,40
0.5832574163815488,1.0,1.2,1.0,0.43398054625182436,0.5,1.0,0.25,0.43398054625182436,1.0,40
-0.007579500693046552,0.125,1.2,1.0,0.4461350146745572,0.0,1.0,0.5,0.4461350146745572,1.0,40
-0.03363171884590022,0.075,1.2,1.0,0.43771675963435197,0.5,1.0,0.5,0.43771675963435197,1.0,40
