occurrence_dataset,metric,metric_label,n_species,n_families,estimate,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,wald_p_value_clustered,wald_p_holm_four_components,permutation_p_two_sided,permutation_p_holm_four_components,loo_min_odds_ratio,loo_max_odds_ratio,loo_same_direction_fraction
primary,bio12_q95q05,BIO12 annual precipitation breadth,34,25,-1.1231149412352337,0.3252650335176569,0.1187663333840127,0.8908024607206066,0.0288920250332291,0.1155681001329167,0.02,0.08,0.227575138997966,0.3797544124627841,1.0
primary,bio14_q95q05,BIO14 driest-month precipitation breadth,34,25,-0.2275393884530429,0.7964910483293695,0.3873341110194292,1.6378572710757089,0.5361698515729866,1.0,0.5824,1.0,0.6706199490064841,1.021847638853986,0.96
primary,bio15_q95q05,BIO15 precipitation-seasonality breadth,34,25,0.2457000855674919,1.2785160706138108,0.5732898456262839,2.8512686127068494,0.5482289051616968,1.0,0.5338,1.0,1.0682455638311923,1.6664301060122393,1.0
primary,bio17_q95q05,BIO17 driest-quarter precipitation breadth,34,25,-0.266559142477014,0.7660106986163436,0.3780722091830896,1.552011430997674,0.4593568566206492,1.0,0.5146,1.0,0.6431548117340145,0.9595553652258824,1.0
primary,moisture_breadth,Legacy arithmetic-mean moisture breadth,34,25,-0.8537911253413412,0.425797616029721,0.1840622010956811,0.985012722532567,0.0460112560268797,,0.0557,,0.318859089163399,0.475129727761522,1.0
paginated_quality_filtered,bio12_q95q05,BIO12 annual precipitation breadth,34,25,-1.5254751934360815,0.2175176693339409,0.0797308693798941,0.5934205514182049,0.0028906131053193,0.0115624524212774,0.0055,0.022,0.1737809968191644,0.268562599730222,1.0
paginated_quality_filtered,bio14_q95q05,BIO14 driest-month precipitation breadth,34,25,-0.3631368883243134,0.6954912223545939,0.3408116243221391,1.4192826941697292,0.3183565988809959,0.808470917647082,0.3639,0.9942,0.5437337368778944,0.8614074731636765,1.0
paginated_quality_filtered,bio15_q95q05,BIO15 precipitation-seasonality breadth,34,25,-0.2706270163707382,0.7629009929266037,0.3946495128299683,1.474771679901087,0.4209692815757671,0.808470917647082,0.4864,0.9942,0.5863643780583127,0.8696206065998557,1.0
paginated_quality_filtered,bio17_q95q05,BIO17 driest-quarter precipitation breadth,34,25,-0.3913445745246788,0.6761471328177583,0.3375728930330147,1.354299929446537,0.2694903058823606,0.808470917647082,0.3314,0.9942,0.530822169702085,0.8328111132990579,1.0
paginated_quality_filtered,moisture_breadth,Legacy arithmetic-mean moisture breadth,34,25,-1.204242685355211,0.2999190466156002,0.1333030016298277,0.6747892652304923,0.0036052843958193,,0.0148,,0.2564882093402739,0.3587054610429259,1.0
