analysis_set,metric,omitted_family,estimate,odds_ratio
baseline_unambiguous_only,pca_hull_area,Calceolariaceae,-0.5344093616345799,0.5860153110735603
baseline_unambiguous_only,pca_hull_area,Campanulaceae,-0.5111158142720229,0.599825910957096
baseline_unambiguous_only,pca_hull_area,Caryophyllaceae,-0.4682629387706561,0.6260888789726105
baseline_unambiguous_only,pca_hull_area,Convolvulaceae,-0.4651262972796192,0.6280557784441035
baseline_unambiguous_only,pca_hull_area,Ericaceae,-0.3000277141648895,0.7407976898078961
baseline_unambiguous_only,pca_hull_area,Fabaceae,-0.4554762593001388,0.6341458781452878
baseline_unambiguous_only,pca_hull_area,Heliconiaceae,-0.4179883710717857,0.6583698845164364
baseline_unambiguous_only,pca_hull_area,Iridaceae,-0.3986325108424467,0.6712373284746334
baseline_unambiguous_only,pca_hull_area,Nyctaginaceae,-0.3295006946144849,0.7192827855546732
baseline_unambiguous_only,pca_hull_area,Orchidaceae,-0.5162948893811102,0.5967273981530428
baseline_unambiguous_only,pca_hull_area,Orobanchaceae,-0.434479071220395,0.6476019337094575
baseline_unambiguous_only,pca_hull_area,Papaveraceae,-0.6027295727820228,0.5473156574098602
baseline_unambiguous_only,pca_hull_area,Phrymaceae,-0.3491758034774009,0.7052691306048238
baseline_unambiguous_only,pca_hull_area,Plantaginaceae,-0.4993642412348791,0.6069163894984141
baseline_unambiguous_only,pca_hull_area,Polemoniaceae,-0.5642874149424717,0.568765296039933
baseline_unambiguous_only,pca_hull_area,Primulaceae,-0.5321837215735367,0.5873210227093488
baseline_unambiguous_only,pca_hull_area,Ranunculaceae,-0.5596216810823504,0.5714252039259639
baseline_unambiguous_only,pca_hull_area,Schisandraceae,-0.393333754719693,0.6748034911479885
baseline_unambiguous_only,pca_hull_area,Solanaceae,-0.5037317487239873,0.6042714577060878
baseline_unambiguous_only,pca_hull_area,Thymelaeaceae,-0.4988826536285567,0.607208743301004
baseline_unambiguous_only,pca_hull_area,Verbenaceae,-0.3494241548619887,0.70509399778787
baseline_unambiguous_only,moisture_breadth,Asparagaceae,-0.7930765742329531,0.4524506537690236
baseline_unambiguous_only,moisture_breadth,Asteraceae,-0.7698003402852281,0.4631055225977738
baseline_unambiguous_only,moisture_breadth,Brassicaceae,-1.1473053882787083,0.3174911331015079
baseline_unambiguous_only,moisture_breadth,Cactaceae,-0.9341055289443864,0.3929371793216645
baseline_unambiguous_only,moisture_breadth,Calceolariaceae,-0.9056043203370022,0.4042974860697728
baseline_unambiguous_only,moisture_breadth,Campanulaceae,-0.8706304745359701,0.4186874942127677
baseline_unambiguous_only,moisture_breadth,Caryophyllaceae,-0.7573897632408616,0.4688887416800437
baseline_unambiguous_only,moisture_breadth,Convolvulaceae,-0.8119004449622637,0.444013440788352
baseline_unambiguous_only,moisture_breadth,Ericaceae,-0.7453487798513666,0.474568751053077
baseline_unambiguous_only,moisture_breadth,Fabaceae,-0.7804366048765674,0.458205912690434
baseline_unambiguous_only,moisture_breadth,Heliconiaceae,-0.7373834631843753,0.4783639362957663
baseline_unambiguous_only,moisture_breadth,Iridaceae,-0.8038658849301821,0.4475952633491717
baseline_unambiguous_only,moisture_breadth,Nyctaginaceae,-0.7449081092387905,0.4747779256404749
baseline_unambiguous_only,moisture_breadth,Orchidaceae,-0.7733685770238191,0.4614559971570247
baseline_unambiguous_only,moisture_breadth,Orobanchaceae,-0.8598973609394994,0.4232055175053527
baseline_unambiguous_only,moisture_breadth,Papaveraceae,-0.9908299541808586,0.3712684273338856
baseline_unambiguous_only,moisture_breadth,Phrymaceae,-0.7705495322972463,0.4627586975750128
baseline_unambiguous_only,moisture_breadth,Plantaginaceae,-1.0423039786448816,0.3526412673244091
baseline_unambiguous_only,moisture_breadth,Polemoniaceae,-0.9393478691980108,0.3908826588821763
baseline_unambiguous_only,moisture_breadth,Primulaceae,-0.8907636942609232,0.4103422570334307
baseline_unambiguous_only,moisture_breadth,Ranunculaceae,-0.9257386364659476,0.396238634652907
baseline_unambiguous_only,moisture_breadth,Schisandraceae,-0.8433601107560851,0.4302623626086844
baseline_unambiguous_only,moisture_breadth,Solanaceae,-0.9192501624807063,0.398817977676602
baseline_unambiguous_only,moisture_breadth,Thymelaeaceae,-0.9737058937228796,0.3776807965359767
baseline_unambiguous_only,moisture_breadth,Verbenaceae,-0.7325136192931901,0.4806991754987947
