analysis,outcome,metric,status,n_species,n_families,n_positive,n_negative,estimate,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,wald_p_clustered,formula
one_resolved_positive_source_stratum,C_local_coexistence_documented,temperature_breadth,complete,23,16,15,8,-0.6858873527051272,0.5036431221463147,0.22243859887195813,1.1403434285759881,0.09996538559234965,C_local_coexistence_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,C_local_coexistence_documented,moisture_breadth,complete,23,16,15,8,-0.05182388353264455,0.9494960740128123,0.3313215487206885,2.7210508886210865,0.9231419137526187,C_local_coexistence_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,C_local_coexistence_documented,climatic_heterogeneity,complete,23,16,15,8,-0.46382103211591774,0.6288760930201224,0.24831674007340312,1.5926640316530698,0.3279130095774162,C_local_coexistence_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,C_local_coexistence_documented,pca_dispersion,complete,23,16,15,8,-0.42263664740788404,0.6553167008798383,0.2567851447250741,1.6723708021031105,0.3766000697101932,C_local_coexistence_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,C_local_coexistence_documented,pca_hull_area,complete,23,16,15,8,-0.6175500884467189,0.539263969595715,0.19700522162881345,1.47613157915199,0.22935803544830735,C_local_coexistence_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,S_spatial_segregation_documented,temperature_breadth,complete,23,16,17,6,-0.13698687373178292,0.871981671922295,0.35010159228892956,2.171803993227493,0.7685853828570051,S_spatial_segregation_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,S_spatial_segregation_documented,moisture_breadth,complete,23,16,17,6,-0.30558748371506733,0.7366904535925882,0.30021452053475745,1.8077500829998014,0.50462610264404,S_spatial_segregation_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,S_spatial_segregation_documented,climatic_heterogeneity,complete,23,16,17,6,-0.157856683643468,0.8539721613775352,0.3268425943409769,2.231252795793847,0.7473391966480254,S_spatial_segregation_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,S_spatial_segregation_documented,pca_dispersion,complete,23,16,17,6,-0.17778189396630356,0.8371249855894116,0.3361173386151636,2.084921427693519,0.7025649889488044,S_spatial_segregation_documented ~ metric_z + effort_z
one_resolved_positive_source_stratum,S_spatial_segregation_documented,pca_hull_area,complete,23,16,17,6,0.2943352388017709,1.3422337971017269,0.5621113925205349,3.2050436800501316,0.5074569920941672,S_spatial_segregation_documented ~ metric_z + effort_z
