species,genus,family,species.relative,genus.relative,status
Agave lechuguilla,Agave,Asparagaceae,,,prune
Anemone palmata,Anemone,Ranunculaceae,,,prune
Antirrhinum majus,Antirrhinum,Plantaginaceae,,,prune
Aquilegia coerulea,Aquilegia,Ranunculaceae,,,bind
Bletilla striata,Bletilla,Orchidaceae,,,prune
Calceolaria uniflora,Calceolaria,Calceolariaceae,,,prune
Campanula americana,Campanula,Campanulaceae,,,prune
Convolvulus arvensis,Convolvulus,Convolvulaceae,,,prune
Corydalis cava,Corydalis,Papaveraceae,,,prune
Dactylorhiza sambucina,Dactylorhiza,Orchidaceae,,,prune
Disa porrecta,Disa,Orchidaceae,,,bind
Encelia farinosa,Encelia,Asteraceae,,,prune
Eschscholzia californica,Eschscholzia,Papaveraceae,,,prune
Heliconia irrasa,Heliconia,Heliconiaceae,,,prune
Hesperis matronalis,Hesperis,Brassicaceae,,,prune
Ipomoea purpurea,Ipomoea,Convolvulaceae,,,prune
Ipomopsis aggregata,Ipomopsis,Polemoniaceae,,,prune
Iris lutescens,Iris,Iridaceae,,,prune
Kadsura longipedunculata,Kadsura,Schisandraceae,,,prune
Lantana camara,Lantana,Verbenaceae,,,prune
Leptosiphon parviflorus,Leptosiphon,Polemoniaceae,,,prune
Lotus corniculatus,Lotus,Fabaceae,,,prune
Lupinus perennis,Lupinus,Fabaceae,,,bind
Lupinus polyphyllus,Lupinus,Fabaceae,,,prune
Lysimachia monelli,Lysimachia,Primulaceae,,,prune
Mimulus ringens,Mimulus,Phrymaceae,,,prune
Mirabilis jalapa,Mirabilis,Nyctaginaceae,,,prune
Opuntia streptacantha,Opuntia,Cactaceae,,,bind
Pedicularis comosa,Pedicularis,Orobanchaceae,,,bind
Raphanus sativus,Raphanus,Brassicaceae,,,bind
Rhododendron arboreum,Rhododendron,Ericaceae,,,prune
Silene littorea,Silene,Caryophyllaceae,,,prune
Solanum carolinense,Solanum,Solanaceae,,,prune
Stellera chamaejasme,Stellera,Thymelaeaceae,,,prune
