datasetKey,record_count
50c9509d-22c7-4a22-a47d-8c48425ef4a7,43974
8a863029-f435-446a-821e-275f4f641165,3600
7f5e4129-0717-428e-876a-464fbd5d9a47,1950
38b4c89f-584c-41bb-bd8f-cd1def33e92f,1036
14d5676a-2c54-4f94-9023-1e8dcd822aa0,910
7a3679ef-5582-4aaa-81f0-8c2545cafc81,837
b124e1e0-4755-430f-9eab-894f25a9b59c,485
4515e736-fa02-44ee-9808-bf89445104fe,431
95e635d4-f762-11e1-a439-00145eb45e9a,306
7fe3eb5c-42bd-49d7-a30b-82c353ef6575,226
ba51e01f-4ab0-4b17-9e80-27d6ea5a426b,152
6c29e5a3-20d5-4f76-a7e3-0c12482e59c6,150
4fa7b334-ce0d-4e88-aaae-2e0c138d049e,136
a246ef6a-82ca-4f1f-bd9a-0b446643ed0e,118
0f8d0a50-0936-4e35-88b7-0ddfba3ca94d,100
94a9c0ff-4c4d-4d75-9aef-70a2b6f3b0ba,92
2d59e5db-57ad-41ff-97d6-11f5fb264527,72
d61e50eb-6cfb-4e53-8b58-b1f6e1e7d5e9,72
b1f8de14-6f89-4d6b-9a2e-d2ee71d522fb,71
8e1a2bb2-57cb-4b4a-a7e8-69f0ed61f0a5,69
6584f86d-9d8b-4b9f-b589-b0eb45631df7,67
f990f732-8f35-4a2c-a3f4-8b578c8f78d3,59
d8cd16ba-bb74-4420-821e-083f2bac17c2,56
8dfbcb0a-1d56-4c7b-9d9f-74c6531dfd3d,54
6db5f821-7bc7-4f28-b0d2-6ef922f983f0,50
3f8f0b3f-4f31-4a35-8f5a-a8ec65cc394e,46
cb6eebec-356a-4cb8-95ae-6b0e6ce49b35,42
a5e83a67-2b35-4bbb-8650-d95d1e1fbec7,39
1ef8f70b-d06e-44f1-9984-85f0d3f7c3b4,38
793d44a8-419b-4dec-a6ef-c7e01239d14f,38
63d09dd6-4f94-4f58-9354-6e96424decb7,37
a14f2ea0-e6e8-47b9-a764-cf051e4b8f7e,35
66f6192f-6cc0-4e88-b36e-7c74719577c2,33
3d0b1a96-65c3-4249-b30f-707bf5a9f9bb,31
9f2e9e21-9c2e-48b5-bd61-247f04a9c365,31
1797d32e-b28c-4c60-bc5f-7428f33f274d,29
63b0c28c-38df-4b61-b0c6-6e48f64df313,29
25c75979-1d22-4ba1-a015-bc5a97e5cd0b,28
2fbb5a6d-7b21-44ef-9e0e-f6afc95a670e,27
5e24e3b4-9dd5-40e4-b41a-1a474945eae8,27
70f95d32-8b09-4d50-bdad-fb420f44cfc6,26
c8f874df-7bbc-4d6a-a4e0-25a3715ed7cb,25
084a9a01-f5d1-4d5e-80c3-c4472869e66c,24
8640f95f-6492-4a4e-9e9c-dcf95fa390bb,24
09b2f64f-3fbf-4b4d-9ae6-398a462568cb,23
19002e12-6479-46a1-997d-5ba20df0f0e0,22
58d95f28-8c74-4b12-88ab-3bbf87be97d0,22
9a0c07be-4719-4e36-9f25-f6ad763c0b80,22
205a4ba7-49aa-4abf-b0c1-1fead703f455,21
33a863e1-fd7c-4bd6-a9e6-2f1bb39c30b9,21
500dc57e-ae7b-4f0e-b7c8-371c631c1509,21
590a4b6a-9c37-4c6e-9619-bf0d74422b1e,21
1f5b5029-4ee0-45e7-8b03-74d3e54c15c6,20
38a6b1d4-c16f-4a3c-b02c-b8396d96e59e,20
43347a81-bb1d-4e61-b2aa-e89d9e6b0fdc,20
5c1da0fb-6da3-4ca8-b60a-cb12ce95f1c1,20
