analysis_set,metric,analysis_status,analysis_reason,model_formula,estimator,covariance,ci_method,statsmodels_version,n_species,n_families,n_within,n_among,estimate,std_error_clustered,estimate_ci_low,estimate_ci_high,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,wald_p_value_clustered,permutation_p_two_sided,permutations_requested,permutations_valid,converged,iterations,predicted_probability_min,predicted_probability_max,loo_min_odds_ratio,loo_max_odds_ratio,loo_same_direction_fraction
all_evidence_classified,pca_hull_area,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,34,25,20,14,-0.5246786582343042,0.3602633313484412,-1.2307947876772487,0.1814374712086405,0.5917454863575397,0.2920603594362911,1.1989395661238453,0.1452888683857959,0.2364,9999,9999,True,4,0.11869121515330186,0.7081802690208382,0.48690632136116285,0.6859543916454331,1.0
all_evidence_classified,moisture_breadth,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,34,25,20,14,-1.204242685355211,0.413718290225824,-2.015130534197826,-0.39335483651259606,0.2999190466156002,0.1333030016298277,0.6747892652304923,0.003605284395819402,0.0148,9999,9999,True,5,0.0209725473349039,0.8566626559355093,0.24652014820281018,0.3593507958201206,1.0
baseline_unambiguous_only,pca_hull_area,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,34,25,20,14,-0.5246786582343042,0.3602633313484412,-1.2307947876772487,0.1814374712086405,0.5917454863575397,0.2920603594362911,1.1989395661238453,0.1452888683857959,0.2432,9999,9999,True,4,0.11869121515330186,0.7081802690208382,0.48690632136116285,0.6859543916454331,1.0
baseline_unambiguous_only,moisture_breadth,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,34,25,20,14,-1.204242685355211,0.413718290225824,-2.015130534197826,-0.39335483651259606,0.2999190466156002,0.1333030016298277,0.6747892652304923,0.003605284395819402,0.0164,9999,9999,True,5,0.0209725473349039,0.8566626559355093,0.24652014820281018,0.3593507958201206,1.0
high_confidence_enrichment_only,pca_hull_area,not_estimable,"fewer than 20 species, fewer than two families, or only one spatial-scale class",among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,0,0,0,0,,,,,,,,,,9999,0,False,-1,,,,,
high_confidence_enrichment_only,moisture_breadth,not_estimable,"fewer than 20 species, fewer than two families, or only one spatial-scale class",among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,0,0,0,0,,,,,,,,,,9999,0,False,-1,,,,,
