analysis_set,metric,omitted_family,estimate,odds_ratio
all_evidence_classified,pca_hull_area,Asparagaceae,-0.4519260763497805,0.6364012130869326
all_evidence_classified,pca_hull_area,Asteraceae,-0.4390329096565833,0.6446595637558433
all_evidence_classified,pca_hull_area,Brassicaceae,-0.46876533458288966,0.6257744135414008
all_evidence_classified,pca_hull_area,Cactaceae,-0.5343094809638367,0.5860738455990814
all_evidence_classified,pca_hull_area,Calceolariaceae,-0.6933563083584138,0.49989544703361266
all_evidence_classified,pca_hull_area,Campanulaceae,-0.5463112823014488,0.5790819453616347
all_evidence_classified,pca_hull_area,Caryophyllaceae,-0.5456230928661756,0.5794806005980173
all_evidence_classified,pca_hull_area,Convolvulaceae,-0.47090337103038704,0.6244379142885125
all_evidence_classified,pca_hull_area,Ericaceae,-0.3769441379483188,0.6859543916454331
all_evidence_classified,pca_hull_area,Fabaceae,-0.5337385601329384,0.5864085428997178
all_evidence_classified,pca_hull_area,Heliconiaceae,-0.499411624007212,0.6068876327985968
all_evidence_classified,pca_hull_area,Iridaceae,-0.45953696571333363,0.6315760191636974
all_evidence_classified,pca_hull_area,Nyctaginaceae,-0.41584685499709706,0.6597813049575922
all_evidence_classified,pca_hull_area,Orchidaceae,-0.5419232768188453,0.5816285432694082
all_evidence_classified,pca_hull_area,Orobanchaceae,-0.5096260278054755,0.600720189458127
all_evidence_classified,pca_hull_area,Papaveraceae,-0.6251932817090473,0.5351579822727547
all_evidence_classified,pca_hull_area,Phrymaceae,-0.4815569933964232,0.6178206997983139
all_evidence_classified,pca_hull_area,Plantaginaceae,-0.697421806555478,0.4978672486070512
all_evidence_classified,pca_hull_area,Polemoniaceae,-0.7196835330041442,0.48690632136116285
all_evidence_classified,pca_hull_area,Primulaceae,-0.5661933170023224,0.5676823174440305
all_evidence_classified,pca_hull_area,Ranunculaceae,-0.5880064385271688,0.5554334725130023
all_evidence_classified,pca_hull_area,Schisandraceae,-0.4794852716114097,0.6191019791702379
