accepted_name,family,source_id,title,year,strict_evidence_status,C_local_coexistence_documented_strict,S_spatial_segregation_documented_strict,taxon_resolution_status
Abronia fragrans,Nyctaginaceae,10.1002/ajb2.70142,"Pollinator, herbivore, and climatic selective pressures differ across a floral color transition zone",2025.0,S_positive,0,1,resolved_unique
Anemone coronaria,Ranunculaceae,10.1002/njb.05105,Distribution under climate change of Anemone coronaria : linking flower colour and seed dispersal,2026.0,C_and_S_positive,1,1,resolved_unique
Anemone coronaria,Ranunculaceae,10.1093/aobpla/plag009,Flower colour polymorphism in Anemone coronaria correlates with the activity pattern and colour preferences of its visitors,2026.0,C_positive,1,0,resolved_unique
Anemone coronaria,Ranunculaceae,10.1111/plb.13744,The roles of florivory and herbivory in maintaining intra‐population flower colour variation in Anemone coronaria,2024.0,C_positive,1,0,resolved_unique
Anemone coronaria,Ranunculaceae,10.3390/plants9030397,"Flower Colour Polymorphism, Pollination Modes, Breeding System and Gene Flow in Anemone coronaria",2020.0,C_and_S_positive,1,1,resolved_unique
Anemone palmata,Ranunculaceae,10.1111/plb.13702,Pollinator response to yellow UV ‐patterned versus white UV ‐patternless flower dimorphism in Anemone palmata,2024.0,C_and_S_positive,1,1,resolved_unique
Anemone pavonina,Ranunculaceae,10.1002/ajb2.70189,Flower color polymorphism in the peacock anemone ( Anemone pavonina ) reflects spatiotemporal variation in pollinator abundance,2026.0,C_and_S_positive,1,1,resolved_unique
Bletia patula,Orchidaceae,https://openalex.org/W2289564457,Is Reproductive Success Related to Color Polymorphism in a Deception Pollinated Tropical Terrestrial Orchid,2005.0,C_and_S_positive,1,1,resolved_unique
Cirsium palustre,Asteraceae,10.5287/ora-mj5dwmwbx,The ecological genetics of flower colour variation in Cirsium palustre,1972.0,C_and_S_positive,1,1,resolved_unique
Delphinium occidentale,Ranunculaceae,10.13001/uwnpsrc.1993.3155,Pollination Ecology and Breeding System of Delphinium Occidentale,1993.0,C_positive,1,0,resolved_unique
Digitalis purpurea,Plantaginaceae,10.1002/ajb2.70186,Flower color variation in Digitalis purpurea : Pollination and soil influences across native and introduced populations,2026.0,C_and_S_positive,1,1,resolved_unique
Disa porrecta,Orchidaceae,10.1093/aob/mcaf074,Geographical variation in flower colour of a food-deceptive orchid reflects local pollinator preferences,2025.0,S_positive,0,1,resolved_unique
