occurrence_dataset,metric,model_type,n_fits,n_species_min,n_species_max,odds_ratio_min,odds_ratio_median,odds_ratio_max,ci_low_min,ci_high_max,p_value_min,p_value_max,negative_fraction
primary,bio12_q95q05,OpenTree_Grafen,100,30,30,0.543444504614995,0.543444504614995,0.543444504614995,0.20966109612402,1.40861578545569,0.209495495376443,0.209495495376443,1
primary,bio12_q95q05,dated_megaphylogeny,3,34,34,0.411740198153533,0.411740198160266,0.417120843925228,0.142787469869177,1.1891900186318,0.100532285296902,0.101874508308727,1
primary,bio14_q95q05,OpenTree_Grafen,100,30,30,0.835134190259986,0.835134190259986,0.835134190259986,0.375789783567786,1.85595550022556,0.65834914300659,0.65834914300659,1
primary,bio14_q95q05,dated_megaphylogeny,3,34,34,0.746439331944135,0.746439332001303,0.759272730991163,0.339821472753745,1.66334836656783,0.466360454110799,0.491272446626896,1
primary,bio15_q95q05,OpenTree_Grafen,100,30,30,1.11869245243344,1.11869245243344,1.11869245243344,0.520165064962753,2.4059147517359,0.774053533968214,0.774053533968214,0
primary,bio15_q95q05,dated_megaphylogeny,3,34,34,1.20765297987891,1.23412621968968,1.24584797927432,0.564621520552826,2.67102313234625,0.572122261187866,0.626673337824331,0
primary,bio17_q95q05,OpenTree_Grafen,100,30,30,0.80972133451673,0.80972133451673,0.80972133451673,0.369540869893325,1.77422497208717,0.597933649411457,0.597933649411457,1
primary,bio17_q95q05,dated_megaphylogeny,3,34,34,0.723195524713336,0.723195524766014,0.736506493300614,0.331241019093351,1.60297131012108,0.415945865497772,0.440831028010801,1
paginated_quality_filtered,bio12_q95q05,OpenTree_Grafen,100,30,30,0.41963687837592,0.41963687837592,0.41963687837592,0.13717695512595,1.28370767182727,0.127959612844167,0.127959612844167,1
paginated_quality_filtered,bio12_q95q05,dated_megaphylogeny,3,34,34,0.290205544785164,0.291159517724334,0.291159517870647,0.083200986057973,1.01890456805882,0.0519738491857834,0.0535207098504805,1
paginated_quality_filtered,bio14_q95q05,OpenTree_Grafen,100,30,30,0.746748194070575,0.746748194070575,0.746748194070575,0.344771016464712,1.61740064772741,0.458934056921439,0.458934056921439,1
paginated_quality_filtered,bio14_q95q05,dated_megaphylogeny,3,34,34,0.66916114615869,0.669161146309899,0.675105676891339,0.316479080845993,1.42308172391472,0.29299086302401,0.301768727955536,1
paginated_quality_filtered,bio15_q95q05,OpenTree_Grafen,100,30,30,0.7242890701793,0.7242890701793,0.7242890701793,0.339629193533022,1.54461002519852,0.403828409600368,0.403828409600368,1
paginated_quality_filtered,bio15_q95q05,dated_megaphylogeny,3,34,34,0.732122311724282,0.744563491313485,0.744563491388842,0.34036171554299,1.60234252609153,0.424928068978933,0.450667103992524,1
paginated_quality_filtered,bio17_q95q05,OpenTree_Grafen,100,30,30,0.73496670633591,0.73496670633591,0.73496670633591,0.339777848661818,1.58979186415385,0.434059195641077,0.434059195641077,1
paginated_quality_filtered,bio17_q95q05,dated_megaphylogeny,3,34,34,0.652702703488281,0.652702703627196,0.657373109316493,0.308093527535933,1.38859907503163,0.265335491015859,0.271537201717082,1
