canonical_name,family,taxon_key,match_type,rank,scientific_name,accepted_name,status,gbif_reported_count,records_retrieved_before_filters,records_retained,basis_counts
Agave lechuguilla,Asparagaceae,2766505,EXACT,SPECIES,Agave lechuguilla Torr.,Agave lechuguilla Torr.,ACCEPTED,8351,3000,1584,"{""HUMAN_OBSERVATION"": 1573, ""PRESERVED_SPECIMEN"": 11}"
Anemone palmata,Ranunculaceae,3924291,EXACT,SPECIES,Anemone palmata L.,Anemone palmata L.,ACCEPTED,4274,3000,1926,"{""HUMAN_OBSERVATION"": 1752, ""PRESERVED_SPECIMEN"": 174}"
Antirrhinum majus,Plantaginaceae,3172001,EXACT,SPECIES,Antirrhinum majus L.,Antirrhinum majus L.,ACCEPTED,51814,3000,2475,"{""HUMAN_OBSERVATION"": 2475}"
Aquilegia coerulea,Ranunculaceae,3033188,EXACT,SPECIES,Aquilegia coerulea James,Aquilegia coerulea James,ACCEPTED,10544,3000,1709,"{""HUMAN_OBSERVATION"": 1707, ""PRESERVED_SPECIMEN"": 2}"
Bletilla striata,Orchidaceae,2808791,EXACT,SPECIES,Bletilla striata (Thunb.) Rchb.f.,Bletilla striata (Thunb.) Rchb.f.,ACCEPTED,731,731,471,"{""HUMAN_OBSERVATION"": 316, ""MATERIAL_SAMPLE"": 1, ""PRESERVED_SPECIMEN"": 154}"
Calceolaria uniflora,Calceolariaceae,3741009,EXACT,SPECIES,Calceolaria uniflora Lam.,Calceolaria uniflora Lam.,ACCEPTED,653,653,469,"{""HUMAN_OBSERVATION"": 381, ""MATERIAL_SAMPLE"": 1, ""PRESERVED_SPECIMEN"": 87}"
Campanula americana,Campanulaceae,7639571,EXACT,SPECIES,"Campanula americana hort. ex Steud., 1840","Campanula americana hort. ex Steud., 1840",ACCEPTED,37,37,31,"{""HUMAN_OBSERVATION"": 1, ""PRESERVED_SPECIMEN"": 30}"
Convolvulus arvensis,Convolvulaceae,2928390,EXACT,SPECIES,Convolvulus arvensis L.,Convolvulus arvensis L.,ACCEPTED,700807,3000,2624,"{""HUMAN_OBSERVATION"": 2624}"
Corydalis cava,Papaveraceae,5530881,EXACT,SPECIES,Corydalis cava (L.) Schweigg. & Körte,Corydalis cava (L.) Schweigg. & Körte,ACCEPTED,64735,3000,2185,"{""HUMAN_OBSERVATION"": 2184, ""PRESERVED_SPECIMEN"": 1}"
Dactylorhiza sambucina,Orchidaceae,8231647,EXACT,SPECIES,Dactylorhiza sambucina (L.) Soó,Dactylorhiza sambucina (L.) Soó,ACCEPTED,58637,3000,1993,"{""HUMAN_OBSERVATION"": 1991, ""MACHINE_OBSERVATION"": 2}"
Disa porrecta,Orchidaceae,2783701,EXACT,SPECIES,Disa porrecta Sw.,Disa porrecta Sw.,ACCEPTED,73,73,64,"{""HUMAN_OBSERVATION"": 24, ""PRESERVED_SPECIMEN"": 40}"
Encelia farinosa,Asteraceae,3118746,EXACT,SPECIES,Encelia farinosa A.Gray ex Torr.,Encelia farinosa A.Gray ex Torr.,ACCEPTED,33699,3000,2361,"{""HUMAN_OBSERVATION"": 2360, ""PRESERVED_SPECIMEN"": 1}"
Eschscholzia californica,Papaveraceae,2888380,EXACT,SPECIES,Eschscholzia californica Cham.,Eschscholzia californica Cham.,ACCEPTED,115109,3000,2428,"{""HUMAN_OBSERVATION"": 2425, ""PRESERVED_SPECIMEN"": 3}"
Heliconia irrasa,Heliconiaceae,2760834,EXACT,SPECIES,Heliconia irrasa R.R.Sm.,Heliconia irrasa R.R.Sm.,ACCEPTED,557,557,349,"{""HUMAN_OBSERVATION"": 141, ""MATERIAL_SAMPLE"": 2, ""PRESERVED_SPECIMEN"": 206}"
Hesperis matronalis,Brassicaceae,3042291,EXACT,SPECIES,Hesperis matronalis L.,Hesperis matronalis L.,ACCEPTED,144561,3000,2599,"{""HUMAN_OBSERVATION"": 2599}"
Ipomoea purpurea,Convolvulaceae,2928576,EXACT,SPECIES,Ipomoea purpurea (L.) Roth,Ipomoea purpurea (L.) Roth,ACCEPTED,30035,3000,2477,"{""HUMAN_OBSERVATION"": 2474, ""PRESERVED_SPECIMEN"": 3}"
Ipomopsis aggregata,Polemoniaceae,2927979,EXACT,SPECIES,Ipomopsis aggregata (Pursh) V.E.Grant,Ipomopsis aggregata (Pursh) V.E.Grant,ACCEPTED,19907,3000,2514,"{""HUMAN_OBSERVATION"": 2496, ""PRESERVED_SPECIMEN"": 18}"
Iris lutescens,Iridaceae,5298190,EXACT,SPECIES,Iris lutescens Lam.,Iris lutescens Lam.,ACCEPTED,14772,3000,2310,"{""HUMAN_OBSERVATION"": 2307, ""MATERIAL_SAMPLE"": 2, ""PRESERVED_SPECIMEN"": 1}"
Kadsura longipedunculata,Schisandraceae,7604003,EXACT,SPECIES,Kadsura longipedunculata Finet & Gagnep.,Kadsura longipedunculata Finet & Gagnep.,ACCEPTED,1076,1076,308,"{""HUMAN_OBSERVATION"": 37, ""MATERIAL_SAMPLE"": 3, ""PRESERVED_SPECIMEN"": 268}"
Lantana camara,Verbenaceae,2925303,EXACT,SPECIES,Lantana camara L.,Lantana camara L.,ACCEPTED,120425,3000,2423,"{""HUMAN_OBSERVATION"": 2411, ""PRESERVED_SPECIMEN"": 12}"
Leptosiphon parviflorus,Polemoniaceae,7741234,EXACT,SPECIES,Leptosiphon parviflorus Benth.,Leptosiphon parviflorus Benth.,ACCEPTED,4327,3000,1580,"{""HUMAN_OBSERVATION"": 1434, ""PRESERVED_SPECIMEN"": 146}"
Lotus corniculatus,Fabaceae,5357013,EXACT,SPECIES,Lotus corniculatus L.,Lotus corniculatus L.,ACCEPTED,1189484,3000,2130,"{""HUMAN_OBSERVATION"": 2127, ""MACHINE_OBSERVATION"": 3}"
Lupinus perennis,Fabaceae,2964435,EXACT,SPECIES,Lupinus perennis L.,Lupinus perennis L.,ACCEPTED,9788,3000,1427,"{""HUMAN_OBSERVATION"": 1425, ""PRESERVED_SPECIMEN"": 2}"
Lupinus polyphyllus,Fabaceae,2964355,EXACT,SPECIES,Lupinus polyphyllus Lindl.,Lupinus polyphyllus Lindl.,ACCEPTED,291172,3000,2491,"{""HUMAN_OBSERVATION"": 2487, ""MACHINE_OBSERVATION"": 4}"
Lysimachia monelli,Primulaceae,8076173,EXACT,SPECIES,Lysimachia monelli (L.) U.Manns & Anderb.,Lysimachia monelli (L.) U.Manns & Anderb.,ACCEPTED,4524,3000,2263,"{""HUMAN_OBSERVATION"": 2208, ""MACHINE_OBSERVATION"": 6, ""PRESERVED_SPECIMEN"": 49}"
Mimulus ringens,Phrymaceae,6070732,EXACT,SPECIES,Mimulus ringens L.,Mimulus ringens L.,ACCEPTED,17117,3000,2499,"{""HUMAN_OBSERVATION"": 2499}"
Mirabilis jalapa,Nyctaginaceae,3086240,EXACT,SPECIES,Mirabilis jalapa L.,Mirabilis jalapa L.,ACCEPTED,44324,3000,2440,"{""HUMAN_OBSERVATION"": 2437, ""PRESERVED_SPECIMEN"": 3}"
Opuntia streptacantha,Cactaceae,7283335,EXACT,SPECIES,Opuntia streptacantha Lem.,Opuntia streptacantha Lem.,ACCEPTED,1484,1484,1075,"{""HUMAN_OBSERVATION"": 626, ""MATERIAL_SAMPLE"": 1, ""OBSERVATION"": 1, ""PRESERVED_SPECIMEN"": 447}"
Pedicularis comosa,Orobanchaceae,8180842,EXACT,SPECIES,Pedicularis comosa L.,Pedicularis comosa L.,ACCEPTED,7285,3000,1383,"{""HUMAN_OBSERVATION"": 1357, ""PRESERVED_SPECIMEN"": 26}"
Raphanus sativus,Brassicaceae,7678610,EXACT,SPECIES,Raphanus sativus L.,Raphanus sativus L.,ACCEPTED,36236,3000,1766,"{""HUMAN_OBSERVATION"": 1750, ""MATERIAL_SAMPLE"": 1, ""PRESERVED_SPECIMEN"": 15}"
Rhododendron arboreum,Ericaceae,7328114,EXACT,SPECIES,Rhododendron arboreum Sm.,Rhododendron arboreum Sm.,ACCEPTED,1683,1683,970,"{""HUMAN_OBSERVATION"": 780, ""PRESERVED_SPECIMEN"": 190}"
Silene littorea,Caryophyllaceae,7267702,EXACT,SPECIES,Silene littorea Brot.,Silene littorea Brot.,ACCEPTED,2063,2063,1301,"{""HUMAN_OBSERVATION"": 1024, ""PRESERVED_SPECIMEN"": 277}"
Solanum carolinense,Solanaceae,2932011,EXACT,SPECIES,Solanum carolinense L.,Solanum carolinense L.,ACCEPTED,52038,3000,2688,"{""HUMAN_OBSERVATION"": 2688}"
Stellera chamaejasme,Thymelaeaceae,7311593,EXACT,SPECIES,Stellera chamaejasme L.,Stellera chamaejasme L.,ACCEPTED,2649,2649,1142,"{""HUMAN_OBSERVATION"": 543, ""MATERIAL_SAMPLE"": 1, ""PRESERVED_SPECIMEN"": 598}"
