canonical_name,n_v22_exact_name_records,n_v22_exact_name_title_records,attention_definition
Abronia fragrans,3,1,exact accepted canonical binomial mention in v2.2 title/abstract
Anemone coronaria,9,9,exact accepted canonical binomial mention in v2.2 title/abstract
Anemone palmata,1,1,exact accepted canonical binomial mention in v2.2 title/abstract
Anemone pavonina,9,4,exact accepted canonical binomial mention in v2.2 title/abstract
Bletia patula,1,0,exact accepted canonical binomial mention in v2.2 title/abstract
Cirsium palustre,6,3,exact accepted canonical binomial mention in v2.2 title/abstract
Delphinium occidentale,2,1,exact accepted canonical binomial mention in v2.2 title/abstract
Digitalis purpurea,13,11,exact accepted canonical binomial mention in v2.2 title/abstract
Disa porrecta,1,0,exact accepted canonical binomial mention in v2.2 title/abstract
Eruca sativa,3,3,exact accepted canonical binomial mention in v2.2 title/abstract
Erythranthe lewisii,0,0,exact accepted canonical binomial mention in v2.2 title/abstract
Gentiana leucomelaena,3,1,exact accepted canonical binomial mention in v2.2 title/abstract
Gerbera aurantiaca,1,1,exact accepted canonical binomial mention in v2.2 title/abstract
Hepatica nobilis,3,2,exact accepted canonical binomial mention in v2.2 title/abstract
Hesperis matronalis,9,6,exact accepted canonical binomial mention in v2.2 title/abstract
Ipomoea purpurea,31,22,exact accepted canonical binomial mention in v2.2 title/abstract
Iris lutescens,10,6,exact accepted canonical binomial mention in v2.2 title/abstract
Leptosiphon parviflorus,3,2,exact accepted canonical binomial mention in v2.2 title/abstract
Lilium sulphureum,1,1,exact accepted canonical binomial mention in v2.2 title/abstract
Limonium wrightii,2,2,exact accepted canonical binomial mention in v2.2 title/abstract
Linanthus parryae,8,5,exact accepted canonical binomial mention in v2.2 title/abstract
Lysimachia arvensis,8,7,exact accepted canonical binomial mention in v2.2 title/abstract
Ophrys arachnitiformis,2,0,exact accepted canonical binomial mention in v2.2 title/abstract
Orchis mascula,5,2,exact accepted canonical binomial mention in v2.2 title/abstract
Pedicularis dasyantha,2,2,exact accepted canonical binomial mention in v2.2 title/abstract
Platystemon californicus,3,3,exact accepted canonical binomial mention in v2.2 title/abstract
Protea repens,1,0,exact accepted canonical binomial mention in v2.2 title/abstract
Raphanus sativus,19,11,exact accepted canonical binomial mention in v2.2 title/abstract
Rhododendron arboreum,3,2,exact accepted canonical binomial mention in v2.2 title/abstract
Silene littorea,7,5,exact accepted canonical binomial mention in v2.2 title/abstract
Solanum carolinense,4,2,exact accepted canonical binomial mention in v2.2 title/abstract
Tecomella undulata,4,4,exact accepted canonical binomial mention in v2.2 title/abstract
Trillium sessile,4,3,exact accepted canonical binomial mention in v2.2 title/abstract
Viola diversifolia,1,0,exact accepted canonical binomial mention in v2.2 title/abstract
