occurrence_dataset,metric,metric_label,n_species,n_families,estimate,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,wald_p_value_clustered,wald_p_holm_four_temperature_components,permutation_p_two_sided,permutation_p_holm_four_temperature_components,loo_min_odds_ratio,loo_max_odds_ratio,loo_same_direction_fraction
primary,bio1_q95q05,BIO1 annual mean temperature breadth,34,25,0.22118164066060622,1.2475500157939046,0.5089454145753923,3.0580510155609586,0.6287314351493669,1.0,0.5938,1.0,1.0850442754629384,2.2283664859045738,1.0
primary,bio5_q95q05,BIO5 warmest-month maximum-temperature breadth,34,25,0.0080565924960199,1.0080891341703082,0.4667135878792715,2.177446144325932,0.983640419205079,1.0,0.9831,1.0,0.6925868629107543,1.280703071743885,0.52
primary,bio6_q95q05,BIO6 coldest-month minimum-temperature breadth,34,25,-0.2464688663607931,0.781555693831218,0.4042396378606355,1.5110574158256702,0.4637177485728299,1.0,0.5352,1.0,0.6904226610903542,0.9277314957248755,1.0
primary,bio7_q95q05,BIO7 annual temperature-range breadth,34,25,-0.31244483754520114,0.7316559877738394,0.33327295372148236,1.6062524080267324,0.4361098350903372,1.0,0.4243,1.0,0.5629809913705038,0.8304434560078505,1.0
primary,temperature_breadth,Legacy arithmetic-mean temperature breadth,34,25,-0.148812634002982,0.8617305587792458,0.4103858018230212,1.8094669762825475,0.6941923482184233,,0.7018,,0.6840386967709859,1.0371191280214447,0.96
paginated_quality_filtered,bio1_q95q05,BIO1 annual mean temperature breadth,34,25,-0.21148055124810855,0.8093850224281361,0.4347186589395983,1.506961113951213,0.5048636893470537,1.0,0.5956,1.0,0.697674898574038,1.0330637489309151,0.96
paginated_quality_filtered,bio5_q95q05,BIO5 warmest-month maximum-temperature breadth,34,25,-0.11019238294584217,0.8956618086634781,0.37958894033039975,2.1133652492616815,0.8013637466912278,1.0,0.7795,1.0,0.5765616522008375,1.179292874448855,0.92
paginated_quality_filtered,bio6_q95q05,BIO6 coldest-month minimum-temperature breadth,34,25,-0.5960903003860097,0.5509615247066015,0.2892387949428522,1.0495085964073394,0.06982765797889472,0.27931063191557887,0.1873,0.7492,0.4829578420338804,0.631384769166342,1.0
paginated_quality_filtered,bio7_q95q05,BIO7 annual temperature-range breadth,34,25,-0.256888134700179,0.7734547316716395,0.3579880953036141,1.67109529560719,0.5133790775789887,1.0,0.5583,1.0,0.6072539836049828,0.905483272490795,1.0
paginated_quality_filtered,temperature_breadth,Legacy arithmetic-mean temperature breadth,34,25,-0.3984208932367928,0.6713793891416496,0.32231154396516126,1.3984925225419054,0.2872515638105113,,0.3559,,0.49295504325296957,0.7868975126493646,1.0
