match_level,min_cells,metric,n_strata,n_rows,estimate,odds_ratio,ci_low,ci_high,p_value,effort_or
all,10,pca_dispersion,60,231,-0.0472150752503919,0.9538822190696404,0.6160546269832902,1.4769652689937531,0.8323702816269849,4.519543566485868
all,10,climatic_heterogeneity,60,231,0.013010998612049,1.0130960099485145,0.6468048361641664,1.5868210439804098,0.9546801970185532,4.416699643195812
all,10,pca_hull_area,60,231,0.1411744791577862,1.151625565114995,0.6262784815143257,2.1176544961589814,0.6496518643506184,4.027176842862452
all,10,temperature_breadth,60,231,-0.0701810080186687,0.9322250644214968,0.6225583014758063,1.39592319092935,0.7333311997745157,4.558260220921389
all,10,moisture_breadth,60,231,-0.0796555428287904,0.923434375202518,0.5777458597041354,1.4759621916500618,0.7392044106595128,4.580668683833871
all,20,pca_dispersion,57,197,-0.032671605273884,0.9678563463262032,0.6338816784612111,1.4777929997880972,0.8797357566909488,3.1552684651229
all,20,climatic_heterogeneity,57,197,0.0265845968866935,1.0269411196086018,0.6664193823876704,1.5824990854324827,0.9040904537234488,3.093293122241741
all,20,pca_hull_area,57,197,0.1428582921301252,1.1535663206569515,0.6493701820038261,2.049239852756554,0.6260588827723825,2.866239157679599
all,20,temperature_breadth,57,197,-0.0565499998131918,0.9450192325287728,0.6480800874130481,1.3780107847690837,0.7688757922038422,3.178015565455294
all,20,moisture_breadth,57,197,-0.0786607179498985,0.9243534877952284,0.5783733303147316,1.4772973192492318,0.7422970709214685,3.201983026989432
all,30,pca_dispersion,51,166,0.0474333506353822,1.0485763118473352,0.6572682646225512,1.6728516207895356,0.8422368206488967,3.347655605225893
all,30,climatic_heterogeneity,51,166,0.1217079358200294,1.1294241892551746,0.6974571870791137,1.8289280301444724,0.6206847088432896,3.2727760451128693
all,30,pca_hull_area,51,166,0.3696122886050769,1.4471734202541584,0.7637849465135319,2.7420164770856923,0.2569858753472762,2.843086408937144
all,30,temperature_breadth,51,166,-0.0227715785422209,0.9774857369913954,0.6422267559488709,1.4877585793041597,0.9153802536271562,3.410489528935957
all,30,moisture_breadth,51,166,0.0544749582665123,1.0559860323618346,0.6288645172883572,1.7732062628554586,0.8367966526795814,3.34977339298129
all,50,pca_dispersion,42,127,0.0498225219304518,1.051084535367001,0.612328477244302,1.804225577519382,0.8565790525868908,2.844439177009048
all,50,climatic_heterogeneity,42,127,0.1315928791220654,1.140643844801518,0.6504859921762065,2.0001481912482912,0.6460681193318547,2.7804276980291998
all,50,pca_hull_area,42,127,0.4840648551359961,1.6226568798723535,0.8017663054627122,3.284018462558772,0.1783868386399779,2.3675940360157
