outcome,outcome_short,metric,omitted_family,estimate,odds_ratio
C_local_coexistence_documented,C,temperature_breadth,Asteraceae,-0.3154144168838845,0.7294865000966972
C_local_coexistence_documented,C,temperature_breadth,Bignoniaceae,-0.47006472021935747,0.624961819307746
C_local_coexistence_documented,C,temperature_breadth,Brassicaceae,-0.0675122502356445,0.9347162700513227
C_local_coexistence_documented,C,temperature_breadth,Caryophyllaceae,-0.3541742194712498,0.7017526977208828
C_local_coexistence_documented,C,temperature_breadth,Convolvulaceae,-0.4507924892863923,0.6371230383177877
C_local_coexistence_documented,C,temperature_breadth,Ericaceae,-0.0725296947864967,0.9300381289665562
C_local_coexistence_documented,C,temperature_breadth,Gentianaceae,-0.43637107357328,0.6463778276980314
C_local_coexistence_documented,C,temperature_breadth,Iridaceae,-0.3415162047221461,0.7106919509609495
C_local_coexistence_documented,C,temperature_breadth,Liliaceae,-0.3516431164439313,0.7035311558794558
C_local_coexistence_documented,C,temperature_breadth,Melanthiaceae,-0.3272589882253521,0.720897015008893
C_local_coexistence_documented,C,temperature_breadth,Nyctaginaceae,-0.4643001731292566,0.628574844867584
C_local_coexistence_documented,C,temperature_breadth,Orchidaceae,-0.5151023765516789,0.597439427698817
C_local_coexistence_documented,C,temperature_breadth,Orobanchaceae,-0.4540878225892624,0.6350269610849623
C_local_coexistence_documented,C,temperature_breadth,Papaveraceae,-0.3797883849764236,0.6840061398736403
C_local_coexistence_documented,C,temperature_breadth,Phrymaceae,-0.36350830814659574,0.6952329510948898
C_local_coexistence_documented,C,temperature_breadth,Plantaginaceae,-0.34796454198312887,0.706123913524134
C_local_coexistence_documented,C,temperature_breadth,Plumbaginaceae,-0.42519315752425185,0.6536435167719552
C_local_coexistence_documented,C,temperature_breadth,Polemoniaceae,-0.3756131426605126,0.686868001578746
C_local_coexistence_documented,C,temperature_breadth,Primulaceae,-0.3631602351909444,0.6954749850033289
C_local_coexistence_documented,C,temperature_breadth,Proteaceae,-0.5198548576034315,0.5946068443698176
C_local_coexistence_documented,C,temperature_breadth,Ranunculaceae,-0.2503624080382572,0.7785185905449273
C_local_coexistence_documented,C,temperature_breadth,Solanaceae,-0.3490829618713418,0.7053346119632632
C_local_coexistence_documented,C,temperature_breadth,Violaceae,-0.33453509028067724,0.7156707313004501
C_local_coexistence_documented,C,moisture_breadth,Asteraceae,-0.13303838106108445,0.8754314914744117
C_local_coexistence_documented,C,moisture_breadth,Bignoniaceae,-0.24968964111828593,0.7790425283234695
C_local_coexistence_documented,C,moisture_breadth,Brassicaceae,-0.1950650310888074,0.8227811499621602
C_local_coexistence_documented,C,moisture_breadth,Caryophyllaceae,-0.20450962641503945,0.8150468959000478
C_local_coexistence_documented,C,moisture_breadth,Convolvulaceae,-0.2091731627249613,0.8112547443976613
C_local_coexistence_documented,C,moisture_breadth,Ericaceae,0.25930950789862767,1.296034875788485
C_local_coexistence_documented,C,moisture_breadth,Gentianaceae,-0.15599564895761714,0.8555629129534154
C_local_coexistence_documented,C,moisture_breadth,Iridaceae,-0.1623369137035923,0.850154727506053
C_local_coexistence_documented,C,moisture_breadth,Liliaceae,-0.16017817071716606,0.8519919754209684
C_local_coexistence_documented,C,moisture_breadth,Melanthiaceae,-0.14498217635493874,0.8650377110984657
C_local_coexistence_documented,C,moisture_breadth,Nyctaginaceae,-0.40175884644025794,0.6691420922324334
C_local_coexistence_documented,C,moisture_breadth,Orchidaceae,-0.3281412625542849,0.7202612665722483
C_local_coexistence_documented,C,moisture_breadth,Orobanchaceae,-0.13891597343398607,0.8703011538033248
C_local_coexistence_documented,C,moisture_breadth,Papaveraceae,-0.17957347756234923,0.8356265488855021
C_local_coexistence_documented,C,moisture_breadth,Phrymaceae,-0.27374259636071224,0.7605278126948046
C_local_coexistence_documented,C,moisture_breadth,Plantaginaceae,-0.2530536114284899,0.7764262553872531
C_local_coexistence_documented,C,moisture_breadth,Plumbaginaceae,0.12911777343062283,1.1378241217251615
C_local_coexistence_documented,C,moisture_breadth,Polemoniaceae,-0.28041955127597396,0.7554667179310998
C_local_coexistence_documented,C,moisture_breadth,Primulaceae,-0.20163833025346536,0.8173904999042166
C_local_coexistence_documented,C,moisture_breadth,Proteaceae,-0.2828602575613306,0.7536250939101492
C_local_coexistence_documented,C,moisture_breadth,Ranunculaceae,-0.07068237695608552,0.931757792879021
C_local_coexistence_documented,C,moisture_breadth,Solanaceae,-0.15940694151871887,0.8526493099544669
C_local_coexistence_documented,C,moisture_breadth,Violaceae,-0.15465120187667167,0.8567139455921585
C_local_coexistence_documented,C,climatic_heterogeneity,Asteraceae,-0.26059318816017096,0.7705943427609737
C_local_coexistence_documented,C,climatic_heterogeneity,Bignoniaceae,-0.4616897855913422,0.6302178122671369
C_local_coexistence_documented,C,climatic_heterogeneity,Brassicaceae,-0.08321288041073258,0.9201552433426751
C_local_coexistence_documented,C,climatic_heterogeneity,Caryophyllaceae,-0.30651520038474234,0.736007330499735
C_local_coexistence_documented,C,climatic_heterogeneity,Convolvulaceae,-0.437827173670595,0.64543732178177
C_local_coexistence_documented,C,climatic_heterogeneity,Ericaceae,-0.024167860476813897,0.9761218437268626
C_local_coexistence_documented,C,climatic_heterogeneity,Gentianaceae,-0.3367587620995859,0.7140810825472369
C_local_coexistence_documented,C,climatic_heterogeneity,Iridaceae,-0.28789557889094725,0.7498398872637836
C_local_coexistence_documented,C,climatic_heterogeneity,Liliaceae,-0.30266431456374576,0.7388470749494348
C_local_coexistence_documented,C,climatic_heterogeneity,Melanthiaceae,-0.2727529131049135,0.7612808669177091
C_local_coexistence_documented,C,climatic_heterogeneity,Nyctaginaceae,-0.5054885197701712,0.6032108230240859
C_local_coexistence_documented,C,climatic_heterogeneity,Orchidaceae,-0.49783340551446603,0.6078461902913167
C_local_coexistence_documented,C,climatic_heterogeneity,Orobanchaceae,-0.33992719370627056,0.711822146008303
C_local_coexistence_documented,C,climatic_heterogeneity,Papaveraceae,-0.30412386686353643,0.7377694755996036
C_local_coexistence_documented,C,climatic_heterogeneity,Phrymaceae,-0.3289897019132718,0.7196504277314346
C_local_coexistence_documented,C,climatic_heterogeneity,Plantaginaceae,-0.33742951071998545,0.7136022742442207
C_local_coexistence_documented,C,climatic_heterogeneity,Plumbaginaceae,-0.17246455516008022,0.8415881182392498
C_local_coexistence_documented,C,climatic_heterogeneity,Polemoniaceae,-0.39374015226575504,0.6745293083824871
C_local_coexistence_documented,C,climatic_heterogeneity,Primulaceae,-0.3474523861392489,0.7064856516381862
C_local_coexistence_documented,C,climatic_heterogeneity,Proteaceae,-0.476068332879646,0.6212210309751262
C_local_coexistence_documented,C,climatic_heterogeneity,Ranunculaceae,-0.191808602060529,0.8254648456435114
C_local_coexistence_documented,C,climatic_heterogeneity,Solanaceae,-0.2945562224582124,0.7448620671878938
C_local_coexistence_documented,C,climatic_heterogeneity,Violaceae,-0.2766337172509094,0.7583322102533323
C_local_coexistence_documented,C,pca_dispersion,Asteraceae,-0.12759944661556893,0.8802058779860523
C_local_coexistence_documented,C,pca_dispersion,Bignoniaceae,-0.2883592312485599,0.7494923028176225
C_local_coexistence_documented,C,pca_dispersion,Brassicaceae,0.20182543581849882,1.2236343867314035
C_local_coexistence_documented,C,pca_dispersion,Caryophyllaceae,-0.19185866013998795,0.8254235254928899
C_local_coexistence_documented,C,pca_dispersion,Convolvulaceae,-0.3179578238032218,0.7276334765801266
C_local_coexistence_documented,C,pca_dispersion,Ericaceae,0.04555133071268524,1.046604726201649
C_local_coexistence_documented,C,pca_dispersion,Gentianaceae,-0.21774557162405345,0.8043300600259948
C_local_coexistence_documented,C,pca_dispersion,Iridaceae,-0.1654879028420179,0.847480115243753
C_local_coexistence_documented,C,pca_dispersion,Liliaceae,-0.18679061550642934,0.8296174272255421
C_local_coexistence_documented,C,pca_dispersion,Melanthiaceae,-0.14878092088582098,0.8617578873747527
C_local_coexistence_documented,C,pca_dispersion,Nyctaginaceae,-0.3720937892385773,0.6892895915465365
C_local_coexistence_documented,C,pca_dispersion,Orchidaceae,-0.41539690557022035,0.6600782399754828
C_local_coexistence_documented,C,pca_dispersion,Orobanchaceae,-0.2766730646252409,0.7583023724590111
C_local_coexistence_documented,C,pca_dispersion,Papaveraceae,-0.19046730026766948,0.826572785995999
C_local_coexistence_documented,C,pca_dispersion,Phrymaceae,-0.20568007241033348,0.8140934855912468
C_local_coexistence_documented,C,pca_dispersion,Plantaginaceae,-0.19714051563837487,0.8210752512932694
C_local_coexistence_documented,C,pca_dispersion,Plumbaginaceae,-0.1277810413388865,0.8800460517554162
C_local_coexistence_documented,C,pca_dispersion,Polemoniaceae,-0.24825286336981783,0.7801626437790655
C_local_coexistence_documented,C,pca_dispersion,Primulaceae,-0.23497963014695175,0.7905869536047839
C_local_coexistence_documented,C,pca_dispersion,Proteaceae,-0.338626698568344,0.7127484694572694
C_local_coexistence_documented,C,pca_dispersion,Ranunculaceae,-0.08558600616637457,0.9179741882181467
C_local_coexistence_documented,C,pca_dispersion,Solanaceae,-0.17661281282838598,0.8381042249137242
C_local_coexistence_documented,C,pca_dispersion,Violaceae,-0.15300853877409296,0.8581223944668401
C_local_coexistence_documented,C,pca_hull_area,Asteraceae,-0.43957217833465695,0.6443120127651935
C_local_coexistence_documented,C,pca_hull_area,Bignoniaceae,-0.5247975883770638,0.59167511416714
C_local_coexistence_documented,C,pca_hull_area,Brassicaceae,-0.42502674167204574,0.6537523024664188
C_local_coexistence_documented,C,pca_hull_area,Caryophyllaceae,-0.43721868848136036,0.6458301803448406
C_local_coexistence_documented,C,pca_hull_area,Convolvulaceae,-0.641352989063006,0.5265794855680496
