analysis_label,n_input_species,n_model_species,n_replicates_requested,n_replicates_complete,median_estimate,min_estimate,max_estimate,median_odds_ratio,min_odds_ratio,max_odds_ratio,median_ci_low,median_ci_high,median_p_value,fraction_negative,median_alpha
baseline_original_occurrences,34,30,100,100,-0.523957375213213,-0.523957375213213,-0.523957375213213,0.592172456294229,0.592172456294229,0.592172456294229,0.244487660440983,1.43429822740763,0.245689037432875,1,16.9494609563346
baseline_paginated_quality_filtered,34,30,100,100,-0.751012945499658,-0.751012945499658,-0.751012945499658,0.471888313423301,0.471888313423301,0.471888313423301,0.175037254502192,1.27217820559851,0.137745261084409,1,16.140560033101
