"outcome_short","outcome","metric","n_species","n_families","n_positive","n_negative","estimate","odds_ratio","cr2_se","satterthwaite_df","cr2_ci_low","cr2_ci_high","cr2_satterthwaite_p"
"C","C_local_coexistence_documented","temperature_breadth",34,23,26,8,-0.370162145927454,0.690622339958351,0.461402457775659,7.12528062607162,0.232857453617834,2.04828838003328,0.448332301575308
"C","C_local_coexistence_documented","moisture_breadth",34,23,26,8,-0.182330877971374,0.833325565721686,0.529894103919233,7.91482816532097,0.244984219966602,2.8345968510953,0.739742048798815
"C","C_local_coexistence_documented","climatic_heterogeneity",34,23,26,8,-0.31950750865999,0.726506747263362,0.502605802420935,9.71676094921909,0.236023557182347,2.23626853234575,0.539652994800186
"C","C_local_coexistence_documented","pca_dispersion",34,23,26,8,-0.197633005073101,0.820670979964743,0.530379913746908,8.78615712800131,0.246128415385128,2.7363799352563,0.718256932974445
"C","C_local_coexistence_documented","pca_hull_area",34,23,26,8,-0.459907674233488,0.631341931944012,0.473323435237954,8.09575393295177,0.212428368273839,1.87636255114937,0.359353585996598
"S","S_spatial_segregation_documented","temperature_breadth",34,23,23,11,-0.11925750334393,0.887579216716328,0.438128259803593,6.79670218894404,0.312990849211089,2.51699648067174,0.793552913395489
"S","S_spatial_segregation_documented","moisture_breadth",34,23,23,11,-0.15261875334131,0.858456943272638,0.385395429854676,7.97095397653292,0.352781558791249,2.08896498438875,0.702489745295735
"S","S_spatial_segregation_documented","climatic_heterogeneity",34,23,23,11,-0.0646193018482908,0.937424271142457,0.427782857549782,9.48791074131806,0.358868806196066,2.44870618163134,0.883094438468789
"S","S_spatial_segregation_documented","pca_dispersion",34,23,23,11,0.0186069998392012,1.01878118876117,0.448495226761084,8.14073719144337,0.363301985083872,2.85689358491669,0.967906682566835
"S","S_spatial_segregation_documented","pca_hull_area",34,23,23,11,-0.0949507533148486,0.909417719173561,0.411865496798559,7.70965775194079,0.349596269921406,2.36570197998042,0.823672823890994
