analysis_set,metric,analysis_status,analysis_reason,model_formula,estimator,covariance,ci_method,statsmodels_version,n_species,n_families,n_within,n_among,estimate,std_error_clustered,estimate_ci_low,estimate_ci_high,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,wald_p_value_clustered,permutation_p_two_sided,permutations_requested,permutations_valid,converged,iterations,predicted_probability_min,predicted_probability_max,loo_min_odds_ratio,loo_max_odds_ratio,loo_same_direction_fraction
all_evidence_classified,pca_hull_area,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,51,29,33,18,-0.3804065503014217,0.2344150292640297,-0.83986000765892,0.0790469070560764,0.683583441658035,0.431770963826421,1.0822550862797269,0.1046341354330743,0.2997,9999,9999,True,4,0.1063643054332099,0.8092455761479197,0.6238757255608044,0.7622149510536629,1.0
all_evidence_classified,moisture_breadth,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,51,29,33,18,-0.5748834322419709,0.3349677179619265,-1.2314201594473468,0.0816532949634051,0.5627704658751219,0.2918777702313528,1.0850795420640138,0.0861189791315342,0.0944,9999,9999,True,4,0.0735508813989351,0.8484672743069944,0.4453498596572043,0.6160219364209144,1.0
baseline_unambiguous_only,pca_hull_area,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,34,25,20,14,-0.4587506385220204,0.3280244867252477,-1.101678632503506,0.1841773554594651,0.6320728398671622,0.3323127841984484,1.202229026070688,0.1619552939360696,0.3184,9999,9999,True,4,0.1351671890910887,0.6250435819886,0.5473156574098602,0.7407976898078961,1.0
baseline_unambiguous_only,moisture_breadth,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,34,25,20,14,-0.853791125341341,0.4279032672064268,-1.6924815290659376,-0.0151007216167444,0.425797616029721,0.1840622010956811,0.9850127225325672,0.0460112560268798,0.0556,9999,9999,True,4,0.050412802214279,0.700794379351864,0.3174911331015079,0.4806991754987947,1.0
high_confidence_enrichment_only,pca_hull_area,not_estimable,"fewer than 20 species, fewer than two families, or only one spatial-scale class",among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,17,11,13,4,,,,,,,,,,9999,0,False,-1,,,,,
high_confidence_enrichment_only,moisture_breadth,not_estimable,"fewer than 20 species, fewer than two families, or only one spatial-scale class",among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6,17,11,13,4,,,,,,,,,,9999,0,False,-1,,,,,
