min_cells,metric,n_species,n_families,n_within,n_among,estimate,std_error_clustered,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value_clustered,effort_estimate,effort_odds_ratio,converged,iterations,predicted_probability_min,predicted_probability_max,status,analysis_reason,model_formula,estimator,covariance,ci_method,statsmodels_version
10,pca_dispersion,55,31,35,20,-0.2870402984030712,0.3407895653204603,0.7504814850223024,0.3848168214222828,1.4636118485663132,0.399631139246886,-0.3804416060100775,0.6835594785760861,True,4,0.1715587658187545,0.7434478722179204,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
10,climatic_heterogeneity,55,31,35,20,-0.3120127472013161,0.3385482925659995,0.7319721975718826,0.3769783950896859,1.421257305450474,0.3567270231943596,-0.3552408862057754,0.7010045605398167,True,4,0.1676454289716241,0.7297605237595922,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
10,pca_hull_area,55,31,35,20,-0.5010733403790363,0.2582617518850708,0.605879995119198,0.3652159801093045,1.0051328213397832,0.0523582629595895,-0.2477822192660951,0.7805299091461654,True,4,0.0946792337324226,0.6652437639823605,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
10,temperature_breadth,55,31,35,20,-0.1796626814582639,0.3018279206981976,0.8355520110663932,0.4624367879714879,1.5097137194892438,0.5516772325183392,-0.4327018230903476,0.6487539064025956,True,4,0.2241498203712403,0.7324663741047648,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
10,moisture_breadth,55,31,35,20,-0.6301944417216077,0.3476311499855681,0.5324882530075472,0.2694017563085265,1.052494027790625,0.0698588157836155,-0.3068893198177301,0.7357320273559126,True,4,0.0757035147545265,0.7145614193459889,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
20,pca_dispersion,51,29,33,18,-0.3154400080084814,0.3531328284861449,0.7294678319556519,0.3651013284111801,1.4574674931305582,0.3717170776942551,-0.5392879578464764,0.5831633414574969,True,4,0.1345499665917029,0.8519052027908746,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
20,climatic_heterogeneity,51,29,33,18,-0.2726385664788424,0.3390225812759372,0.7613679217934544,0.3917533580822014,1.479709364008692,0.4212872585587931,-0.5326049066825138,0.5870737039275445,True,4,0.1518134473457217,0.8478875176669229,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
20,pca_hull_area,51,29,33,18,-0.3804065503014218,0.2344150292640296,0.683583441658035,0.4317709638264211,1.0822550862797264,0.1046341354330741,-0.4669958720072665,0.6268826781741762,True,4,0.10636430543321,0.8092455761479199,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
20,temperature_breadth,51,29,33,18,-0.1964380062286616,0.2989878962038065,0.8216522670391504,0.457282332798155,1.4763580385874449,0.5111745541665085,-0.5920638348005223,0.553184424536377,True,4,0.1843445785526418,0.8463627595183132,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
20,moisture_breadth,51,29,33,18,-0.574883432241971,0.3349677179619265,0.5627704658751218,0.2918777702313527,1.0850795420640136,0.0861189791315342,-0.4919035214660811,0.6114613558818898,True,4,0.0735508813989352,0.8484672743069942,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
