occurrence_dataset,metric,model_type,n_fits,n_species_min,n_species_max,odds_ratio_min,odds_ratio_median,odds_ratio_max,ci_low_min,ci_high_max,p_value_min,p_value_max,negative_fraction
primary,bio1_q95q05,OpenTree_Grafen,100,30,30,1.26124354279596,1.26124354279596,1.26124354279596,0.601364633808703,2.64520922051847,0.539079634412666,0.539079634412666,0
primary,bio1_q95q05,dated_megaphylogeny,3,34,34,1.10944637985791,1.147883624979,1.14788362553396,0.540524771393401,2.37158707269982,0.709497687624827,0.777102929521645,0
primary,bio5_q95q05,OpenTree_Grafen,100,30,30,1.11263825911758,1.11263825911758,1.11263825911758,0.546203761028925,2.26648731477088,0.768738059981286,0.768738059981286,0
primary,bio5_q95q05,dated_megaphylogeny,3,34,34,0.935346236325019,0.935539630890989,0.935539631209802,0.454598082482159,1.92529276954693,0.854523792990723,0.856401515663782,1
primary,bio6_q95q05,OpenTree_Grafen,100,30,30,0.783586491429426,0.783586491429426,0.783586491429426,0.358800472247037,1.71127921238612,0.540579829212588,0.540579829212588,1
primary,bio6_q95q05,dated_megaphylogeny,3,34,34,0.834658472085564,0.834658472159353,0.859134821679333,0.393722603566567,1.79166422762628,0.637319628781411,0.685556471953637,1
primary,bio7_q95q05,OpenTree_Grafen,100,30,30,0.868036200922911,0.868036200922911,0.868036200922911,0.418707236073432,1.79955534845482,0.703599790484518,0.703599790484518,1
primary,bio7_q95q05,dated_megaphylogeny,3,34,34,0.788573616050766,0.788573616079888,0.81133005419998,0.370718916566406,1.71607324750291,0.537359186171422,0.584351812169658,1
paginated_quality_filtered,bio1_q95q05,OpenTree_Grafen,100,30,30,0.795767386065542,0.795767386065542,0.795767386065542,0.371039068109192,1.70668209132961,0.557311049138699,0.557311049138699,1
paginated_quality_filtered,bio1_q95q05,dated_megaphylogeny,3,34,34,0.799397879071648,0.799397879430942,0.810393468977505,0.381223950258456,1.67627707791037,0.553418570904606,0.561143211418258,1
paginated_quality_filtered,bio5_q95q05,OpenTree_Grafen,100,30,30,0.984293312685458,0.984293312685458,0.984293312685458,0.47841535780348,2.02508826189331,0.965693450359067,0.965693450359067,1
paginated_quality_filtered,bio5_q95q05,dated_megaphylogeny,3,34,34,0.842553638017389,0.850584854329704,0.85058485448847,0.396386511339012,1.807456131304,0.656097396447275,0.673891127200509,1
paginated_quality_filtered,bio6_q95q05,OpenTree_Grafen,100,30,30,0.579999788497292,0.579999788497292,0.579999788497292,0.226702603216835,1.48388130477331,0.25572478101368,0.25572478101368,1
paginated_quality_filtered,bio6_q95q05,dated_megaphylogeny,3,34,34,0.605218842329261,0.605218842428394,0.619339501659912,0.241742340114888,1.52216157130465,0.283499660722318,0.296361948984437,1
paginated_quality_filtered,bio7_q95q05,OpenTree_Grafen,100,30,30,0.869231669718042,0.869231669718042,0.869231669718042,0.386704960837691,1.9538505376401,0.734504527177332,0.734504527177332,1
paginated_quality_filtered,bio7_q95q05,dated_megaphylogeny,3,34,34,0.800848280245811,0.800848280469849,0.810950407094041,0.347908764893073,1.86287245814349,0.601606473225182,0.621415876897596,1
