key,size_bytes,etag,last_modified,https_url
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E006_Map.tif,2552807,538b1565852adffcaa05809eadc682e1,2022-10-26T12:36:37.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E006_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E009_Map.tif,10132372,8670fa3636a600feed55e45a27d0cf82-2,2022-10-26T12:42:53.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E009_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E012_Map.tif,5002985,64cd1d83bb3f3ec44cf0f073e86afaba,2022-10-26T12:43:56.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E012_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E015_Map.tif,8291184,cf5993d6b6b9ee5362f9390e45f60096,2022-10-26T12:40:42.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E015_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E018_Map.tif,21029438,676646b750ba0094fb33c761855f7828-3,2022-10-26T12:42:09.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E018_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E021_Map.tif,22522133,0febc123fc23761769467141ae51c6d1-3,2022-10-26T12:48:07.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E021_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E024_Map.tif,16098215,dbf121385e67dbe9c5534b72a6178043-2,2022-10-26T12:40:48.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E024_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E027_Map.tif,27472795,9645488494dc7dacb5007bfaeeb4a91b-4,2022-10-26T12:42:25.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E027_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E030_Map.tif,162332837,23790b7b7e8bec69a708c90660705582-20,2022-10-26T12:51:22.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E030_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E033_Map.tif,162692677,33ebe9a651a8eb21285f091c2d5a8c91-20,2022-10-26T12:46:18.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E033_Map.tif
v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E036_Map.tif,102836238,bd05faad2c1d1db1044d2120e368ab54-13,2022-10-26T12:45:51.000Z,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N00E036_Map.tif
