scale_km,cell_id,latitude,longitude,valid_samples,worldcover_10,worldcover_20,worldcover_30,worldcover_40,worldcover_50,worldcover_60,worldcover_70,worldcover_80,worldcover_90,worldcover_95,worldcover_100
250,566,-59.2464801918959,-26.71875,174,0.0,0.0,0.0,0.0,0.0,0.0,0.028528546556030755,0.9714714534439692,0.0,0.0,0.0
250,678,-55.9066091886325,-71.71875,226,0.03990142956697957,0.0,0.19938688179840533,0.0,0.0,0.02662648126427327,0.05341680743271532,0.6762106443773597,0.0,0.0,0.004457755560266718
250,679,-55.9066091886325,-68.90625,492,0.16251932450180834,0.002026069214298105,0.18981958371086857,0.0,0.0,0.035003395311383356,0.1130492440999901,0.4955206512828883,0.0,0.0,0.002061731878763305
250,680,-55.9066091886325,-66.09375,350,0.1638814414004736,0.011234904071330579,0.16383120428363546,0.0,0.0,0.02583995091847802,0.0,0.6352124993260823,0.0,0.0,0.0
250,691,-55.9066091886325,-35.15625,123,0.0,0.0,0.008224820845743143,0.0,0.0,0.032678593003403054,0.13897966953217233,0.8201169166186816,0.0,0.0,0.0
250,694,-55.9066091886325,-26.71875,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
250,805,-52.83271453872601,-74.53125,498,0.09476100219344726,0.0020404920562118916,0.18171619186554924,0.0,0.0,0.05210086762069004,0.024147266163815826,0.6452341801002855,0.0,0.0,0.0
250,806,-52.83271453872601,-71.71875,812,0.20264616191562526,0.0,0.46456541056671935,0.0,0.0,0.030547118358449126,0.027987143306948875,0.2742541658522574,0.0,0.0,0.0
250,807,-52.83271453872601,-68.90625,675,0.08674662167765089,0.0,0.6133645536609567,0.001468912874303579,0.0,0.005988441543371393,0.0,0.2924314702437175,0.0,0.0,0.0
250,810,-52.83271453872601,-60.46875,283,0.0,0.0,0.28359962943799444,0.0,0.0,0.0035382250750480484,0.0,0.7128621454869576,0.0,0.0,0.0
250,811,-52.83271453872601,-57.65625,167,0.0,0.0,0.3377193975135621,0.0,0.0,0.005981379464228882,0.0,0.6562992230222091,0.0,0.0,0.0
250,818,-52.83271453872601,-37.96875,100,0.0,0.0,0.029971279404923896,0.0,0.0,0.039817292967522996,0.08962501240335399,0.8405864152241992,0.0,0.0,0.0
250,933,-49.96262687001544,-74.53125,756,0.18964125434765594,0.0,0.19706373695069765,0.0,0.0,0.03287895385410988,0.21628746258371512,0.36412859226382127,0.0,0.0,0.0
250,934,-49.96262687001544,-71.71875,784,0.03177852921525132,0.10361641989010632,0.5034955196801838,0.0,0.0,0.2725940788594705,0.011562916015071364,0.07437238634729133,0.0,0.0,0.0025801499926253607
250,935,-49.96262687001544,-68.90625,657,0.0,0.13605477458324194,0.5661689484349526,0.0,0.001555839462398482,0.14714745387805725,0.0,0.14907298364134972,0.0,0.0,0.0
250,938,-49.96262687001544,-60.46875,126,0.0,0.0,0.03159047213267535,0.0,0.0,0.0,0.0,0.9684095278673247,0.0,0.0,0.0
250,984,-49.96262687001544,68.90625,330,0.0,0.0,0.0761785146144712,0.0,0.0,0.14894945968793805,0.03035317871899202,0.7445188469785986,0.0,0.0,0.0
250,1061,-47.2544307753432,-74.53125,677,0.29804166445557934,0.0,0.16042890741438923,0.0,0.0,0.029414566803772465,0.11079229402029606,0.39982958494346454,0.001492982362498395,0.0,0.0
