scale_km,cell_id,latitude,longitude,macroclimate_boundary,land_cover_boundary,ecoregion_boundary,realm_sensitivity_boundary,biome_sensitivity_boundary
500,0,-75.63848843708344,-177.1875,0.23283225490693102,,0.0,0.0,0.0
500,1,-75.63848843708344,-171.5625,0.07345902359628619,,0.0,0.0,0.0
500,2,-75.63848843708344,-165.9375,0.11181199259845917,,0.0,0.0,0.0
500,3,-75.63848843708344,-160.3125,0.10499601725395141,,0.0,0.0,0.0
500,4,-75.63848843708344,-154.6875,0.07349934195961158,,0.0,0.0,0.0
500,5,-75.63848843708344,-149.0625,0.2946374216567395,,0.5,0.0,0.0
500,6,-75.63848843708344,-143.4375,0.4675463788633493,,1.0,0.0,0.0
500,7,-75.63848843708344,-137.8125,0.2796167038321982,,0.5,0.0,0.0
500,8,-75.63848843708344,-132.1875,0.10953649372369297,,0.0,0.0,0.0
500,9,-75.63848843708344,-126.5625,0.08968881295848413,,0.0,0.0,0.0
500,11,-75.63848843708344,-115.3125,0.2317435292852258,,1.0,0.0,0.0
500,12,-75.63848843708344,-109.6875,0.2317435292852258,,1.0,0.0,0.0
500,15,-75.63848843708344,-92.8125,0.41005802417936377,,1.0,0.0,0.0
500,16,-75.63848843708344,-87.1875,0.3112481086470206,,0.5,0.0,0.0
500,17,-75.63848843708344,-81.5625,0.21243819311467751,,0.0,0.0,0.0
500,19,-75.63848843708344,-70.3125,0.3372120696814179,,0.5,0.0,0.0
500,20,-75.63848843708344,-64.6875,0.4801841352654359,,1.0,0.0,0.0
500,21,-75.63848843708344,-59.0625,0.5370904204526735,,0.6666666666666666,0.0,0.0
500,22,-75.63848843708344,-53.4375,0.5849458814869234,,0.3333333333333333,0.0,0.0
500,23,-75.63848843708344,-47.8125,0.17055069075335544,,0.0,0.0,0.0
500,26,-75.63848843708344,-30.9375,0.058781505530814224,,0.0,0.0,0.0
500,27,-75.63848843708344,-25.3125,0.058781505530814224,,0.0,0.0,0.0
500,29,-75.63848843708344,-14.0625,0.03538400734971971,,0.0,0.0,0.0
500,30,-75.63848843708344,-8.4375,0.06469964420049787,,0.0,0.0,0.0
500,31,-75.63848843708344,-2.8125,0.09133370137999094,,0.0,0.0,0.0
500,32,-75.63848843708344,2.8125,0.09913895946222084,,0.0,0.0,0.0
500,33,-75.63848843708344,8.4375,0.1212092476412954,,0.0,0.0,0.0
500,34,-75.63848843708344,14.0625,0.18488853502868596,,0.0,0.0,0.0
500,35,-75.63848843708344,19.6875,0.27238587419227905,,0.0,0.0,0.0
500,36,-75.63848843708344,25.3125,0.3077873763940411,,0.0,0.0,0.0
500,42,-75.63848843708344,59.0625,0.38025506105819074,,0.0,0.0,0.0
500,43,-75.63848843708344,64.6875,0.27844022228616355,,0.0,0.0,0.0
500,44,-75.63848843708344,70.3125,0.23676130947512902,,0.0,0.0,0.0
500,45,-75.63848843708344,75.9375,0.5244471326897444,,0.5,0.0,0.0
500,59,-75.63848843708344,154.6875,0.6014065788171025,,1.0,0.0,0.0
500,60,-75.63848843708344,160.3125,0.3775393669966561,,1.0,0.0,0.0
500,61,-75.63848843708344,165.9375,0.16877088218237274,,0.5,0.0,0.0
500,62,-75.63848843708344,171.5625,0.45961368080989695,,0.5,0.0,0.0
500,63,-75.63848843708344,177.1875,0.5290824028477599,,0.5,0.0,0.0
500,83,-64.99216676531488,-70.3125,0.38562780154145626,,0.6666666666666666,0.3333333333333333,0.3333333333333333
500,84,-64.99216676531488,-64.6875,0.43029839272488457,,1.0,0.25,0.25
500,85,-64.99216676531488,-59.0625,0.4508652710113647,,0.6666666666666666,0.0,0.0
500,86,-64.99216676531488,-53.4375,0.6525013447384302,,0.5,0.0,0.0
500,103,-64.99216676531488,42.1875,0.08977277088465525,,0.0,0.0,0.0
500,104,-64.99216676531488,47.8125,0.1368692377590534,,0.0,0.0,0.0
500,105,-64.99216676531488,53.4375,0.18396570463345155,,0.0,0.0,0.0
500,109,-64.99216676531488,75.9375,0.7519970299433673,,1.0,0.0,0.0
500,124,-64.99216676531488,160.3125,0.7731366504730681,,1.0,0.5,0.0
500,147,-57.53825503275763,-70.3125,0.4350478100609218,0.3104674996033,0.6666666666666666,0.3333333333333333,0.6666666666666666
