species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Leucaena leucocephala,0.3898375676801332,0.2653061224489796,0.012320682119905,True,True,discovery
Leucopogon affinis,0.0596449704142012,0.0307692307692307,0.1164151135318843,False,False,discovery
Leucopogon microphyllus,0.028979238754325,0.0147058823529411,0.1222233471008293,False,False,discovery
Ligustrum obtusifolium,0.0322493953238376,0.0163934426229508,0.0174947568650149,False,False,discovery
Linum catharticum,0.1009541397353033,0.0350877192982456,-0.1064611550763557,False,False,discovery
Linum lewisii,0.5402226423020373,0.463768115942029,-0.0063623460956724,True,True,discovery
Lithospermum canescens,0.0,0.0,0.0010959210066405,False,False,discovery
Lobelia erinus,0.26806640625,0.140625,0.0676692562833622,True,False,discovery
Loeselia glandulosa,0.632396449704142,0.2884615384615384,0.0607935289311671,True,True,discovery
Ludwigia peruviana,0.0,0.0,-0.0109731739284947,False,False,discovery
Lupinus arizonicus,0.2003780718336484,0.0652173913043478,0.106324153965227,False,False,discovery
Lupinus havardii,0.126111111111111,0.05,0.0057733877402259,False,False,discovery
Lupinus microcarpus,0.5667722951561793,0.1702127659574468,-0.0768379650449548,True,False,discovery
Lysimachia loeflingii,0.14697265625,0.046875,0.0242062959936838,False,False,discovery
Lysimachia quadrifolia,0.059228650137741,0.0151515151515151,-0.0233269576595585,False,False,discovery
Malacothrix saxatilis,0.0619803476946334,0.0158730158730158,-0.0011854584892738,False,False,discovery
Malva moschata,0.481310074759701,0.2264150943396226,0.031157536612903,True,True,discovery
Malva thuringiaca,0.4114149821640903,0.1896551724137931,-0.034995071404838,True,False,discovery
Mazus miquelii,0.4934157484547166,0.4426229508196721,0.0245509090462562,True,True,discovery
Mecardonia procumbens,0.2688000000000001,0.16,0.1106805118655859,True,False,discovery
Medicago lupulina,0.1361058601134215,0.0579710144927536,-0.0039280704313845,False,False,discovery
Medicago marina,0.0767999999999999,0.04,0.0509718023109122,False,False,discovery
Melaleuca citrina,0.40875,0.15,0.0563901451336916,True,False,discovery
Melastoma candidum,0.7071005917159763,0.3076923076923077,0.0555135115931408,True,True,discovery
Melastoma malabathricum,0.6329565734681737,0.3902439024390244,0.0039842689866729,True,True,discovery
Melothria pendula,0.176775147928994,0.0769230769230769,-0.0391063933658366,False,False,discovery
Micranthes petiolaris,0.0,0.0,-0.0864100130191088,False,False,discovery
Mitchella repens,0.0399833402748854,0.0204081632653061,0.145742484176656,False,False,discovery
Moraea flaccida,0.3752402921953095,0.196078431372549,-0.0009845384145023,True,False,discovery
Muscari armeniacum,0.0721874999999998,0.0375,0.0350051360863513,False,False,discovery
Muscari botryoides,0.0880473372781063,0.0461538461538461,-0.0020151787451162,False,False,discovery
Myosotis latifolia,0.375,0.25,-0.0779532290817343,True,True,discovery
