species,D,D_min4,D_max4,D_interval_width,ambiguous_palette_rate,technical_failure_rate
Acacia linifolia,0.2230902777777778,0.2190753852561433,0.2540608079966681,0.0349854227405247,0.01,0.51
Acacia ulicifolia,0.3324099722991689,0.3112207867615038,0.4366381187400203,0.1254173319785165,0.07,0.17
Aciphylla glacialis,0.1403621214548949,0.1387499999999999,0.1615625,0.0228125000000001,0.01,0.2
Aconitum delphiniifolium,0.1281241022694628,0.126111111111111,0.1566666666666667,0.0305555555555556,0.01,0.4
Aconitum tauricum,0.0695153061224489,0.0695153061224489,0.0695153061224489,0.0,0.0,0.44
Adoxa moschatellina,0.4834710743801652,0.4834710743801652,0.4834710743801652,0.0,0.0,0.55
Aegopodium podagraria,0.0,0.0,0.0,0.0,0.0,0.2
Agapanthus praecox,0.5069419722321111,0.485,0.6066666666666667,0.1216666666666667,0.07,0.4
Ageratina havanensis,0.0,0.0,0.0,0.0,0.0,0.3
Agrostemma githago,0.5745817016731933,0.4917820069204152,0.6933391003460208,0.2015570934256055,0.15,0.32
Ajuga genevensis,0.1499375260308204,0.1348760330578513,0.3193388429752065,0.1844628099173552,0.06,0.45
Alchemilla alpina,0.3244170096021948,0.311480455524777,0.3921206525084642,0.0806401969836871,0.03,0.43
Allium drummondii,0.3386243386243387,0.3043981481481482,0.4826388888888889,0.1782407407407407,0.09,0.28
Allium praecox,0.1178698224852071,0.1040905770635499,0.3100803506208911,0.2059897735573411,0.09,0.26
Allium schoenoprasum,0.5895999999999999,0.4286139202855442,0.7388459250446162,0.310232004759072,0.32,0.18
Allium tuberosum,0.0579193584317219,0.0570934256055364,0.0852076124567473,0.0281141868512109,0.01,0.32
Althaea officinalis,0.1597242171789715,0.1597242171789715,0.1597242171789715,0.0,0.0,0.41
Alyxia buxifolia,0.3930864197530864,0.3623999999999999,0.4991999999999998,0.1367999999999999,0.05,0.5
Amsinckia tessellata,0.0559183673469387,0.0559183673469387,0.0559183673469387,0.0,0.0,0.3
Anchusa arvensis,0.5312,0.4890738813735692,0.6701352757544226,0.1810613943808533,0.12,0.38
