genus,discovery_n,reserve_n,discovery_mean_D,reserve_mean_D
Allium,4,2,0.2760033798853169,0.5538621315192743
Asclepias,5,3,0.2247018387089784,0.2051535916824196
Calochortus,4,2,0.1335982182422025,0.4235339538984664
Cardamine,3,2,0.0510594453691144,0.0343002806523165
Cornus,3,2,0.1333081702068582,0.077141264553436
Delphinium,2,3,0.1541229268967221,0.2246085383501315
Erigeron,2,6,0.3455482963764196,0.1934736335372506
Erythranthe,2,3,0.3138979508207993,0.0479567617032228
Gentiana,2,2,0.1850281518707094,0.1320082117361638
Geranium,4,3,0.455184358232664,0.2405764367490586
Ipomoea,2,4,0.5616319444444444,0.3537310430034651
Lathyrus,3,3,0.4038372481142313,0.1849164751158856
Linum,2,2,0.3205883910186703,0.4550680016041765
Lupinus,3,3,0.2977538260336462,0.3076327227377944
Lysimachia,2,4,0.1031006531938705,0.0670241909608932
Ranunculus,4,4,0.1251155059830186,0.1024722407517414
Rosa,2,2,0.3341755207300138,0.610276137651339
Rubus,3,3,0.2165168450257628,0.1029352036669748
Salvia,6,7,0.4634569878500885,0.3360696843670033
Senecio,4,2,0.0752620979360779,0.083644751298785
Trifolium,2,4,0.1756554076265613,0.3330395983989223
Veronica,6,5,0.3615546011384914,0.2820666344067591
Viola,8,4,0.3147536842640439,0.1965439107438626
