tranche,fraction_A_zero,median_D_max4,median_D_min4,median_D_observed,median_interval_width,n_species,q95_interval_width,rho_interval_width_ambiguous_rate,rho_observed_D_D_max4,rho_observed_D_D_min4
discovery,0.2086720867208672,0.2827777777777777,0.18836565096952906,0.2003121748178979,0.07424173834314163,369,0.2533242130644727,0.9743329940776906,0.97303180968277,0.9963069434814742
reserve,0.18181818181818182,0.25146484375,0.16004924592182213,0.1680384087791495,0.07322485207100582,363,0.27897354681517567,0.9776315448409302,0.960985085038141,0.9969195749635439
