species,D,second_fraction,spatial_rho,rho_observer_pair_exclusion,rho_calendar_quarter_stratification,rho_matched_background_differential,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Abutilon fruticosum,0.2114571318723568,0.0980392156862745,-0.0750423141346841,-0.0750423141346841,-0.0750423141346841,-0.0212161295673321,False,False,reserve
Acacia saligna,0.0350765306122449,0.0178571428571428,0.1121393020385781,0.1121393020385781,0.1121393020385781,-0.0024925218545219,False,False,reserve
Achillea millefolium,0.0496715269988784,0.0126582278481012,0.0270320086438996,0.0279541890351745,0.0270320086438996,-0.041950532156218,False,False,reserve
Actaea spicata,0.1189216427311665,0.0634920634920634,0.0448948729713619,0.0467845390733947,0.0448948729713619,0.0163842925835167,False,False,reserve
Adenium multiflorum,0.2662500000000001,0.075,0.1702975539710971,0.1694270763408904,0.1702975539710971,0.1040295797785537,False,False,reserve
Adenostyles alliariae,0.628099173553719,0.3181818181818182,-0.0006455571937755,-0.004051004085154,-0.0006455571937755,0.0602659075928396,True,True,reserve
Aechmea distichantha,0.2586805555555556,0.1041666666666666,-0.0113393626975047,-0.0104274783764965,-0.0113393626975047,-0.0686317252160174,True,False,reserve
Aegiceras corniculatum,0.2903033908387865,0.1463414634146341,-0.0328210573579372,-0.0356343883158576,-0.0328210573579372,-0.0303624600941971,True,False,reserve
Aethusa cynapium,0.0270219553387127,0.0136986301369863,0.0338241799737196,0.0342253632965424,0.0338241799737196,0.0071670315475094,False,False,reserve
Agrimonia pilosa,0.1049382716049383,0.0555555555555555,0.0697074271959209,0.0664869578861585,0.0697074271959209,0.0464722845800963,False,False,reserve
Aliciella latifolia,0.2790697674418604,0.1395348837209302,0.1943219603721363,0.1938654151598362,0.1943219603721363,0.0178599215651404,True,False,reserve
Alliaria petiolata,0.152647137866165,0.0655737704918032,-0.0992590151205569,-0.0992590151205569,-0.0992590151205569,-0.0057164694093565,False,False,reserve
Allium scorodoprasum,0.6304,0.24,-0.0077950658240457,-0.0077950658240457,-0.0077950658240457,0.0863640725458209,True,True,reserve
Allium vineale,0.4773242630385487,0.1904761904761904,0.0381561960010686,0.0381561960010686,0.0381561960010686,-0.0380415309652938,True,False,reserve
Amsonia tomentosa,0.0,0.0,0.0061232676043472,0.0072383054467925,0.0061232676043472,-0.0204833443249793,False,False,reserve
Anarrhinum bellidifolium,0.5051239669421488,0.2909090909090909,-0.0171674957906197,-0.0179670611452083,-0.0171674957906197,-0.0533873267030533,True,True,reserve
Andersonglossum virginianum,0.0992865636147443,0.0344827586206896,-0.0976748779175061,-0.0976748779175061,-0.0976748779175061,-0.0628521883048068,False,False,reserve
Anemone palmata,0.22840790842872,0.1129032258064516,-0.0267673283884578,-0.0268938779115886,-0.0267673283884577,-0.036162345887728,True,False,reserve
Anemone virginiana,0.2659279778393353,0.1578947368421052,-0.0064956313477491,-0.0064956313477491,-0.0064956313477491,0.0865875673533407,True,False,reserve
Anemopsis californica,0.1207075962539023,0.064516129032258,-0.0325548209847153,-0.0326651540793854,-0.0325548209847153,-0.0188289762810442,False,False,reserve
Antennaria racemosa,0.2423668639053254,0.123076923076923,-0.0360473581463465,-0.0390248004058521,-0.0360473581463465,-0.0178410595758024,True,False,reserve
Aotus ericoides,0.0370238519045924,0.0188679245283018,-0.0683796041222432,-0.0721025493561973,-0.0683796041222432,0.0131386377407436,False,False,reserve
Aphyllanthes monspeliensis,0.5058864265927977,0.4342105263157895,-0.0204650317148962,-0.0210253482787306,-0.0204650317148962,-0.0170770816896829,True,True,reserve
Aquilegia brevistyla,0.4400181077410593,0.2553191489361702,0.073895108265796,0.0749636288362622,0.073895108265796,0.122690903142443,True,True,reserve
Arabidopsis thaliana,0.1348760330578513,0.0727272727272727,0.0221401324832087,0.0221401324832087,0.0221401324832087,-0.0919967671256429,False,False,reserve
Argentina pacifica,0.0,0.0,0.0165455201070212,0.0190435318271277,0.0165455201070212,-0.0246032329934932,False,False,reserve
Arnica latifolia,0.029405212742259,0.0149253731343283,-0.1307011825245718,-0.1304428753413113,-0.1307011825245718,-0.0107012845791032,False,False,reserve
Asclepias angustifolia,0.056710775047259,0.0144927536231884,-0.0389991286820023,-0.0412209647109663,-0.0389991286820023,-0.0211568097459434,False,False,reserve
Asclepias curassavica,0.21875,0.125,0.2107209422641225,0.2107209422641226,0.2107209422641226,0.1966327765520756,True,False,reserve
Asclepias purpurascens,0.3399999999999998,0.1,-0.0228496553596968,-0.0228496553596968,-0.0228496553596968,0.0183884581565089,True,False,reserve
Asphodelus albus,0.2401297998918334,0.1395348837209302,-0.0852397606158542,-0.0872578279562263,-0.0852397606158542,-0.1668520442457667,True,False,reserve
Astragalus agrestis,0.5246876859012493,0.3170731707317073,0.0476673421149224,0.0476673421149224,0.0476673421149224,0.0674459731172247,True,True,reserve
Bauera rubioides,0.3354591836734693,0.125,0.2983733200817118,0.2986106555745869,0.2983733200817117,0.2311588625533773,True,False,reserve
Berberis aquifolium,0.0,0.0,0.0525212152516519,0.0525212152516519,0.0525212152516519,0.001398078566551,False,False,reserve
Berberis nervosa,0.1680384087791495,0.0925925925925925,0.0613718256988881,0.0599623352184351,0.0613718256988881,0.0683673949933041,False,False,reserve
Bidens laevis,0.0,0.0,-0.0530098751008058,-0.0532336135804301,-0.0530098751008058,-0.0919367358694403,False,False,reserve
Bistorta vivipara,0.170879316482734,0.0943396226415094,0.0371436981689549,0.0373949066589285,0.0371436981689549,0.0866249382618673,False,False,reserve
Blephilia ciliata,0.1104809913883638,0.0434782608695652,0.207063755143692,0.2072605758390707,0.207063755143692,0.1006190891572928,False,False,reserve
Borrichia frutescens,0.0249959942316935,0.0126582278481012,0.0117185112721666,0.0103883101926267,0.0117185112721666,0.0104547773996348,False,False,reserve
Bunias orientalis,0.026661796932067,0.0135135135135135,0.0108869909850807,0.0124252615581144,0.0108869909850807,-0.0579067738738403,False,False,reserve
Buphthalmum salicifolium,0.056290695232094,0.0289855072463768,-0.0515681487014011,-0.0522061394564538,-0.0515681487014011,-0.0135548252663273,False,False,reserve
Cadaba aphylla,0.17965496728138,0.073170731707317,0.2051780231097542,0.2051780231097542,0.2051780231097542,0.1963444614168003,False,False,reserve
Caladenia carnea,0.5754132231404958,0.25,0.1593811843903048,0.1584330161532251,0.1593811843903048,0.1521201766726188,True,True,reserve
Calochortus bruneaunis,0.2621878715814505,0.1551724137931034,0.097651008064785,0.0962993766360393,0.097651008064785,0.0234591958352726,True,False,reserve
Calochortus splendens,0.5848800362154822,0.1914893617021276,0.0343956516476412,0.0332380661240287,0.0343956516476412,0.0182165711103625,True,False,reserve
Calopogon barbatus,0.5649382716049383,0.3777777777777777,-0.0395547611192153,-0.0378723435399503,-0.0395547611192153,-0.0642610840766333,True,True,reserve
Calotropis procera,0.2256515775034293,0.1296296296296296,0.016646487042012,0.016646487042012,0.016646487042012,0.0672475826528741,True,False,reserve
Calycoseris wrightii,0.0917107583774251,0.0317460317460317,-0.0530971150131862,-0.0518221092262089,-0.0530971150131862,-0.0055987544811673,False,False,reserve
Calystegia macrostegia,0.1420118343195264,0.0769230769230769,0.0901472427675287,0.0902316288876226,0.0901472427675287,-0.0201474322569949,False,False,reserve
Calystegia spithamaea,0.1238185255198487,0.0434782608695652,-0.0615241900916089,-0.061524190091609,-0.061524190091609,-0.0111912722458513,False,False,reserve
Campanula giesekiana,0.129855507599925,0.0410958904109589,0.2510025823989966,0.2504200942357669,0.2510025823989966,0.016672026707248,False,False,reserve
Canna flaccida,0.1371742112482852,0.074074074074074,0.1410319017231807,0.1395019515547619,0.1410319017231807,0.0886046288017406,False,False,reserve
Cardamine douglassii,0.0322493953238376,0.0163934426229508,-0.0346917373710475,-0.0346917373710475,-0.0346917373710475,-0.050190423484373,False,False,reserve
Cardamine flexuosa,0.0363511659807955,0.0185185185185185,0.0868139606546627,0.0868139606546627,0.0868139606546627,0.0951627299419014,False,False,reserve
Carduus acanthoides,0.333243751679656,0.1311475409836065,-0.0059197307317625,-0.0068955963764355,-0.0059197307317625,-0.0863010553715674,True,False,reserve
Carpobrotus edulis,0.5772641762966945,0.3934426229508196,0.0272611247626171,0.0272611247626171,0.0272611247626171,-0.0120984602137823,True,True,reserve
Ceanothus fendleri,0.1011080332409972,0.0263157894736842,0.0712196394885756,0.0718264071348607,0.0712196394885756,-0.0175326490296306,False,False,reserve
Centaurea scabiosa,0.6802721088435375,0.3809523809523809,-0.0243254006476318,-0.0301682170140398,-0.0243254006476318,0.0176151552621738,True,True,reserve
Centaurea solstitialis,0.04875,0.025,-0.050582716701968,-0.0507228556321207,-0.050582716701968,0.0044807233225682,False,False,reserve
Centratherum punctatum,0.5207939508506616,0.1739130434782608,-0.0502471343359409,-0.0523547586934988,-0.050247134335941,-0.0461066722861357,True,False,reserve
Cerastium holosteoides,0.1348760330578513,0.0727272727272727,0.013891897909215,0.0141959994323523,0.013891897909215,0.0232556397669783,False,False,reserve
Chamaenerion latifolium,0.4765625,0.2083333333333333,0.0258609668370865,0.0237869879699311,0.0258609668370865,0.0978429383993355,True,True,reserve
Chrysosplenium alternifolium,0.1014030612244898,0.0535714285714285,0.0065216094012027,0.0065216094012027,0.0065216094012027,-0.0131493233375128,False,False,reserve
Cicendia quadrangularis,0.0758310249307478,0.0394736842105263,-0.0361070542541734,-0.0373731857215619,-0.0361070542541734,-0.0231578108195981,False,False,reserve
Cicerbita alpina,0.5105462412114656,0.3488372093023256,-0.0976815764260736,-0.1024476048211193,-0.0976815764260737,0.0158515268356699,True,True,reserve
Circaea canadensis,0.1687398593834506,0.0930232558139534,0.1308148090971249,0.1322828536443454,0.1308148090971249,0.1434248141590312,False,False,reserve
Cirsium occidentale,0.5453898184407263,0.3584905660377358,-0.0395116550938902,-0.0395116550938902,-0.0395116550938902,0.0072988284112979,True,True,reserve
Cirsium undulatum,0.4822485207100592,0.1538461538461538,0.0478608771155861,0.0467365178721811,0.0478608771155861,-0.0016177697816871,True,False,reserve
Claytonia caroliniana,0.0281632653061223,0.0142857142857142,-0.0410944921233844,-0.0410944921233844,-0.0410944921233844,-0.0071368856079516,False,False,reserve
Cleomella lutea,0.0,0.0,0.0018793121670064,0.0009326341865971,0.0018793121670064,-0.0420509407058946,False,False,reserve
Clinopodium gracile,0.3168854685378,0.1702127659574468,0.0209207809784256,0.0208668842950768,0.0209207809784256,-0.0378107622294305,True,False,reserve
Clinopodium vulgare,0.6454081632653061,0.3928571428571428,0.0781848728363295,0.0781848728363295,0.0781848728363295,0.0814503632359433,True,True,reserve
Cochemiea grahamii,0.2598347107438017,0.0909090909090909,0.1894819526247444,0.1872480644238702,0.1894819526247445,0.0530317669554318,False,False,reserve
Collinsia tinctoria,0.240702479338843,0.1136363636363636,0.0540540523301261,0.0559033092340148,0.054054052330126,0.0039817711436777,True,False,reserve
Conradina canescens,0.0281632653061223,0.0142857142857142,0.0067724677701547,0.0065819822190541,0.0067724677701547,0.0126779554037014,False,False,reserve
Convolvulus angustissimus,0.5405917159763314,0.3384615384615385,0.1790168106046299,0.1781305958283172,0.1790168106046299,0.1280876219727733,True,True,reserve
Corethrogyne filaginifolia,0.5070153061224489,0.2678571428571428,-0.0617490178950611,-0.0621421144442714,-0.0617490178950611,-0.0002865336244208,True,True,reserve
Cornus mas,0.0876951331496784,0.0303030303030303,-0.0159066177594227,-0.0159066177594227,-0.0159066177594227,-0.0950908173630767,False,False,reserve
Cornus unalaschkensis,0.0665873959571936,0.0344827586206896,-0.045627375779331,-0.0482345465390538,-0.0456273757793309,0.0592582090067504,False,False,reserve
Corydalis flavula,0.0370238519045924,0.0188679245283018,0.017824614662871,0.0187412243732353,0.017824614662871,-0.0016579413132594,False,False,reserve
Cosmos sulphureus,0.0363511659807955,0.0185185185185185,-0.0193158121899783,-0.0193158121899783,-0.0193158121899783,0.0098919398065598,False,False,reserve
Crepis vesicaria,0.0532933008069056,0.0273972602739726,-0.075351848807905,-0.07405423919207,-0.075351848807905,-0.1307179322407736,False,False,reserve
Cunila origanoides,0.2265625,0.0833333333333333,-0.0087911105181915,-0.0087911105181915,-0.0087911105181915,-0.0124149608304912,False,False,reserve
Cyclospermum leptophyllum,0.3140987507436049,0.1951219512195122,0.1395050021487047,0.1393017649706834,0.1395050021487046,0.0619824923202719,True,False,reserve
Cydonia oblonga,0.0338882282996433,0.0172413793103448,0.0288024150065814,0.0288024150065814,0.0288024150065814,0.0465316961988723,False,False,reserve
Cymbalaria muralis,0.2888047593293672,0.0697674418604651,0.0688192749830947,0.0688192749830947,0.0688192749830947,0.0159693896875089,False,False,reserve
Cynoglossum creticum,0.3790087463556851,0.2244897959183673,-0.0542679619616244,-0.0542679619616244,-0.0542679619616244,-0.1168867765476008,True,True,reserve
Cynoglossum officinale,0.4878048780487805,0.1951219512195122,-0.0091103137477279,-0.0091103137477279,-0.0091103137477279,0.056021354045774,True,False,reserve
Dactylorhiza sambucina,0.67875,0.25,0.0907348378537516,0.0907348378537516,0.0907348378537516,0.0710736261514616,True,True,reserve
Delairea odorata,0.0,0.0,-0.0109286315430242,-0.0108654617981883,-0.0109286315430242,0.0101383220524385,False,False,reserve
Delphinium bicolor,0.1484044598231451,0.0392156862745098,-0.0308439864974202,-0.0303968136724132,-0.0308439864974202,0.0042855550708347,False,False,reserve
Delphinium nudicaule,0.3594952293013235,0.2105263157894736,0.0234732378141015,0.0256546290419695,0.0234732378141015,0.0743378685484289,True,True,reserve
Delphinium nuttallianum,0.1659259259259259,0.0444444444444444,0.0446393804311728,0.0446393804311728,0.0446393804311728,-0.0454265489011978,False,False,reserve
Descurainia sophia,0.2923456790123457,0.1777777777777777,0.0220787770915738,0.0213715282973067,0.0220787770915738,-0.0404894347871536,True,False,reserve
Dichelostemma multiflorum,0.3168854685378,0.1702127659574468,0.0351517339873606,0.0342208279385559,0.0351517339873606,-0.0595731761418356,True,False,reserve
Dillwynia floribunda,0.0,0.0,-0.008032681085538,-0.0085203529016734,-0.008032681085538,-0.0616070311666341,False,False,reserve
Diplacus puniceus,0.3513313609467455,0.1538461538461538,-0.0669441994097593,-0.066741356661318,-0.0669441994097593,-0.147646064816587,True,False,reserve
Disphyma australe,0.0649999999999999,0.0166666666666666,0.0638230045458357,0.0651234213175579,0.0638230045458356,-0.0158393708678582,False,False,reserve
Dittrichia graveolens,0.0739644970414201,0.0384615384615384,-0.0170231446694809,-0.0170231446694809,-0.0170231446694809,-0.0088713569082613,False,False,reserve
Drosera brevifolia,0.0,0.0,0.0587152009553585,0.0538724628527208,0.0587152009553586,0.046724611616588,False,False,reserve
Drosera macrantha,0.3702385190459237,0.2452830188679245,0.0077948957704671,0.007069698351504,0.0077948957704671,0.0339406448411107,True,True,reserve
Dyssodia tagetiflora,0.0,0.0,-0.0500160487184346,-0.0503317274115972,-0.0500160487184346,0.0833478862089561,False,False,reserve
Echium vulgare,0.0596449704142012,0.0307692307692307,0.1414423728335309,0.1414423728335309,0.1414423728335309,-0.0741392850835426,False,False,reserve
Elephantopus tomentosus,0.1087278106508875,0.0576923076923076,-0.0085047204404619,-0.0085047204404619,-0.0085047204404619,0.0495513245673287,False,False,reserve
Erica arborea,0.1420118343195264,0.0769230769230769,-0.0638763581464273,-0.0638763581464273,-0.0638763581464273,-0.0461135608860777,False,False,reserve
Erica tetralix,0.6364014993752602,0.4081632653061224,0.1303746544623742,0.1297853670320995,0.1303746544623742,0.020384810769153,True,True,reserve
Ericameria ericoides,0.1619753086419753,0.0888888888888888,-0.0417486143103309,-0.0393607057478616,-0.0417486143103309,0.0087960378275948,False,False,reserve
Erigenia bulbosa,0.0,0.0,0.0149486509580834,0.0152214364324852,0.0149486509580834,-0.1821796080829335,False,False,reserve
Erigeron annuus,0.0,0.0,0.0029873026474539,0.0029873026474539,0.0029873026474539,0.0330272784064178,False,False,reserve
Erigeron divergens,0.0918367346938776,0.0238095238095238,0.0291418191402307,0.0275622959595347,0.0291418191402307,0.0270714764357548,False,False,reserve
Erigeron glaucus,0.3616863905325445,0.0961538461538461,0.0642793034694187,0.0642793034694187,0.0642793034694187,0.0861765365336796,False,False,reserve
Erigeron pulchellus,0.1673132062742452,0.0779220779220779,-0.0328907951535754,-0.0328907951535754,-0.0328907951535754,-0.2193381200282464,False,False,reserve
Erigeron quercifolius,0.0746219592373438,0.0256410256410256,0.1623615687714987,0.1619133099903677,0.1623615687714987,0.0369089407413613,False,False,reserve
Erigeron speciosus,0.4653835104854926,0.2033898305084746,-0.018139374104789,-0.0213678032937112,-0.018139374104789,-0.0813110872052781,True,True,reserve
Eriogonum wrightii,0.0939916716240334,0.024390243902439,-0.1469022584913378,-0.1469022584913378,-0.1469022584913378,0.0306564493011716,False,False,reserve
Erodium cicutarium,0.5907372400756143,0.4347826086956521,0.122294366882711,0.122294366882711,0.122294366882711,0.1149619554799943,True,True,reserve
Erysimum concinnum,0.1031404958677686,0.0545454545454545,-0.048005047481926,-0.0472897057885863,-0.048005047481926,-0.0590814970966828,False,False,reserve
Erythranthe bicolor,0.0570934256055364,0.0294117647058823,0.2068680721554028,0.2011650466634477,0.2068680721554028,0.0968869222342169,False,False,reserve
Erythranthe guttata,0.0,0.0,0.019852717264692,0.0199139748605749,0.019852717264692,-0.059132444509442,False,False,reserve
Erythranthe nasuta,0.086776859504132,0.0454545454545454,-0.098046934105121,-0.0984685124402421,-0.098046934105121,0.005484198446113,False,False,reserve
Erythronium grandiflorum,0.155,0.0666666666666666,0.0535485077179442,0.054385149276674,0.0535485077179442,0.0212858236391343,False,False,reserve
Erythronium montanum,0.2149104539775095,0.1224489795918367,0.0316724556016661,0.0316724556016661,0.0316724556016661,0.0396180003844123,True,False,reserve
Euploca procumbens,0.0327777777777777,0.0166666666666666,0.0673888782455996,0.0659129596296968,0.0673888782455996,0.0045451864772823,False,False,reserve
Ferocactus cylindraceus,0.0464852607709751,0.0238095238095238,0.0029803132974404,0.0038856631203389,0.0029803132974404,0.098317287309895,False,False,reserve
Filipendula rubra,0.643664485425342,0.2439024390243902,0.0379132113664186,0.0379132113664186,0.0379132113664186,0.0695209318297652,True,True,reserve
Forestiera pubescens,0.0416478044363965,0.0212765957446808,-0.0430685248610733,-0.0430685248610733,-0.0430685248610733,0.0514521252371808,False,False,reserve
Frasera fastigiata,0.41125,0.25,-0.015112779606804,-0.0144608597902155,-0.015112779606804,0.0065189506835531,True,True,reserve
Fumaria officinalis,0.3940024989587672,0.1836734693877551,0.0160884310701087,0.0160884310701087,0.0160884310701087,0.0914928295293605,True,False,reserve
Galearis rotundifolia,0.0,0.0,0.3374540584252442,0.336012877418558,0.3374540584252442,0.0944527834381296,False,False,reserve
Galeopsis bifida,0.1144,0.04,-0.0065359946023432,-0.0065359946023432,-0.0065359946023432,0.0437999082177732,False,False,reserve
Galium mollugo,0.2002314814814815,0.0972222222222222,0.1398306084575069,0.1405752071884015,0.1398306084575069,0.0615872605301962,False,False,reserve
Galium palustre,0.0,0.0,0.0080678251189852,0.0080678251189852,0.0080678251189852,-0.036365863057144,False,False,reserve
Gardenia jasminoides,0.1219281663516067,0.0652173913043478,0.0894686582013131,0.0894686582013131,0.0894686582013131,0.0910609096548042,False,False,reserve
Gentiana clusii,0.1009541397353033,0.0350877192982456,-0.1472414151743702,-0.148568414755541,-0.1472414151743702,-0.1514886987216571,False,False,reserve
Gentiana linearis,0.1630622837370243,0.0735294117647058,0.0623753261270933,0.0610212201898608,0.0623753261270933,0.0166243030771379,False,False,reserve
Geobalanus oblongifolius,0.46875,0.375,0.0230159180709724,0.0245949195855311,0.0230159180709724,0.1020342040212224,True,True,reserve
Geranium caespitosum,0.5536332179930796,0.2941176470588235,0.2033151780123672,0.2004085578880775,0.2033151780123672,0.2058006438649731,True,True,reserve
Geranium carolinianum,0.1155029585798816,0.0615384615384615,0.1462716020365871,0.1462716020365871,0.1462716020365871,0.0159115658755255,False,False,reserve
Geranium sibiricum,0.0525931336742147,0.027027027027027,0.041274188570083,0.0410408797392193,0.041274188570083,-0.0179456138047947,False,False,reserve
Gilia tricolor,0.1871240810871017,0.1044776119402985,0.0167907852585729,0.016109260246018,0.0167907852585729,-0.0249299904927204,True,False,reserve
Glandularia bipinnatifida,0.5093877551020408,0.1714285714285714,0.1509351343575758,0.1515477729804561,0.1509351343575758,0.1344175620958692,True,False,reserve
Glebionis segetum,0.0,0.0,-0.0569092191164483,-0.0570885577929051,-0.0569092191164483,-0.0216714224094767,False,False,reserve
Globularia repens,0.302866414277988,0.1860465116279069,0.1610724979050175,0.1609185712307045,0.1610724979050175,0.1545438477595541,True,False,reserve
Gomphrena serrata,0.2030738221214412,0.0793650793650793,-0.0320323485081453,-0.0328234045901835,-0.0320323485081453,-0.0153247663447218,False,False,reserve
Goodyera pubescens,0.25350837483024,0.1489361702127659,-0.1251098175960647,-0.1251098175960647,-0.1251098175960647,-0.1043790512158611,True,False,reserve
Grewia occidentalis,0.4716553287981859,0.2142857142857142,0.1049406736754157,0.0998486744865714,0.1049406736754158,0.0472114061159573,True,True,reserve
