canonical_name,record_count
Agave lechuguilla,1584
Anemone palmata,1926
Antirrhinum majus,2475
Aquilegia coerulea,1709
Bletilla striata,471
Calceolaria uniflora,469
Campanula americana,31
Convolvulus arvensis,2624
Corydalis cava,2185
Dactylorhiza sambucina,1993
Disa porrecta,64
Encelia farinosa,2361
Eschscholzia californica,2428
Heliconia irrasa,349
Hesperis matronalis,2599
Ipomoea purpurea,2477
Ipomopsis aggregata,2514
Iris lutescens,2310
Kadsura longipedunculata,308
Lantana camara,2423
Leptosiphon parviflorus,1580
Lotus corniculatus,2130
Lupinus perennis,1427
Lupinus polyphyllus,2491
Lysimachia monelli,2263
Mimulus ringens,2499
Mirabilis jalapa,2440
Opuntia streptacantha,1075
Pedicularis comosa,1383
Raphanus sativus,1766
Rhododendron arboreum,970
Silene littorea,1301
Solanum carolinense,2688
Stellera chamaejasme,1142
