datasetKey,record_count
50c9509d-22c7-4a22-a47d-8c48425ef4a7,43974
8a863029-f435-446a-821e-275f4f641165,3600
7f5e4129-0717-428e-876a-464fbd5d9a47,1950
38b4c89f-584c-41bb-bd8f-cd1def33e92f,1036
14d5676a-2c54-4f94-9023-1e8dcd822aa0,910
7a3679ef-5582-4aaa-81f0-8c2545cafc81,837
b124e1e0-4755-430f-9eab-894f25a9b59c,485
4515e736-fa02-44ee-9808-bf89445104fe,431
95e635d4-f762-11e1-a439-00145eb45e9a,306
7fe3eb5c-42bd-49d7-a30b-82c353ef6575,226
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,209
836cfc79-f83f-454d-a98a-2fea4821c324,155
7bd65a7a-f762-11e1-a439-00145eb45e9a,137
3942a8dc-9f01-420d-a829-01675dc01c73,135
86306e4b-5ed8-4684-a626-d9b9f439dcce,122
83fdfd3d-3a25-4705-9fbe-3db1d1892b13,120
629befd5-fb45-4365-95c4-d07e72479b37,113
8016518a-f762-11e1-a439-00145eb45e9a,112
d0d734c0-14f5-4f70-b915-5740cce60b07,112
4cf3eec1-b902-40c9-b15b-05c5fe5928b6,110
0c7bd9e3-ded7-4de4-99ec-d5145361ff48,86
75956ee6-1a2b-4fa3-b3e8-ccda64ce6c2d,85
ca56b33d-e824-4e3f-9dec-b9e913735680,81
36555a0c-8361-42c4-9f78-805816266f2e,71
834c9918-f762-11e1-a439-00145eb45e9a,70
0645ccdb-e001-4ab0-9729-51f1755e007e,67
837acfc2-f762-11e1-a439-00145eb45e9a,65
fa7e6ad8-0a2e-49f2-b95d-e9f1e380fadf,58
0d8cc344-d880-42ec-a200-40b4ad71affd,50
c186e534-5281-4d9e-a389-f0415aa70331,48
963a6b96-4d22-4428-86e4-afee52cf4a8e,47
e765780e-42d8-473f-a210-6365554f07b4,47
902c8fe7-8f38-45b0-854e-c324fed36303,45
3717f916-d983-4a81-bb13-5f91200871a6,44
557f6b7a-7d57-48e7-8648-804657aa30e3,42
df12ca07-f133-4550-ab3b-fde13f0e76ba,42
271c444f-f8d8-4986-b748-e7367755c0c1,41
d1620235-125b-45c1-903c-4951428c27a8,41
fa4c1edd-7d51-46ee-92c2-70667dc068ad,40
835ac57e-f762-11e1-a439-00145eb45e9a,39
962cceea-f762-11e1-a439-00145eb45e9a,39
cc700cb3-878f-4144-9b28-744578b691b7,39
e053ff53-c156-4e2e-b9b5-4462e9625424,38
834a4794-f762-11e1-a439-00145eb45e9a,37
249ec6d9-ce13-4096-baf5-42130fc3d0b1,36
baa86fb2-7346-4507-a34f-44e4c1bd0d57,36
d0963cee-1a29-47a2-b9bf-fb0e7690077c,36
f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7,36
246ad1f8-e75c-419d-b97e-16dde697ae30,35
926f3dd4-89d9-4cbd-8ed7-32fb6fcfa861,30
ed3d96f2-db7b-48cd-9960-f871e7df7286,30
f2e389da-39c3-4f21-8d72-b7d574d924a9,30
0a013f89-5381-4578-9d82-5f28fd5f1ef6,29
8353c5bc-f762-11e1-a439-00145eb45e9a,29
bf2a4bf0-5f31-11de-b67e-b8a03c50a862,28
f77748a2-7a86-4e65-9804-3e4db286df6c,28
f9336171-e9a9-4147-b9f6-2d6c133afffd,27
7f5260c2-f762-11e1-a439-00145eb45e9a,26
848182d0-f762-11e1-a439-00145eb45e9a,26
b54a3b16-b648-41ab-bd6f-d3881895daac,26
d4aa2255-f927-4220-af22-2958298733b7,26
